Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz E Pmin Pmax
      1  0.00000E+00  0.00000E+000  5.00000E+000 -3.34520E-015  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  1.00000E+000  6.79793E-010  6.90350E-003  6.90350E-003
      2  1.04034E-01  1.04034E-001  5.00000E+000 -3.34518E-015  0.00000E+000 -1.07245E-023  4.40519E-009 -1.74148E-020  1.00000E+000  6.79959E-010  6.66624E-003  1.01010E+001
      3  2.08069E-01  1.04034E-001  5.00001E+000 -3.34517E-015 -1.12950E-036 -2.24610E-023  1.91648E-008  0.00000E+000  9.99996E-001  6.80126E-010  6.80796E-003  1.87171E+001
      4  3.13177E-01  1.05108E-001  5.00001E+000 -3.34517E-015  1.01655E-035 -3.46979E-023  2.96193E-008  6.19193E-020  9.99984E-001  6.80295E-010  6.76716E-003  2.63919E+001
      5  4.19161E-01  1.05984E-001  5.00002E+000 -3.34516E-015 -2.25900E-036 -4.69331E-023  4.10349E-008  3.40556E-019  9.99965E-001  6.80463E-010  6.73560E-003  3.32393E+001
      6  5.25898E-01  1.06737E-001  5.00002E+000 -3.34516E-015  6.77701E-036 -5.87512E-023  5.31728E-008  7.73991E-021  9.99941E-001  6.80631E-010  6.71541E-003  3.94173E+001
      7  6.33299E-01  1.07401E-001  5.00002E+000 -3.34515E-015 -1.80720E-035 -6.98343E-023  6.58513E-008  1.97368E-019  9.99911E-001  6.80796E-010  6.69763E-003  4.50585E+001
      8  7.41299E-01  1.07999E-001  5.00003E+000 -3.34515E-015 -4.51801E-036 -7.99574E-023  7.89367E-008  1.62538E-019  9.99877E-001  6.80959E-010  6.67960E-003  5.02722E+001
      9  8.49846E-01  1.08547E-001  5.00003E+000 -3.34514E-015 -4.51801E-036 -8.89828E-023  9.23439E-008 -1.66408E-019  9.99837E-001  6.81120E-010  6.66872E-003  5.51466E+001
     10  9.58899E-01  1.09053E-001  5.00003E+000 -3.34514E-015 -9.03601E-036 -9.68546E-023  1.06035E-007  3.09596E-019  9.99792E-001  6.81278E-010  6.66626E-003  5.97521E+001
     11  1.06843E+00  1.09527E-001  5.00004E+000 -3.34513E-015  9.03601E-036 -1.03595E-022  1.20015E-007  7.73991E-020  9.99741E-001  6.81434E-010  6.67353E-003  6.41434E+001
     12  1.17840E+00  1.09973E-001  5.00004E+000 -3.34513E-015  2.25900E-036 -1.09299E-022  1.34332E-007  7.73991E-020  9.99690E-001  6.81586E-010  6.68865E-003  6.83626E+001
     13  1.28880E+00  1.10396E-001  5.00005E+000 -3.34512E-015  0.00000E+000 -1.14119E-022  1.49072E-007 -2.32197E-019  9.99640E-001  6.81736E-010  6.68918E-003  7.24406E+001
     14  1.39960E+00  1.10800E-001  5.00005E+000 -3.34512E-015  2.25900E-036 -1.18221E-022  1.64334E-007 -1.16099E-019  9.99590E-001  6.81884E-010  6.67805E-003  7.63998E+001
     15  1.51078E+00  1.11187E-001  5.00005E+000 -3.34511E-015 -1.12950E-035 -1.21745E-022  1.80208E-007  5.18574E-019  9.99542E-001  6.82029E-010  6.66742E-003  8.02559E+001
     16  1.62234E+00  1.11559E-001  5.00006E+000 -3.34511E-015  9.03601E-036 -1.24786E-022  1.96768E-007  3.48296E-019  9.99494E-001  6.82171E-010  6.65731E-003  8.40195E+001
     17  1.73426E+00  1.11919E-001  5.00006E+000 -3.34510E-015  4.51801E-036 -1.27401E-022  2.14056E-007  1.08359E-019  9.99448E-001  6.82312E-010  6.64778E-003  8.76971E+001
     18  1.84653E+00  1.12268E-001  5.00006E+000 -3.34510E-015  4.06621E-035 -1.29633E-022  2.32101E-007 -3.09596E-020  9.99402E-001  6.82449E-010  6.63889E-003  9.12922E+001
     19  1.95913E+00  1.12606E-001  5.00006E+000 -3.34510E-015  6.77701E-036 -1.31517E-022  2.50923E-007 -1.70278E-019  9.99358E-001  6.82585E-010  6.63073E-003  9.48062E+001
     20  2.07207E+00  1.12936E-001  5.00007E+000 -3.34509E-015 -9.03601E-036 -1.33091E-022  2.70544E-007 -2.94117E-019  9.99314E-001  6.82719E-010  6.62340E-003  9.82385E+001
     21  2.18533E+00  1.13258E-001  5.00007E+000 -3.34509E-015 -1.35540E-035 -1.34392E-022  2.90977E-007  3.86995E-019  9.99270E-001  6.82851E-010  6.61701E-003  1.01588E+002
