Volume averages, fluxes, etc
it t dt rho mx my mz bx by bz e Pmin Pmax
      0  0.00000E+00  0.00000E+00  5.00000E+00 -3.34520E-15  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  6.79793E-10  6.90350E-03  6.90350E-03
      1  0.00000E+00  0.00000E+00  5.00000E+00 -3.34520E-15  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  6.79793E-10  6.90350E-03  6.90350E-03
      2  2.75889E-01  2.75889E-01  5.00000E+00 -3.34520E-15  4.03941E-40  6.89609E-39  1.35448E-20 -1.13529E-20  1.00000E+00  6.79793E-10  6.18655E-03  6.90424E-03
      3  5.51778E-01  2.75889E-01  5.00000E+00 -3.34520E-15  9.32404E-39  2.55075E-38 -2.70897E-20 -1.60543E-20  9.99960E-01  6.79793E-10  5.60549E-03  6.90634E-03
      4  1.10261E+00  5.50829E-01  5.00000E+00 -3.34520E-15  9.80317E-38 -3.97090E-38  7.73991E-21  5.13978E-21  9.99804E-01  6.79793E-10  3.68556E-03  6.91459E-03
      5  1.83597E+00  7.33360E-01  5.00000E+00 -3.34519E-15 -3.52969E-38  4.74303E-37  0.00000E+00 -2.17685E-21  9.99427E-01  6.79793E-10  2.70722E-03  8.60320E-03
      6  2.56749E+00  7.31522E-01  5.00000E+00 -3.34518E-15 -1.25083E-36 -8.03005E-37 -9.28789E-20 -5.92587E-20  9.99052E-01  6.79792E-10  6.02590E-03  1.68018E-02
      7  3.29728E+00  7.29787E-01  5.00000E+00 -3.34517E-15  5.16218E-37 -1.46482E-36 -9.28789E-20  6.32496E-20  9.98677E-01  6.79791E-10  6.26027E-03  2.93794E-02
      8  4.02601E+00  7.28729E-01  5.00000E+00 -3.34515E-15  1.20010E-36  3.52969E-37  3.09596E-20 -9.68698E-20  9.98303E-01  6.79790E-10  6.79130E-03  4.45586E-02
      9  4.75411E+00  7.28105E-01  5.00000E+00 -3.34513E-15  2.21488E-36  2.18841E-36  2.47677E-19  5.85331E-20  9.97929E-01  6.79789E-10  6.85089E-03  6.07862E-02
     10  5.48189E+00  7.27775E-01  5.00000E+00 -3.34512E-15  3.12378E-36 -8.82423E-37 -6.19193E-20 -6.04680E-20  9.97556E-01  6.79787E-10  6.86272E-03  7.68821E-02
     11  6.20953E+00  7.27646E-01  5.00000E+00 -3.34510E-15 -7.05939E-38 -9.88314E-37  6.19193E-20  5.56306E-21  9.97182E-01  6.79786E-10  6.86305E-03  9.20704E-02
     12  6.93719E+00  7.27653E-01  5.00000E+00 -3.34508E-15  2.18841E-36  2.32960E-36 -1.85758E-19 -3.12015E-20  9.96809E-01  6.79784E-10  6.86403E-03  1.05916E-01
     13  7.66494E+00  7.27752E-01  5.00000E+00 -3.34506E-15 -1.09420E-36  1.83544E-36  2.47677E-19 -8.70740E-21  9.96436E-01  6.79783E-10  6.86732E-03  1.18237E-01
     14  8.39284E+00  7.27907E-01  5.00000E+00 -3.34504E-15 -3.77677E-36  1.41188E-36  1.23839E-19 -5.17606E-20  9.96062E-01  6.79781E-10  6.87325E-03  1.31086E-01
     15  9.12094E+00  7.28095E-01  5.00000E+00 -3.34503E-15  2.54138E-36 -4.23563E-37  0.00000E+00 -1.69794E-19  9.95689E-01  6.79780E-10  6.87862E-03  1.47637E-01
     16  9.84924E+00  7.28299E-01  5.00000E+00 -3.34501E-15 -9.88314E-37  3.24732E-36  1.23839E-19  1.17066E-19  9.95316E-01  6.79778E-10  6.88149E-03  1.63037E-01
     17  1.05777E+01  7.28506E-01  5.00000E+00 -3.34499E-15  1.41188E-37  9.88314E-37  0.00000E+00 -5.99843E-20  9.94942E-01  6.79777E-10  6.88536E-03  1.77199E-01
