Volume averages, fluxes, etc
it t dt rho mx my mz p bx by bz pmin pmax status
      0  0.00000E+00  0.00000E+00  5.00000E+00 -3.34520E-15  0.00000E+00  0.00000E+00  1.72587E-03  0.00000E+00  0.00000E+00 -5.00000E+00  1.72587E-03  1.72587E-03  0.00000E+00
      1  0.00000E+00  0.00000E+00  5.00001E+00 -3.34495E-15 -2.11430E-34 -2.80566E-34  1.72610E-03  8.14538E-18 -1.28811E-17 -5.00206E+00  1.63830E-03  1.81711E-03  0.00000E+00
      2  0.00000E+00  0.00000E+00  5.00003E+00 -3.34468E-15  5.67773E-34 -7.26832E-34  1.72626E-03  1.25022E-17 -5.30397E-18 -5.00410E+00  1.56514E-03  1.90176E-03  0.00000E+00
      3  0.00000E+00  0.00000E+00  5.00006E+00 -3.34441E-15  6.77699E-34  4.30635E-34  1.72640E-03 -6.51631E-17 -1.66696E-17 -5.00612E+00  1.50408E-03  1.97815E-03  0.00000E+00
      4  0.00000E+00  0.00000E+00  5.00008E+00 -3.34412E-15  1.61499E-33  5.34730E-34  1.72657E-03 -3.78855E-17 -2.27313E-17 -5.00812E+00  1.45339E-03  2.04537E-03  0.00000E+00
      5  0.00000E+00  0.00000E+00  5.00012E+00 -3.34382E-15  1.21761E-33 -8.66453E-34  1.72677E-03  1.04564E-16 -1.33357E-16 -5.01012E+00  1.41189E-03  2.10223E-03  0.00000E+00
      6  0.00000E+00  0.00000E+00  5.00017E+00 -3.34351E-15  1.05046E-33 -1.32084E-33  1.72701E-03 -7.57710E-18 -1.51542E-17 -5.01211E+00  1.37768E-03  2.14659E-03  0.00000E+00
      7  0.00000E+00  0.00000E+00  5.00023E+00 -3.34319E-15  1.15110E-33 -2.46719E-33  1.72729E-03 -6.97093E-17 -1.75789E-16 -5.01410E+00  1.34976E-03  2.18265E-03  0.00000E+00
      8  0.00000E+00  0.00000E+00  5.00030E+00 -3.34287E-15  1.91173E-33 -2.41190E-33  1.72762E-03 -1.12141E-16 -7.27402E-17 -5.01609E+00  1.32731E-03  2.21048E-03  0.00000E+00
      9  0.00000E+00  0.00000E+00  5.00038E+00 -3.34254E-15  3.78112E-33  2.24604E-35  1.72799E-03  1.69727E-16  1.09110E-16 -5.01811E+00  1.30968E-03  2.23954E-03  0.00000E+00
     10  0.00000E+00  0.00000E+00  5.00047E+00 -3.34220E-15  3.77680E-33  7.60198E-34  1.72839E-03 -9.09252E-18 -9.09252E-18 -5.02014E+00  1.29639E-03  2.26473E-03  0.00000E+00
