Volume averages, fluxes, etc
it t rho dt p ux uy uz bx by bz
       0  0.00000E+00  2.25859E+007  0.00000E+000  6.62991E-003  5.16120E-019  3.78676E-018  3.99665E+002  3.00000E+001  0.00000E+000  0.00000E+000
       1  0.00000E+00  2.25859E+007  0.00000E+000  6.67513E-003  5.92315E-017  6.97891E-018  3.99612E+002  3.00107E+001 -1.05134E-017  8.10758E-018
       2  0.00000E+00  2.25859E+007  0.00000E+000  6.71691E-003  2.52107E-017  8.99441E-018  3.99573E+002  3.00201E+001  1.40002E-017 -2.37513E-017
       3  0.00000E+00  2.25859E+007  0.00000E+000  6.76277E-003 -2.07095E-017  8.28091E-017  3.99521E+002  3.00294E+001 -4.41627E-017 -2.25364E-018
       4  0.00000E+00  2.25859E+007  0.00000E+000  6.81845E-003  3.62720E-017 -9.90584E-017  3.99454E+002  3.00387E+001 -2.33642E-016 -3.85470E-018
       5  0.00000E+00  2.25859E+007  0.00000E+000  6.88867E-003  4.15257E-017 -4.20055E-017  3.99374E+002  3.00475E+001  1.11716E-016  1.19616E-016
       6  0.00000E+00  2.25859E+007  0.00000E+000  6.97736E-003  1.40704E-016 -5.55173E-017  3.99279E+002  3.00555E+001  9.09730E-017 -2.31407E-017
       7  0.00000E+00  2.25859E+007  0.00000E+000  7.08795E-003  1.41957E-016 -2.97464E-016  3.99171E+002  3.00623E+001  2.67472E-016  1.22547E-018
       8  0.00000E+00  2.25859E+007  0.00000E+000  7.22382E-003  3.19868E-016  2.45696E-018  3.99050E+002  3.00680E+001  4.80587E-016 -4.60071E-017
       9  0.00000E+00  2.25859E+007  0.00000E+000  7.38807E-003  3.66944E-016 -8.26198E-017  3.98915E+002  3.00725E+001 -5.70207E-016  1.53007E-016
      10  0.00000E+00  2.25859E+007  0.00000E+000  7.58350E-003  5.36266E-016 -7.05921E-017  3.98766E+002  3.00760E+001 -3.16675E-016  8.58245E-017
      11  0.00000E+00  2.25859E+007  0.00000E+000  7.81252E-003  7.04073E-016 -2.83597E-016  3.98606E+002  3.00786E+001 -2.43736E-016 -2.36770E-017
      12  0.00000E+00  2.25859E+007  0.00000E+000  8.07701E-003  8.16178E-016 -2.18347E-016  3.98433E+002  3.00803E+001  1.19896E-015  1.04270E-016
      13  0.00000E+00  2.25859E+007  0.00000E+000  8.37855E-003  8.33867E-016 -2.62633E-016  3.98248E+002  3.00812E+001  6.10641E-016 -7.61725E-017
      14  0.00000E+00  2.25859E+007  0.00000E+000  8.71824E-003  8.24871E-016 -4.55891E-017  3.98052E+002  3.00814E+001  9.51214E-016  2.34020E-016
      15  0.00000E+00  2.25859E+007  0.00000E+000  9.09649E-003  7.92582E-016 -2.41428E-016  3.97846E+002  3.00810E+001  3.06260E-016  2.47978E-016
      16  0.00000E+00  2.25859E+007  0.00000E+000  9.51333E-003  1.13278E-015 -1.08203E-016  3.97630E+002  3.00800E+001  4.36764E-016 -5.43499E-017
      17  0.00000E+00  2.25859E+007  0.00000E+000  9.96882E-003  9.23923E-016 -3.33846E-016  3.97404E+002  3.00784E+001 -3.47937E-016 -4.89459E-017
      18  0.00000E+00  2.25859E+007  0.00000E+000  1.04620E-002  7.04246E-016  5.67809E-016  3.97169E+002  3.00762E+001 -8.94787E-016 -9.19430E-017
