test point (X,Y,Z):  -3.20000E-03  4.00000E-03  1.00000E-03
it year mo dy hr mn sc msc X Y Z rho Ux Uy Uz Bx p rhopnt ppnt Pmin Pmax
      1 2001 09 21 00 00 00 000 -3.00293E-03  3.78418E-03  1.09863E-03  8.11022E+00  3.94615E+02  9.47974E-13  9.47973E-13  3.40000E+00  2.91556E-02  1.25483E+01  1.24343E-02  1.19519E-02  9.93892E-02
      2 2001 09 21 00 00 00 000 -3.00293E-03  3.78418E-03  1.09863E-03  8.21480E+00  3.89821E+02 -1.81968E-05 -4.81486E-11  3.39998E+00  3.74385E-02  1.96897E+01  7.77955E-03  7.64115E-03  1.76335E-01
      3 2001 09 21 00 00 00 000 -3.00293E-03  3.78418E-03  1.09863E-03  8.31608E+00  3.85431E+02 -7.12004E-05 -3.10135E-11  3.39992E+00  4.50161E-02  3.08504E+01  4.87084E-03  4.71062E-03  2.35534E-01
      4 2001 09 21 00 00 00 000 -3.00293E-03  3.78418E-03  1.09863E-03  8.41514E+00  3.81353E+02 -1.63283E-04 -5.07653E-11  3.39982E+00  5.20390E-02  4.80500E+01  3.05395E-03  2.93619E-03  2.90101E-01
      5 2001 09 21 00 00 00 000 -3.00293E-03  3.78418E-03  1.09863E-03  8.51268E+00  3.77533E+02 -2.93742E-04 -8.12781E-11  3.39966E+00  5.86029E-02  7.39014E+01  1.92014E-03  1.85336E-03  3.41090E-01
      6 2001 09 21 00 00 00 000 -3.00293E-03  3.78418E-03  1.09863E-03  8.60916E+00  3.73932E+02 -4.56503E-04 -9.60493E-11  3.39947E+00  6.47758E-02  1.11667E+02  1.21411E-03  1.17541E-03  3.86714E-01
      7 2001 09 21 00 00 00 000 -3.00293E-03  3.78418E-03  1.09863E-03  8.70496E+00  3.70524E+02 -6.43372E-04 -9.58324E-11  3.39923E+00  7.06089E-02  1.65063E+02  7.76517E-04  7.48531E-04  4.28716E-01
      8 2001 09 21 00 00 00 000 -3.00293E-03  3.78418E-03  1.09863E-03  8.80071E+00  3.67285E+02 -8.44857E-04 -8.78919E-11  3.39894E+00  7.61433E-02  2.37811E+02  5.07933E-04  4.62967E-04  4.70440E-01
      9 2001 09 21 00 00 00 000 -3.00293E-03  3.78418E-03  1.09863E-03  8.89616E+00  3.64199E+02 -1.04926E-03 -7.51647E-11  3.39863E+00  8.14125E-02  3.33309E+02  3.46351E-04  2.95972E-04  5.09606E-01
     10 2001 09 21 00 00 00 000 -3.00293E-03  3.78418E-03  1.09863E-03  8.99160E+00  3.61252E+02 -1.24605E-03 -5.87169E-11  3.39827E+00  8.64445E-02  4.55404E+02  2.53250E-04  1.88859E-04  5.45825E-01
     11 2001 09 21 00 00 00 000 -3.00293E-03  3.78418E-03  1.09863E-03  9.08714E+00  3.58432E+02 -1.42549E-03 -3.69443E-11  3.39789E+00  9.12631E-02  7.67545E+02  1.56926E-04  1.27189E-04  5.79564E-01
