Volume averages, fluxes, etc
it year mo dy hr mn sc msc t Rho Pmin Pmax Pe Bx By Bz SWpRho SWpUx SWpUy SWpUz SWpP H2OpRho H2OpUx H2OpUy H2OpUz H2OpP
      1 2000 01 01 00 00 00 000  0.00000E+00  8.06717E+00  1.10439E-02  1.10476E-02  1.10518E-02 -3.40000E+00  3.40000E+00  0.00000E+00  7.99994E+00 -3.69806E+02  1.05624E-13  1.65701E-13  1.10451E-02  6.62399E-02 -2.24822E+02 -1.06039E-08 -1.08445E-08  1.09688E-06
      2 2000 01 01 00 00 00 000  0.00000E+00  8.30626E+00  1.10471E-02  1.11011E-02  1.10728E-02 -3.40000E+00  3.40001E+00  4.19733E-17  7.99965E+00 -3.64334E+02  2.50002E-12  1.00710E-11  1.10468E-02  3.04701E-01 -1.91692E+02  2.80655E-09 -3.13602E-09  1.06210E-06
      3 2000 01 01 00 00 00 000  0.00000E+00  9.40571E+00  1.10434E-02  1.11017E-02  1.11726E-02 -3.40000E+00  3.40022E+00  4.52419E-16  7.99877E+00 -3.39890E+02 -1.07248E-07  2.74439E-10  1.10477E-02  1.40087E+00 -1.80907E+02 -2.95749E-07  3.17036E-09  9.13284E-07
      4 2000 01 01 00 00 00 000  0.00000E+00  1.26131E+01  1.10100E-02  1.12129E-02  1.14438E-02 -3.39998E+00  3.40174E+00  1.39350E-13  7.99830E+00 -2.83944E+02 -3.67252E-06 -9.68867E-11  1.10513E-02  4.59670E+00 -1.65323E+02 -6.73687E-06  9.03265E-10  6.57301E-07
      5 2000 01 01 00 00 00 000  0.00000E+00  1.76984E+01  1.08362E-02  1.14854E-02  1.18585E-02 -3.39993E+00  3.40536E+00  2.69757E-14  8.00056E+00 -2.29180E+02 -3.23680E-05  1.05974E-09  1.10625E-02  9.66110E+00 -1.43491E+02 -4.98865E-05  7.22795E-10  4.97018E-07
      6 2000 01 01 00 00 00 000  0.00000E+00  2.49998E+01  1.03897E-02  1.20690E-02  1.24381E-02 -3.39982E+00  3.41135E+00  5.53063E-13  8.00583E+00 -1.83399E+02 -1.44185E-04  2.44773E-09  1.10829E-02  1.69311E+01 -1.22611E+02 -2.11973E-04  1.01804E-09  4.34357E-07
      7 2000 01 01 00 00 00 000  0.00000E+00  2.79520E+01  1.03883E-02  1.28727E-02  1.27250E-02 -3.39976E+00  3.42056E+00 -3.15685E-13  8.02294E+00 -1.60424E+02 -2.76941E-04 -3.44439E-08  1.11272E-02  1.98549E+01 -1.08823E+02 -3.67954E-04 -5.39433E-08  4.09995E-07
      8 2000 01 01 00 00 00 000  0.00000E+00  3.52458E+01  9.55920E-03  1.38570E-02  1.33153E-02 -3.39965E+00  3.43103E+00 -2.79883E-12  8.03841E+00 -1.40468E+02 -4.93986E-04 -1.54462E-08  1.11734E-02  2.71072E+01 -9.95733E+01 -6.45488E-04 -1.78860E-08  4.45906E-07
      9 2000 01 01 00 00 00 000  0.00000E+00  4.60645E+01  8.83498E-03  1.40991E-02  1.41140E-02 -3.39949E+00  3.43724E+00  1.96447E-11  8.04040E+00 -1.18861E+02 -7.52043E-04 -2.47663E-10  1.11922E-02  3.78854E+01 -8.85258E+01 -9.67431E-04  4.78243E-10  5.28779E-07
     10 2000 01 01 00 00 00 000  0.00000E+00  6.03164E+01  7.32945E-03  1.49247E-02  1.51136E-02 -3.39921E+00  3.44566E+00 -1.60769E-11  8.04492E+00 -9.91948E+01 -1.20865E-03 -6.53072E-09  1.12218E-02  5.20828E+01 -7.72385E+01 -1.45694E-03 -1.81705E-08  7.00774E-07
     11 2000 01 01 00 00 00 000  0.00000E+00  7.67547E+01  7.29667E-03  1.61186E-02  1.62296E-02 -3.39886E+00  3.45814E+00  5.44038E-11  8.05642E+00 -8.62542E+01 -1.34671E-03 -1.18116E-08  1.12722E-02  6.84532E+01 -6.93644E+01 -1.59921E-03 -2.15919E-08  1.08245E-06
     12 2000 01 01 00 00 00 000  0.00000E+00  9.18975E+01  7.39063E-03  1.73581E-02  1.72719E-02 -3.39846E+00  3.46943E+00  2.28467E-10  8.06497E+00 -7.86636E+01 -1.54426E-03  4.81747E-08  1.13178E-02  8.35351E+01 -6.49448E+01 -1.80638E-03  2.65323E-08  2.76482E-06
     13 2000 01 01 00 00 00 000  0.00000E+00  1.06695E+02  8.62885E-03  2.02342E-02  1.81979E-02 -3.39817E+00  3.47067E+00  4.01851E-10  8.05273E+00 -7.09049E+01 -1.73379E-03  1.00701E-07  1.13091E-02  9.82948E+01 -6.01450E+01 -1.99967E-03  6.50361E-08  1.01850E-05
     14 2000 01 01 00 00 00 000  0.00000E+00  1.27186E+02  8.73202E-03  2.02358E-02  1.93037E-02 -3.39775E+00  3.46761E+00  3.20888E-10  8.02748E+00 -6.69097E+01 -1.88499E-03  9.61140E-08  1.12705E-02  1.18746E+02 -5.78194E+01 -2.16884E-03  5.87791E-08  3.61793E-05
     15 2000 01 01 00 00 00 000  0.00000E+00  1.44774E+02  8.52603E-03  2.05667E-02  2.01317E-02 -3.39734E+00  3.46780E+00 -1.18744E-10  8.01356E+00 -6.53388E+01 -2.05449E-03  1.11068E-07  1.12525E-02  1.36296E+02 -5.66915E+01 -2.30125E-03 -9.23787E-09  1.01590E-04
     16 2000 01 01 00 00 00 000  0.00000E+00  1.65014E+02  8.55484E-03  2.97567E-02  2.10959E-02 -3.39690E+00  3.47030E+00  4.03974E-09  8.00293E+00 -6.37095E+01 -2.19941E-03  1.12403E-07  1.12455E-02  1.56487E+02 -5.54950E+01 -2.43877E-03  1.60154E-08  2.52928E-04
     17 2000 01 01 00 00 00 000  0.00000E+00  1.88797E+02  8.75390E-03  4.00327E-02  2.23097E-02 -3.39629E+00  3.48200E+00  8.73878E-09  8.01065E+00 -6.11481E+01 -2.57574E-03  5.97482E-07  1.12882E-02  1.80191E+02 -5.36356E+01 -2.76414E-03  4.07067E-07  7.26783E-04
     18 2000 01 01 00 00 00 000  0.00000E+00  2.20522E+02  7.99853E-03  5.18746E-02  2.41662E-02 -3.39555E+00  3.51569E+00  9.33158E-09  8.06108E+00 -5.54819E+01 -3.23635E-03  1.35665E-07  1.14527E-02  2.11767E+02 -4.97610E+01 -3.31936E-03 -9.95657E-08  2.32070E-03
     19 2000 01 01 00 00 00 000  0.00000E+00  2.61822E+02  8.15360E-03  7.45961E-02  2.68388E-02 -3.39477E+00  3.57493E+00  1.27689E-08  8.15892E+00 -4.62316E+01 -3.83427E-03 -2.99613E-08  1.17731E-02  2.52836E+02 -4.33451E+01 -3.89788E-03 -1.82637E-07  6.19634E-03
     20 2000 01 01 00 00 00 000  0.00000E+00  3.11207E+02  8.57158E-03  9.68612E-02  3.01065E-02 -3.39353E+00  3.63822E+00  1.12488E-08  8.25618E+00 -3.66670E+01 -4.72098E-03  4.24411E-07  1.21466E-02  3.01963E+02 -3.60231E+01 -4.77748E-03  4.76786E-08  1.22808E-02
     21 2000 01 01 00 00 00 000  0.00000E+00  3.63908E+02  8.95798E-03  1.19428E-01  3.35865E-02 -3.39191E+00  3.70211E+00  1.02698E-08  8.35247E+00 -3.02839E+01 -5.74323E-03 -2.12447E-07  1.25596E-02  3.54394E+02 -3.02712E+01 -5.76218E-03 -1.98627E-07  1.90834E-02
     22 2000 01 01 00 00 00 000  0.00000E+00  4.17969E+02  9.45708E-03  1.42388E-01  3.71636E-02 -3.39018E+00  3.77039E+00  1.01812E-08  8.45898E+00 -2.62014E+01 -7.04583E-03 -3.03808E-07  1.30341E-02  4.08172E+02 -2.62000E+01 -7.05777E-03 -3.14699E-07  2.57038E-02
     23 2000 01 01 00 00 00 000  0.00000E+00  4.72749E+02  1.00035E-02  1.65564E-01  4.07834E-02 -3.38844E+00  3.84000E+00  1.16083E-08  8.56821E+00 -2.32301E+01 -8.51768E-03 -5.18053E-07  1.35483E-02  4.62664E+02 -2.32301E+01 -8.51768E-03 -5.18053E-07  3.19350E-02
     24 2000 01 01 00 00 00 000  0.00000E+00  5.28042E+02  1.05787E-02  1.89284E-01  4.44244E-02 -3.38674E+00  3.90967E+00  1.36295E-08  8.67731E+00 -2.09610E+01 -9.91002E-03 -6.71849E-07  1.40931E-02  5.17668E+02 -2.09610E+01 -9.91002E-03 -6.71849E-07  3.78119E-02
