Coefficients order=29 center=1998_05_01_12 


Coefficients for 360 degrees 
  Beginning: CT1935:315  1998:04:17_16h:45m:01s. 
  Centered:  CT1935:135  1998:05:01_08h:03m:13s. 
  End time:  CT1936:320  1998:05:14_14h:15m:54s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      31.75       0.00
  1   0     104.43       0.00
  1   1      -3.64     -20.87
  2   0      12.46       0.00
  2   1      43.24     -25.82
  2   2      27.98      87.07
  3   0     167.82       0.00
  3   1      13.77     -22.29
  3   2     -47.73     -66.98
  3   3      38.91      41.51
  4   0     -10.56       0.00
  4   1      17.98     -33.12
  4   2      -5.87      54.49
  4   3     -98.20     -38.32
  4   4       2.61     -19.56
  5   0     113.25       0.00
  5   1      20.62      47.60
  5   2      15.53      30.65
  5   3      86.45      38.73
  5   4      40.73     -15.91
  5   5     -74.41     -11.73
  6   0      -5.58       0.00
  6   1      -4.75      -4.42
  6   2     -20.00     -72.67
  6   3      -6.40      43.60
  6   4      -6.11     -10.96
  6   5     128.50      12.38
  6   6      25.20      33.33
  7   0      28.65       0.00
  7   1      61.60      38.52
  7   2     -26.86      47.39
  7   3     -30.69     -72.55
  7   4     -22.00     -11.79
  7   5     -75.06      45.57
  7   6     -58.61     -98.75
  7   7      47.63      17.42
  8   0     -16.33       0.00
  8   1      48.97     -14.19
  8   2      -2.37      61.72
  8   3     103.72       5.72
  8   4      27.68      71.57
  8   5     -36.88     -34.35
  8   6      19.41      25.83
  8   7     -70.61     -58.33
  8   8     -56.26      13.70
  9   0     -94.49       0.00
  9   1       6.90      17.61
  9   2      43.83      31.80
  9   3      -4.66     -32.42
  9   4     -32.49     -10.19
  9   5      82.49      57.99
  9   6      20.86     -23.04
  9   7     129.77      43.16
  9   8      50.01      14.66
  9   9     -60.01     -23.07
 10   0      11.17       0.00
 10   1      29.27     -34.32
 10   2     -60.93      29.19
 10   3     -47.39     -40.37
 10   4      -0.53      17.83
 10   5     -49.27     -39.73
 10   6     -17.33     -11.13
 10   7     -58.57     -26.43
 10   8     -64.04       9.38
 10   9     110.14      62.74
 10  10       0.97      25.00
 11   0    -111.40       0.00
 11   1      -2.82      20.17
 11   2       3.12      65.39
 11   3       3.04     -27.47
 11   4      52.14      68.55
 11   5       6.15     -55.55
 11   6      -1.71      11.81
 11   7     -76.78     -16.49
 11   8      35.59      -0.90
 11   9    -113.73       9.15
 11  10     -25.79      25.54
 11  11      -2.79     -31.65
 12   0     -21.82       0.00
 12   1      -8.27      -5.89
 12   2       4.05      -6.18
 12   3      27.41      10.64
 12   4     -37.04     -34.05
 12   5      45.18      35.67
 12   6      15.00      15.19
 12   7     129.11      61.65
 12   8      23.60       4.37
 12   9      33.74     -50.00
 12  10      -3.93      36.28
 12  11     -15.56     190.29
 12  12      31.19       0.37
 13   0    -174.78       0.00
 13   1      40.32      -6.35
 13   2      -0.98      29.94
 13   3     -64.42     -71.28
 13   4       3.74       1.19
 13   5     -46.75     -29.94
 13   6      10.02     -16.51
 13   7     -81.07      -3.73
 13   8     -27.96     -35.55
 13   9     -14.78      -2.83
 13  10      43.26      19.74
 13  11      14.78     -53.83
 13  12     -46.74      15.44
 13  13     -13.64      -3.72
 14   0      11.37       0.00
 14   1      -0.09       7.14
 14   2     -44.90      31.74
 14   3      63.16     -13.93
 14   4      20.05      63.62
