Coefficients order= 30 center=CT2077:180
Observation time
          B0 angle & Nmax:        0           30





Max Harmonic Order: 30              Units: Gauss
 
  l   m      g(uT)      h(uT)
 
    0    0        0.0000000000        0.0000000000
    1    0       -1.4163869786        0.0000000000
    1    1       -0.1831840780       -0.0004941872
    2    0        0.2609557597        0.0000000000
    2    1        0.0721045244       -0.0874603711
    2    2        0.0933146582        0.3021077983
    3    0       -1.8867477743        0.0000000000
    3    1        0.1536486927        0.0980016082
    3    2       -0.0664441605        0.1468175235
    3    3        0.0486245882        0.0048003494
    4    0       -0.1533748874        0.0000000000
    4    1       -0.0642181283        0.0313187968
    4    2        0.1566740491       -0.2010689324
    4    3       -0.0107501448       -0.2400744485
    4    4        0.0904599097       -0.1091659721
    5    0       -0.7880342562        0.0000000000
    5    1        0.0480818942        0.0685796424
    5    2       -0.0438792866        0.2098422378
    5    3       -0.0412362384       -0.2259142146
    5    4       -0.1530984887       -0.1220176173
    5    5        0.4699849450        0.0735951397
    6    0       -0.4811903672        0.0000000000
    6    1        0.1167667576       -0.0676297091
    6    2       -0.1590939596       -0.1357396418
    6    3       -0.2088444685       -0.0096492967
    6    4        0.1315382294       -0.0766325156
    6    5        0.5099225516        0.1134552832
    6    6       -0.0935877744       -0.1305805752
    7    0        0.2838742524        0.0000000000
    7    1       -0.1866899090        0.2315190243
    7    2       -0.0395284801       -0.0864192571
    7    3        0.0646033407        0.1561652043
    7    4        0.0413758706       -0.0239731074
    7    5        0.5142115099        0.0317457743
    7    6       -0.2059596414        0.3094239850
    7    7        0.0926451383        0.0148939341
    8    0       -0.0012293417        0.0000000000
    8    1       -0.0587801503       -0.2633217412
    8    2       -0.0141093506        0.0411238617
    8    3        0.1643272115       -0.0866259721
    8    4        0.0824741468        0.1877473183
    8    5        0.4021821536       -0.0173242577
    8    6       -0.2110469405        0.0467414891
    8    7        0.0018937808        0.2034442867
    8    8        0.1505137119        0.0244871074
    9    0        0.6809394901        0.0000000000
    9    1        0.1032621563        0.1803348521
    9    2       -0.1748878239        0.1514216193
    9    3        0.1514857071        0.0399877192
    9    4       -0.1286617416       -0.1557675874
    9    5        0.1537240556       -0.0775408674
    9    6       -0.2095133479       -0.1263212282
    9    7        0.0223539570       -0.1835903470
    9    8        0.3619625355       -0.1824120695
    9    9       -0.0645221225       -0.2106576457
   10    0        0.2462580041        0.0000000000
   10    1       -0.1995076688        0.2456661479
   10    2        0.0772131781        0.0126045220
   10    3        0.0718421294       -0.1699803968
   10    4        0.0370874967       -0.1490182790
   10    5       -0.3152184905        0.0225067342
   10    6       -0.2006884122       -0.0191695442
   10    7       -0.0311313229        0.1322634132
   10    8        0.3278890450        0.0540025066
   10    9        0.0202236216        0.1424079412
   10   10       -0.0673592822        0.1849840115
   11    0        0.2866517424        0.0000000000
   11    1       -0.1036050943       -0.0878961763
   11    2       -0.0304288970       -0.1212083557
   11    3       -0.1081922205       -0.1368736013
   11    4        0.0511683060        0.0492897028
   11    5       -0.3836550690       -0.3979903675
   11    6       -0.0505000921       -0.0681848098
   11    7       -0.0605181368        0.2120991494
   11    8        0.6112424357       -0.1810807181
   11    9       -0.1390035091       -0.2206735161
   11   10       -0.1407319623       -0.1241880362
   11   11        0.1174506349        0.1454928950
   12    0        0.0813992884        0.0000000000
   12    1        0.2648225133       -0.0400589670
   12    2       -0.2502918039       -0.0389292774
   12    3       -0.2908366874       -0.2290984154
   12    4       -0.1349420487       -0.1634578639
   12    5       -0.0429372906        0.0881328633
   12    6        0.1473138364       -0.0489284268
   12    7       -0.0464407860        0.1933059144
   12    8        0.3559915702       -0.1500944180
   12    9       -0.3085621934       -0.0553609288
