Volume averages, fluxes, etc
it t dt rho mx my mz bx by bz Ew e Pmin Pmax
      1  0.00000E+00  0.00000E+00  8.36674E-21  3.85824E-15  3.41203E-14 -1.36998E-14 -1.57856E-05 -1.73752E-05  1.38162E-04  1.68685E-05  1.40677E-05  1.28200E-07  3.18932E-04
      2  0.00000E+00  0.00000E+00  8.23817E-21  1.82992E-14  4.95275E-14  9.55570E-15 -6.05098E-05 -4.84380E-05  5.01238E-04  6.65993E-05  4.52506E-05  1.47077E-07  8.58392E-04
      3  0.00000E+00  0.00000E+00  8.17977E-21  2.87501E-14  6.55611E-14  3.13474E-14 -1.28029E-04 -1.00077E-04  1.12583E-03  1.86725E-04  1.03387E-04  1.53112E-07  1.92622E-03
      4  0.00000E+00  0.00000E+00  8.18970E-21  4.50994E-14  8.97327E-14  4.25098E-14 -2.56354E-04 -2.16559E-04  2.07953E-03  4.66746E-04  1.97068E-04  1.61229E-07  4.69614E-03
      5  0.00000E+00  0.00000E+00  8.25977E-21  6.14659E-14  1.17660E-13  3.95693E-14 -4.51530E-04 -4.05328E-04  3.45972E-03  9.19821E-04  3.18686E-04  1.71413E-07  8.20923E-03
      6  0.00000E+00  0.00000E+00  8.36180E-21  6.59255E-14  1.43640E-13  2.21748E-14 -6.72695E-04 -6.06880E-04  5.25337E-03  1.63741E-03  4.76636E-04  1.83896E-07  1.23503E-02
      7  0.00000E+00  0.00000E+00  8.51355E-21  7.15803E-14  1.68371E-13  1.21377E-14 -9.39334E-04 -8.35582E-04  7.40634E-03  2.59090E-03  6.71557E-04  1.98927E-07  1.74852E-02
      8  0.00000E+00  0.00000E+00  8.70350E-21  7.93738E-14  1.96003E-13  2.53361E-15 -1.22646E-03 -1.07159E-03  9.78886E-03  3.75620E-03  8.97472E-04  2.16845E-07  2.27649E-02
      9  0.00000E+00  0.00000E+00  8.92350E-21  8.81429E-14  2.24984E-13 -7.28031E-15 -1.53203E-03 -1.31802E-03  1.23378E-02  5.10706E-03  1.15161E-03  2.37296E-07  2.81696E-02
     10  0.00000E+00  0.00000E+00  9.16633E-21  9.72139E-14  2.54851E-13 -1.78844E-14 -1.84844E-03 -1.57359E-03  1.49972E-02  6.62335E-03  1.43140E-03  2.60220E-07  3.34009E-02
     11  0.00000E+00  0.00000E+00  9.42709E-21  1.06277E-13  2.85677E-13 -2.91547E-14 -2.17169E-03 -1.84103E-03  1.77211E-02  8.26995E-03  1.73544E-03  2.83476E-07  3.83072E-02
     12  0.00000E+00  0.00000E+00  9.70174E-21  1.15899E-13  3.18106E-13 -4.10811E-14 -2.49980E-03 -2.12254E-03  2.04731E-02  9.99843E-03  2.06493E-03  3.11650E-07  4.54605E-02
     13  0.00000E+00  0.00000E+00  9.98776E-21  1.26011E-13  3.52339E-13 -5.37280E-14 -2.83352E-03 -2.41884E-03  2.32201E-02  1.17747E-02  2.42036E-03  3.45194E-07  5.33196E-02
     14  0.00000E+00  0.00000E+00  1.02834E-20  1.36783E-13  3.88562E-13 -6.69814E-14 -3.17226E-03 -2.73084E-03  2.59350E-02  1.35770E-02  2.80098E-03  3.84992E-07  6.04042E-02
     15  0.00000E+00  0.00000E+00  1.05878E-20  1.48322E-13  4.26695E-13 -8.08080E-14 -3.51699E-03 -3.06003E-03  2.85971E-02  1.53809E-02  3.20791E-03  4.31046E-07  6.65315E-02
     16  0.00000E+00  0.00000E+00  1.09005E-20  1.60699E-13  4.66827E-13 -9.54700E-14 -3.86873E-03 -3.40887E-03  3.11900E-02  1.71638E-02  3.64312E-03  4.83432E-07  7.16638E-02
     17  0.00000E+00  0.00000E+00  1.12205E-20  1.73795E-13  5.09115E-13 -1.10988E-13 -4.22945E-03 -3.77954E-03  3.37016E-02  1.89000E-02  4.10976E-03  5.42873E-07  7.58338E-02
     18  0.00000E+00  0.00000E+00  1.15448E-20  1.87139E-13  5.53248E-13 -1.27377E-13 -4.60022E-03 -4.17394E-03  3.61210E-02  2.05680E-02  4.61070E-03  5.94522E-07  7.91230E-02
     19  0.00000E+00  0.00000E+00  1.18690E-20  1.99769E-13  5.98516E-13 -1.44520E-13 -4.98389E-03 -4.59211E-03  3.84398E-02  2.22095E-02  5.14076E-03  6.25100E-07  8.17020E-02
     20  0.00000E+00  0.00000E+00  1.21866E-20  2.09744E-13  6.44132E-13 -1.62183E-13 -5.38359E-03 -5.03329E-03  4.06509E-02  2.37758E-02  5.70601E-03  6.51430E-07  8.37359E-02
     21  0.00000E+00  0.00000E+00  1.24909E-20  2.15271E-13  6.88900E-13 -1.80020E-13 -5.80224E-03 -5.49476E-03  4.27491E-02  2.53035E-02  6.30066E-03  6.84366E-07  8.53371E-02
     22  0.00000E+00  0.00000E+00  1.27743E-20  2.14910E-13  7.31273E-13 -1.98036E-13 -6.24216E-03 -5.97343E-03  4.47336E-02  2.67627E-02  6.92615E-03  7.23688E-07  8.65796E-02
     23  0.00000E+00  0.00000E+00  1.30296E-20  2.07839E-13  7.69885E-13 -2.16236E-13 -6.70397E-03 -6.46534E-03  4.66070E-02  2.81885E-02  7.57390E-03  7.69056E-07  8.75461E-02
     24  0.00000E+00  0.00000E+00  1.32509E-20  1.93818E-13  8.02946E-13 -2.34782E-13 -7.18751E-03 -6.96602E-03  4.83728E-02  2.95763E-02  8.23906E-03  8.19257E-07  8.84419E-02
     25  0.00000E+00  0.00000E+00  1.34316E-20  1.73311E-13  8.28963E-13 -2.53518E-13 -7.69011E-03 -7.46841E-03  5.00329E-02  3.09317E-02  8.91584E-03  8.72196E-07  8.94188E-02
     26  0.00000E+00  0.00000E+00  1.35640E-20  1.46755E-13  8.47172E-13 -2.72061E-13 -8.20713E-03 -7.96246E-03  5.15902E-02  3.22713E-02  9.59615E-03  9.26165E-07  9.04797E-02
     27  0.00000E+00  0.00000E+00  1.36401E-20  1.15227E-13  8.57472E-13 -2.90347E-13 -8.73251E-03 -8.44133E-03  5.30455E-02  3.35911E-02  1.02754E-02  9.80985E-07  9.28416E-02
     28  0.00000E+00  0.00000E+00  1.36517E-20  7.97266E-14  8.61109E-13 -3.08370E-13 -9.26098E-03 -8.89619E-03  5.43962E-02  3.48776E-02  1.09492E-02  1.03752E-06  9.50986E-02
     29  0.00000E+00  0.00000E+00  1.35928E-20  4.12987E-14  8.60568E-13 -3.26313E-13 -9.78633E-03 -9.32396E-03  5.56376E-02  3.61454E-02  1.16095E-02  1.09769E-06  9.72711E-02
     30  0.00000E+00  0.00000E+00  1.34606E-20  4.61361E-16  8.57391E-13 -3.44356E-13 -1.03056E-02 -9.72207E-03  5.67666E-02  3.74216E-02  1.22690E-02  1.16110E-06  9.93645E-02
