deg deg R km/s g/cm3 km/s km/s km/s G G G erg/cm3 erg/cm3 erg/cm3 dyne/cm^2 dyne/cm^2 K K -- -- -- -- deg deg km/s
       320  1.0000000000E+02  2  3 23
      37      19
  6.9600000000E+08  1.0000000000E+00  1.6666666667E+00
lon lat r divudx Rho Ux Uy Uz Bx By Bz Ehot I01 I02 Pe P te ti normx normy normz comprho thetaup thetadn ushk xSI r g
  0.0000000000E+00 -9.0000000000E+01  2.0195891664E+00 -5.9188989377E+01  2.7400241503E-18  4.7495522146E+01 -6.2425931583E+01 -1.2499985235E+02 -5.2860972385E-01  1.3936636299E+00 -2.4934563444E+00  3.4546210269E-05  4.3569719915E-04  7.1266620189E-07  3.2081931670E-04  1.0023032854E-02  1.3974393008E+06  5.3072607750E+07  3.9220137805E-03  1.4279979249E-01 -9.8210099744E-01  1.9731083219E+01  2.4704591505E+01  2.4702414136E+01  1.5921834325E+01
  1.0000000000E+01 -9.0000000000E+01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  2.0000000000E+01 -9.0000000000E+01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  3.0000000000E+01 -9.0000000000E+01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  4.0000000000E+01 -9.0000000000E+01  2.0195891664E+00 -1.4195626117E+01  2.7431742908E-18  9.8634016228E+01 -5.8430451788E+01 -1.3902525755E+02 -5.3307239180E-01  1.3916553473E+00 -2.4977645537E+00  3.4645769858E-05  4.3816303826E-04  7.1932766784E-07  3.2166935047E-04  1.0286531035E-02  1.3991560165E+06  5.4249444433E+07 -8.8929129308E-02  9.3861088902E-02 -9.8421977246E-01  3.0887150255E+01  2.4928832438E+01  2.6871027089E+01  5.4706879794E+00
  5.0000000000E+01 -9.0000000000E+01  2.0195891664E+00 -3.4322484939E+01  2.7443037079E-18  1.1994370382E+02  2.6436509780E+00 -1.1033986940E+02 -5.3162521600E-01  1.3920345073E+00 -2.5185538889E+00  3.4704291949E-05  4.4289459324E-04  7.4421248338E-07  3.2208387058E-04  1.0195318337E-02  1.3995565999E+06  5.3346280943E+07 -1.0077920564E-01  8.0300225421E-02 -9.8438757370E-01  2.9891723051E+01  2.4660355207E+01  2.7604778646E+01  4.9179404266E-01
  6.0000000000E+01 -9.0000000000E+01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
