Coefficients order=120 Central=C   0:180
Observation time
          B0 angle & Nmax:        0          120





Max Harmonic Order:120              Units: Gauss
 
  l   m      g(uT)      h(uT)
 
    0    0        0.0000000000        0.0000000000
    1    0        2.2062246820        0.0000000000
    1    1        0.1322168358        0.0251866656
    2    0        0.2727631409        0.0000000000
    2    1       -0.0824046499        0.0464878413
    2    2       -0.5682238513       -0.2876764735
    3    0        3.8230779820        0.0000000000
    3    1       -0.0177575365        0.4518219836
    3    2       -0.1027697372        0.1425138445
    3    3       -0.2087461276        1.3830300081
    4    0       -1.0515170674        0.0000000000
    4    1        0.4268855679       -0.2082990498
    4    2        0.3149913969       -0.1798448757
    4    3        0.5053425316        0.2303982615
    4    4        0.0539764839        0.8225052598
    5    0        1.2474129964        0.0000000000
    5    1       -0.1584755446       -0.2243863538
    5    2        0.0815329222        0.2138351416
    5    3        0.5992957793       -0.4926341280
    5    4        0.0321486846        0.4875656841
    5    5        1.2901553394        0.9363839975
    6    0       -0.8278687595        0.0000000000
    6    1        0.2162552032       -0.3950357566
    6    2        0.0342561895       -0.1880555805
    6    3        0.3189259366       -0.3784559029
    6    4        0.0643392961       -0.2040244802
    6    5       -0.0447817870       -0.0306180252
    6    6        0.4784058802       -0.5636685905
    7    0       -0.5266157490        0.0000000000
    7    1        0.3296281622        0.1009945898
    7    2       -0.0050227344       -0.6621907227
    7    3       -0.9065871547        0.0526399992
    7    4       -0.5728336857        0.2537313816
    7    5       -0.3174578995       -0.7840174619
    7    6        0.2841856889       -0.6571814452
    7    7        0.4837706404       -1.3404751040
    8    0        0.1437786636        0.0000000000
    8    1       -0.0778817856       -0.4195754975
    8    2        0.3329720431        0.0890527073
    8    3       -0.2523816266        0.0792408664
    8    4       -0.2107957169        0.2717599687
    8    5       -0.0853878703       -0.1035551383
    8    6       -1.0927684772       -0.0780791956
    8    7       -0.0377975863       -0.1235256457
    8    8        0.4501732714        0.4030147328
    9    0       -1.7559200595        0.0000000000
    9    1       -0.2027694971       -0.3188558089
    9    2        0.0862210203       -0.6321850330
    9    3        0.6470977942        0.4953172432
    9    4        1.0910253847        0.4128425298
    9    5        0.1202331836        0.1317727261
    9    6       -0.3560193865        0.8007321528
    9    7       -0.4390235616        0.0965174598
    9    8       -1.8300431273        0.2544870773
    9    9       -0.3958173951        0.8556037911
   10    0       -0.2677174073        0.0000000000
   10    1       -0.3779618641        0.5040528871
