EIT filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 1 4
200 12
0.0
l10T l10ne 171 195 284 304
4.50000e+00 6.07692e+00 3.11017e-07 1.86694e-06 1.06305e-06 5.10091e-04
4.51758e+00 6.07692e+00 1.33433e-07 2.85907e-06 1.82047e-06 1.28774e-03
4.53517e+00 6.07692e+00 1.96417e-07 5.54512e-06 3.02975e-06 2.53312e-03
4.55276e+00 6.07692e+00 8.99340e-07 1.15112e-05 4.91402e-06 4.41665e-03
4.57035e+00 6.07692e+00 2.66133e-06 2.24456e-05 7.71769e-06 7.12888e-03
4.58793e+00 6.07692e+00 5.93198e-06 4.01783e-05 1.17110e-05 1.08836e-02
4.60552e+00 6.07692e+00 1.12169e-05 6.68269e-05 1.72233e-05 1.59462e-02
4.62311e+00 6.07692e+00 1.93206e-05 1.07934e-04 2.56827e-05 2.34998e-02
4.64070e+00 6.07692e+00 3.15293e-05 1.74685e-04 4.03384e-05 3.62493e-02
4.65829e+00 6.07692e+00 4.92933e-05 2.79536e-04 6.47909e-05 5.71935e-02
4.67587e+00 6.07692e+00 7.42184e-05 4.36022e-04 1.02918e-04 8.95630e-02
4.69346e+00 6.07692e+00 1.08177e-04 6.59557e-04 1.59091e-04 1.37001e-01
4.71105e+00 6.07692e+00 1.53760e-04 9.68888e-04 2.38473e-04 2.03483e-01
4.72864e+00 6.07692e+00 2.20357e-04 1.40564e-03 3.50881e-04 2.92445e-01
4.74623e+00 6.07692e+00 3.22600e-04 2.02979e-03 5.09959e-04 4.07206e-01
4.76381e+00 6.07692e+00 4.76220e-04 2.90684e-03 7.30710e-04 5.51773e-01
4.78140e+00 6.07692e+00 6.98817e-04 4.11171e-03 1.03045e-03 7.31335e-01
4.79899e+00 6.07692e+00 1.00988e-03 5.72805e-03 1.42856e-03 9.51924e-01
4.81658e+00 6.07692e+00 1.42433e-03 7.81072e-03 1.93997e-03 1.21619e+00
4.83417e+00 6.07692e+00 1.92498e-03 1.02286e-02 2.54646e-03 1.50557e+00
4.85175e+00 6.07692e+00 2.48654e-03 1.28002e-02 3.22158e-03 1.79539e+00
4.86934e+00 6.07692e+00 3.08660e-03 1.53531e-02 3.94216e-03 2.06155e+00
4.88693e+00 6.07692e+00 3.70298e-03 1.77101e-02 4.68530e-03 2.27866e+00
4.90452e+00 6.07692e+00 4.31429e-03 1.96900e-02 5.42948e-03 2.42014e+00
4.92211e+00 6.07692e+00 4.89930e-03 2.12016e-02 6.18798e-03 2.47368e+00
4.93969e+00 6.07692e+00 5.43616e-03 2.23320e-02 7.04041e-03 2.45590e+00
4.95728e+00 6.07692e+00 5.90254e-03 2.31799e-02 8.07818e-03 2.38475e+00
4.97487e+00 6.07692e+00 6.27294e-03 2.38334e-02 9.39704e-03 2.27650e+00
4.99246e+00 6.07692e+00 6.51923e-03 2.43751e-02 1.11019e-02 2.14631e+00
5.01005e+00 6.07692e+00 6.61919e-03 2.48943e-02 1.33054e-02 2.00827e+00
5.02763e+00 6.07692e+00 6.71045e-03 2.56469e-02 1.60615e-02 1.87016e+00
5.04522e+00 6.07692e+00 7.06694e-03 2.70366e-02 1.93864e-02 1.73442e+00
5.06281e+00 6.07692e+00 7.97497e-03 2.94901e-02 2.33072e-02 1.60365e+00
5.08040e+00 6.07692e+00 9.73795e-03 3.34674e-02 2.78711e-02 1.48053e+00
5.09799e+00 6.07692e+00 1.26858e-02 3.94757e-02 3.31453e-02 1.36796e+00
5.11557e+00 6.07692e+00 1.72647e-02 4.81869e-02 3.91637e-02 1.26853e+00
5.13316e+00 6.07692e+00 2.44467e-02 6.09795e-02 4.57023e-02 1.18113e+00
5.15075e+00 6.07692e+00 3.54417e-02 7.95582e-02 5.24407e-02 1.10381e+00
5.16834e+00 6.07692e+00 5.15802e-02 1.05812e-01 5.90676e-02 1.03485e+00
5.18592e+00 6.07692e+00 7.43363e-02 1.41841e-01 6.52651e-02 9.72866e-01
5.20351e+00 6.07692e+00 1.05435e-01 1.90122e-01 7.07135e-02 9.16538e-01
5.22110e+00 6.07692e+00 1.47399e-01 2.53865e-01 7.51891e-02 8.64844e-01
5.23869e+00 6.07692e+00 2.04395e-01 3.37714e-01 7.87351e-02 8.16821e-01
5.25628e+00 6.07692e+00 2.81227e-01 4.47063e-01 8.14052e-02 7.71621e-01
5.27386e+00 6.07692e+00 3.83252e-01 5.88008e-01 8.32250e-02 7.28503e-01
5.29145e+00 6.07692e+00 5.16787e-01 7.67873e-01 8.41970e-02 6.86718e-01
5.30904e+00 6.07692e+00 6.88495e-01 9.94400e-01 8.42971e-02 6.45651e-01
5.32663e+00 6.07692e+00 8.96148e-01 1.26473e+00 8.35515e-02 6.05041e-01
5.34422e+00 6.07692e+00 1.12887e+00 1.56571e+00 8.20330e-02 5.64983e-01
5.36180e+00 6.07692e+00 1.37604e+00 1.88443e+00 7.97952e-02 5.25627e-01
5.37939e+00 6.07692e+00 1.62788e+00 2.20913e+00 7.68649e-02 4.87079e-01
5.39698e+00 6.07692e+00 1.87439e+00 2.52767e+00 7.32513e-02 4.49534e-01
5.41457e+00 6.07692e+00 2.10703e+00 2.82980e+00 6.90044e-02 4.13235e-01
5.43216e+00 6.07692e+00 2.32739e+00 3.11750e+00 6.45824e-02 3.78720e-01
5.44974e+00 6.07692e+00 2.54088e+00 3.39745e+00 6.06165e-02 3.46706e-01
5.46733e+00 6.07692e+00 2.75309e+00 3.67660e+00 5.77459e-02 3.17930e-01
5.48492e+00 6.07692e+00 2.96919e+00 3.96135e+00 5.66512e-02 2.93288e-01
5.50251e+00 6.07692e+00 3.19462e+00 4.25847e+00 5.80652e-02 2.73783e-01
5.52010e+00 6.07692e+00 3.44445e+00 4.57192e+00 6.27747e-02 2.60056e-01
5.53768e+00 6.07692e+00 3.75882e+00 4.89770e+00 7.15978e-02 2.51551e-01
5.55527e+00 6.07692e+00 4.18440e+00 5.23139e+00 8.54862e-02 2.47640e-01
5.57286e+00 6.07692e+00 4.77080e+00 5.56825e+00 1.05535e-01 2.47851e-01
5.59045e+00 6.07692e+00 5.57282e+00 5.90385e+00 1.33034e-01 2.51837e-01
5.60804e+00 6.07692e+00 6.65033e+00 6.23370e+00 1.69430e-01 2.59375e-01
5.62562e+00 6.07692e+00 8.02659e+00 6.55258e+00 2.14279e-01 2.70592e-01
5.64321e+00 6.07692e+00 9.68701e+00 6.85516e+00 2.65089e-01 2.86029e-01
5.66080e+00 6.07692e+00 1.16209e+01 7.13500e+00 3.19347e-01 3.06354e-01
5.67839e+00 6.07692e+00 1.38267e+01 7.38513e+00 3.74675e-01 3.32392e-01
5.69598e+00 6.07692e+00 1.63115e+01 7.59767e+00 4.28724e-01 3.65144e-01
5.71356e+00 6.07692e+00 1.90831e+01 7.76517e+00 4.79154e-01 4.05592e-01
5.73115e+00 6.07692e+00 2.21149e+01 7.89249e+00 5.24188e-01 4.53365e-01
5.74874e+00 6.07692e+00 2.53602e+01 7.98950e+00 5.62079e-01 5.07445e-01
5.76633e+00 6.07692e+00 2.87801e+01 8.06529e+00 5.90888e-01 5.67024e-01
5.78391e+00 6.07692e+00 3.23395e+01 8.12825e+00 6.08394e-01 6.31432e-01
5.80150e+00 6.07692e+00 3.60132e+01 8.18646e+00 6.12048e-01 7.00255e-01
5.81909e+00 6.07692e+00 3.97651e+01 8.24833e+00 6.00340e-01 7.72313e-01
5.83668e+00 6.07692e+00 4.35355e+01 8.32407e+00 5.75953e-01 8.44083e-01
5.85427e+00 6.07692e+00 4.72604e+01 8.42469e+00 5.42080e-01 9.11559e-01
5.87185e+00 6.07692e+00 5.08720e+01 8.56186e+00 5.01643e-01 9.70569e-01
5.88944e+00 6.07692e+00 5.43054e+01 8.74861e+00 4.57286e-01 1.01678e+00
5.90703e+00 6.07692e+00 5.74836e+01 8.99954e+00 4.11592e-01 1.04546e+00
5.92462e+00 6.07692e+00 6.03115e+01 9.33939e+00 3.66588e-01 1.05544e+00
5.94221e+00 6.07692e+00 6.26672e+01 9.80621e+00 3.23683e-01 1.05027e+00
5.95979e+00 6.07692e+00 6.44124e+01 1.04423e+01 2.84335e-01 1.03342e+00
5.97738e+00 6.07692e+00 6.53928e+01 1.12963e+01 2.50040e-01 1.00793e+00
5.99497e+00 6.07692e+00 6.54269e+01 1.24226e+01 2.22521e-01 9.76612e-01
6.01256e+00 6.07692e+00 6.43321e+01 1.38731e+01 2.03427e-01 9.42216e-01
6.03015e+00 6.07692e+00 6.21540e+01 1.55985e+01 1.92078e-01 9.08526e-01
6.04773e+00 6.07692e+00 5.90568e+01 1.74935e+01 1.86563e-01 8.80010e-01
6.06532e+00 6.07692e+00 5.51718e+01 1.94609e+01 1.85132e-01 8.61258e-01
6.08291e+00 6.07692e+00 5.06113e+01 2.14023e+01 1.86168e-01 8.57212e-01
6.10050e+00 6.07692e+00 4.54651e+01 2.32198e+01 1.88127e-01 8.73254e-01
6.11809e+00 6.07692e+00 3.98420e+01 2.48112e+01 1.90611e-01 9.12494e-01
6.13567e+00 6.07692e+00 3.39763e+01 2.60658e+01 1.97334e-01 9.68065e-01
6.15326e+00 6.07692e+00 2.81159e+01 2.68643e+01 2.13092e-01 1.03127e+00
6.17085e+00 6.07692e+00 2.25191e+01 2.70712e+01 2.42954e-01 1.09355e+00
6.18844e+00 6.07692e+00 1.74488e+01 2.65331e+01 2.92432e-01 1.14635e+00
6.20602e+00 6.07692e+00 1.31836e+01 2.50785e+01 3.67455e-01 1.18089e+00
6.22361e+00 6.07692e+00 9.83308e+00 2.27117e+01 4.67163e-01 1.19274e+00
6.24120e+00 6.07692e+00 7.26117e+00 1.97239e+01 5.79659e-01 1.18408e+00
6.25879e+00 6.07692e+00 5.32973e+00 1.64128e+01 6.92505e-01 1.15705e+00
6.27638e+00 6.07692e+00 3.92047e+00 1.30658e+01 7.93274e-01 1.11327e+00
6.29397e+00 6.07692e+00 2.93134e+00 9.96933e+00 8.69165e-01 1.05381e+00
6.31155e+00 6.07692e+00 2.27355e+00 7.39865e+00 9.07732e-01 9.79536e-01
6.32914e+00 6.07692e+00 1.86716e+00 5.39659e+00 9.09124e-01 8.93567e-01
6.34673e+00 6.07692e+00 1.64095e+00 3.86652e+00 8.81331e-01 8.00660e-01
6.36432e+00 6.07692e+00 1.52882e+00 2.72198e+00 8.31631e-01 7.05355e-01
6.38190e+00 6.07692e+00 1.46823e+00 1.88876e+00 7.66661e-01 6.12160e-01
6.39949e+00 6.07692e+00 1.39818e+00 1.30107e+00 6.92469e-01 5.25497e-01
6.41708e+00 6.07692e+00 1.27071e+00 9.03597e-01 6.14433e-01 4.49151e-01
6.43467e+00 6.07692e+00 1.09402e+00 6.52405e-01 5.35625e-01 3.82811e-01
6.45226e+00 6.07692e+00 8.90585e-01 5.09762e-01 4.58506e-01 3.25287e-01
6.46984e+00 6.07692e+00 6.82139e-01 4.41323e-01 3.85627e-01 2.75689e-01
6.48743e+00 6.07692e+00 4.89913e-01 4.14957e-01 3.19547e-01 2.33290e-01
6.50502e+00 6.07692e+00 3.35866e-01 4.00091e-01 2.63144e-01 1.97667e-01
6.52261e+00 6.07692e+00 2.30715e-01 3.78023e-01 2.17643e-01 1.68230e-01
6.54020e+00 6.07692e+00 1.64979e-01 3.50247e-01 1.81246e-01 1.43955e-01
6.55778e+00 6.07692e+00 1.28208e-01 3.20172e-01 1.52108e-01 1.23932e-01
6.57537e+00 6.07692e+00 1.10793e-01 2.91081e-01 1.28562e-01 1.07342e-01
6.59296e+00 6.07692e+00 1.03799e-01 2.66340e-01 1.09165e-01 9.35142e-02
6.61055e+00 6.07692e+00 9.89052e-02 2.49211e-01 9.26206e-02 8.18556e-02
6.62814e+00 6.07692e+00 9.27209e-02 2.39774e-01 7.82134e-02 7.19621e-02
6.64572e+00 6.07692e+00 8.55653e-02 2.35724e-01 6.56852e-02 6.35811e-02
6.66331e+00 6.07692e+00 7.78112e-02 2.34852e-01 5.48244e-02 5.64953e-02
6.68090e+00 6.07692e+00 6.98249e-02 2.35051e-01 4.54933e-02 5.05424e-02
6.69849e+00 6.07692e+00 6.19616e-02 2.34248e-01 3.75939e-02 4.55901e-02
6.71608e+00 6.07692e+00 5.45391e-02 2.30675e-01 3.10436e-02 4.15231e-02
6.73366e+00 6.07692e+00 4.76773e-02 2.24241e-01 2.56540e-02 3.81822e-02
6.75125e+00 6.07692e+00 4.14330e-02 2.15326e-01 2.12153e-02 3.54020e-02
6.76884e+00 6.07692e+00 3.58932e-02 2.04237e-01 1.75562e-02 3.30397e-02
6.78643e+00 6.07692e+00 3.11636e-02 1.91217e-01 1.45268e-02 3.09641e-02
6.80401e+00 6.07692e+00 2.73758e-02 1.76456e-01 1.19979e-02 2.90538e-02
6.82160e+00 6.07692e+00 2.45777e-02 1.60233e-01 9.86560e-03 2.72231e-02
6.83919e+00 6.07692e+00 2.26341e-02 1.43158e-01 8.07179e-03 2.54614e-02
6.85678e+00 6.07692e+00 2.14070e-02 1.25848e-01 6.57075e-03 2.37678e-02
6.87437e+00 6.07692e+00 2.07805e-02 1.08916e-01 5.32586e-03 2.21435e-02
6.89195e+00 6.07692e+00 2.06572e-02 9.29917e-02 4.30899e-03 2.05927e-02
6.90954e+00 6.07692e+00 2.09529e-02 7.87207e-02 3.49685e-03 1.91187e-02
6.92713e+00 6.07692e+00 2.15515e-02 6.70087e-02 2.86421e-03 1.77175e-02
6.94472e+00 6.07692e+00 2.23054e-02 5.89949e-02 2.38177e-03 1.63759e-02
6.96231e+00 6.07692e+00 2.30703e-02 5.59379e-02 2.02451e-03 1.50821e-02
6.97989e+00 6.07692e+00 2.37021e-02 5.92471e-02 1.77145e-03 1.38264e-02
6.99748e+00 6.07692e+00 2.40536e-02 7.05362e-02 1.60444e-03 1.25982e-02
7.01507e+00 6.07692e+00 2.39960e-02 9.13018e-02 1.50808e-03 1.13933e-02
7.03266e+00 6.07692e+00 2.35628e-02 1.21097e-01 1.46669e-03 1.02275e-02
7.05025e+00 6.07692e+00 2.28427e-02 1.58904e-01 1.46540e-03 9.12578e-03
7.06783e+00 6.07692e+00 2.19161e-02 2.03920e-01 1.49059e-03 8.11557e-03
7.08542e+00 6.07692e+00 2.08555e-02 2.55651e-01 1.52950e-03 7.22542e-03
7.10301e+00 6.07692e+00 1.97305e-02 3.13729e-01 1.56977e-03 6.48931e-03
7.12060e+00 6.07692e+00 1.85951e-02 3.77002e-01 1.60209e-03 5.92303e-03
7.13819e+00 6.07692e+00 1.74710e-02 4.42046e-01 1.62422e-03 5.49336e-03
7.15577e+00 6.07692e+00 1.63761e-02 5.05101e-01 1.63468e-03 5.16343e-03
7.17336e+00 6.07692e+00 1.53273e-02 5.62450e-01 1.63162e-03 4.89898e-03
7.19095e+00 6.07692e+00 1.43448e-02 6.10088e-01 1.61278e-03 4.66831e-03
7.20854e+00 6.07692e+00 1.34495e-02 6.43900e-01 1.57557e-03 4.44129e-03
7.22613e+00 6.07692e+00 1.26444e-02 6.63085e-01 1.52096e-03 4.20481e-03
7.24371e+00 6.07692e+00 1.19145e-02 6.70281e-01 1.45372e-03 3.96317e-03
7.26130e+00 6.07692e+00 1.12451e-02 6.67942e-01 1.37830e-03 3.72095e-03
7.27889e+00 6.07692e+00 1.06243e-02 6.58212e-01 1.29901e-03 3.48310e-03
7.29648e+00 6.07692e+00 1.00416e-02 6.43013e-01 1.22000e-03 3.25458e-03
7.31407e+00 6.07692e+00 9.48812e-03 6.24027e-01 1.14504e-03 3.03996e-03
7.33165e+00 6.07692e+00 8.96119e-03 6.02310e-01 1.07489e-03 2.83933e-03
7.34924e+00 6.07692e+00 8.46010e-03 5.78560e-01 1.00897e-03 2.65061e-03
7.36683e+00 6.07692e+00 7.98595e-03 5.53448e-01 9.46936e-04 2.47245e-03
7.38442e+00 6.07692e+00 7.54033e-03 5.27592e-01 8.88536e-04 2.30370e-03
7.40200e+00 6.07692e+00 7.12597e-03 5.01602e-01 8.33650e-04 2.14358e-03
7.41959e+00 6.07692e+00 6.74374e-03 4.75915e-01 7.82083e-04 1.99132e-03
7.43718e+00 6.07692e+00 6.39022e-03 4.50671e-01 7.33582e-04 1.84670e-03
7.45477e+00 6.07692e+00 6.06159e-03 4.25947e-01 6.87912e-04 1.70962e-03
7.47236e+00 6.07692e+00 5.75477e-03 4.01838e-01 6.44924e-04 1.58023e-03
7.48994e+00 6.07692e+00 5.46755e-03 3.78468e-01 6.04574e-04 1.45899e-03
7.50753e+00 6.07692e+00 5.19780e-03 3.55943e-01 5.66827e-04 1.34637e-03
7.52512e+00 6.07692e+00 4.94404e-03 3.34323e-01 5.31588e-04 1.24241e-03
7.54271e+00 6.07692e+00 4.70458e-03 3.13548e-01 4.98564e-04 1.14627e-03
7.56030e+00 6.07692e+00 4.47819e-03 2.93577e-01 4.67515e-04 1.05728e-03
7.57788e+00 6.07692e+00 4.26413e-03 2.74403e-01 4.38281e-04 9.75035e-04
7.59547e+00 6.07692e+00 4.06169e-03 2.56013e-01 4.10706e-04 8.99210e-04
7.61306e+00 6.07692e+00 3.87077e-03 2.38441e-01 3.84727e-04 8.29745e-04
7.63065e+00 6.07692e+00 3.69051e-03 2.21653e-01 3.60221e-04 7.66136e-04
7.64824e+00 6.07692e+00 3.51983e-03 2.05598e-01 3.37063e-04 7.07744e-04
7.66582e+00 6.07692e+00 3.35805e-03 1.90253e-01 3.15181e-04 6.54119e-04
7.68341e+00 6.07692e+00 3.20448e-03 1.75594e-01 2.94506e-04 6.04867e-04
7.70100e+00 6.07692e+00 3.05896e-03 1.61643e-01 2.75042e-04 5.59824e-04
7.71859e+00 6.07692e+00 2.92133e-03 1.48413e-01 2.56788e-04 5.18813e-04
7.73618e+00 6.07692e+00 2.79103e-03 1.35874e-01 2.39659e-04 4.81400e-04
7.75376e+00 6.07692e+00 2.66767e-03 1.24006e-01 2.23595e-04 4.47202e-04
7.77135e+00 6.07692e+00 2.55087e-03 1.12791e-01 2.08538e-04 4.15878e-04
7.78894e+00 6.07692e+00 2.44068e-03 1.02251e-01 1.94491e-04 3.87238e-04
7.80653e+00 6.07692e+00 2.33725e-03 9.24229e-02 1.81477e-04 3.61148e-04
7.82412e+00 6.07692e+00 2.24046e-03 8.33052e-02 1.69472e-04 3.37424e-04
7.84170e+00 6.07692e+00 2.14975e-03 7.48439e-02 1.58379e-04 3.15781e-04
7.85929e+00 6.07692e+00 2.06453e-03 6.69845e-02 1.48105e-04 2.95950e-04
7.87688e+00 6.07692e+00 1.98456e-03 5.97061e-02 1.38598e-04 2.77753e-04
7.89447e+00 6.07692e+00 1.90967e-03 5.30006e-02 1.29827e-04 2.61053e-04
7.91206e+00 6.07692e+00 1.83988e-03 4.68746e-02 1.21779e-04 2.45757e-04
7.92964e+00 6.07692e+00 1.77507e-03 4.13170e-02 1.14436e-04 2.31821e-04
7.94723e+00 6.07692e+00 1.71503e-03 3.63023e-02 1.07774e-04 2.19221e-04
7.96482e+00 6.07692e+00 1.65980e-03 3.18310e-02 1.01800e-04 2.07996e-04
7.98241e+00 6.07692e+00 1.60952e-03 2.79173e-02 9.65412e-05 1.98221e-04
8.00000e+00 6.07692e+00 1.56450e-03 2.45926e-02 9.20437e-05 1.90015e-04
4.50000e+00 6.61538e+00 3.11034e-07 1.86705e-06 1.06307e-06 5.10111e-04
4.51758e+00 6.61538e+00 1.32235e-07 2.93075e-06 1.83766e-06 1.29800e-03
4.53517e+00 6.61538e+00 1.93881e-07 5.69547e-06 3.06594e-06 2.55462e-03
4.55276e+00 6.61538e+00 8.95851e-07 1.17174e-05 4.96401e-06 4.44605e-03
4.57035e+00 6.61538e+00 2.65779e-06 2.26542e-05 7.76910e-06 7.15843e-03
4.58793e+00 6.61538e+00 5.92984e-06 4.03035e-05 1.17439e-05 1.09009e-02
4.60552e+00 6.61538e+00 1.12182e-05 6.67489e-05 1.72097e-05 1.59339e-02
4.62311e+00 6.61538e+00 1.93269e-05 1.07552e-04 2.56003e-05 2.34435e-02
4.64070e+00 6.61538e+00 3.15402e-05 1.74003e-04 4.01933e-05 3.61508e-02
4.65829e+00 6.61538e+00 4.93060e-05 2.78676e-04 6.46200e-05 5.70719e-02
4.67587e+00 6.61538e+00 7.42279e-05 4.35223e-04 1.02791e-04 8.94556e-02
4.69346e+00 6.61538e+00 1.08176e-04 6.59186e-04 1.59110e-04 1.36965e-01
4.71105e+00 6.61538e+00 1.53739e-04 9.69429e-04 2.38776e-04 2.03592e-01
4.72864e+00 6.61538e+00 2.20320e-04 1.40741e-03 3.51617e-04 2.92758e-01
4.74623e+00 6.61538e+00 3.22573e-04 2.03273e-03 5.11271e-04 4.07739e-01
4.76381e+00 6.61538e+00 4.76255e-04 2.91053e-03 7.32739e-04 5.52503e-01
4.78140e+00 6.61538e+00 6.98992e-04 4.11532e-03 1.03334e-03 7.32197e-01
4.79899e+00 6.61538e+00 1.01030e-03 5.73033e-03 1.43247e-03 9.52808e-01
4.81658e+00 6.61538e+00 1.42510e-03 7.81022e-03 1.94511e-03 1.21696e+00
4.83417e+00 6.61538e+00 1.92610e-03 1.02246e-02 2.55350e-03 1.50608e+00
4.85175e+00 6.61538e+00 2.48781e-03 1.27929e-02 3.23169e-03 1.79558e+00
4.86934e+00 6.61538e+00 3.08767e-03 1.53440e-02 3.95711e-03 2.06135e+00
4.88693e+00 6.61538e+00 3.70331e-03 1.77016e-02 4.70747e-03 2.27805e+00
4.90452e+00 6.61538e+00 4.31315e-03 1.96857e-02 5.46194e-03 2.41913e+00
4.92211e+00 6.61538e+00 4.89606e-03 2.12050e-02 6.23444e-03 2.47229e+00
4.93969e+00 6.61538e+00 5.43096e-03 2.23441e-02 7.10495e-03 2.45416e+00
4.95728e+00 6.61538e+00 5.89634e-03 2.31992e-02 8.16539e-03 2.38266e+00
4.97487e+00 6.61538e+00 6.26756e-03 2.38554e-02 9.51212e-03 2.27406e+00
4.99246e+00 6.61538e+00 6.51740e-03 2.43926e-02 1.12508e-02 2.14352e+00
5.01005e+00 6.61538e+00 6.62451e-03 2.48982e-02 1.34952e-02 2.00511e+00
5.02763e+00 6.61538e+00 6.72555e-03 2.56476e-02 1.63002e-02 1.86664e+00
5.04522e+00 6.61538e+00 7.09190e-03 2.70824e-02 1.96831e-02 1.73057e+00
5.06281e+00 6.61538e+00 8.00727e-03 2.96691e-02 2.36727e-02 1.59954e+00
5.08040e+00 6.61538e+00 9.77241e-03 3.39104e-02 2.83178e-02 1.47624e+00
5.09799e+00 6.61538e+00 1.27144e-02 4.03603e-02 3.36879e-02 1.36363e+00
5.11557e+00 6.61538e+00 1.72765e-02 4.97668e-02 3.98181e-02 1.26433e+00
5.13316e+00 6.61538e+00 2.44281e-02 6.37339e-02 4.64780e-02 1.17719e+00
5.15075e+00 6.61538e+00 3.53764e-02 8.42545e-02 5.33382e-02 1.10024e+00
5.16834e+00 6.61538e+00 5.14487e-02 1.13529e-01 6.00786e-02 1.03175e+00
5.18592e+00 6.61538e+00 7.41153e-02 1.54003e-01 6.63718e-02 9.70268e-01
5.20351e+00 6.61538e+00 1.05096e-01 2.08545e-01 7.18885e-02 9.14476e-01
5.22110e+00 6.61538e+00 1.46871e-01 2.80782e-01 7.64007e-02 8.63324e-01
5.23869e+00 6.61538e+00 2.03476e-01 3.75782e-01 7.99599e-02 8.15844e-01
5.25628e+00 6.61538e+00 2.79570e-01 4.99436e-01 8.26291e-02 7.71179e-01
5.27386e+00 6.61538e+00 3.80350e-01 6.58421e-01 8.44434e-02 7.28584e-01
5.29145e+00 6.61538e+00 5.11959e-01 8.60795e-01 8.54138e-02 6.87305e-01
5.30904e+00 6.61538e+00 6.80878e-01 1.11504e+00 8.55253e-02 6.46719e-01
5.32663e+00 6.61538e+00 8.84984e-01 1.41699e+00 8.48080e-02 6.06559e-01
5.34422e+00 6.61538e+00 1.11378e+00 1.75017e+00 8.33342e-02 5.66919e-01
5.36180e+00 6.61538e+00 1.35701e+00 2.09831e+00 8.11570e-02 5.27945e-01
5.37939e+00 6.61538e+00 1.60529e+00 2.44618e+00 7.83039e-02 4.89738e-01
5.39698e+00 6.61538e+00 1.84898e+00 2.77799e+00 7.47844e-02 4.52486e-01
5.41457e+00 6.61538e+00 2.07991e+00 3.08019e+00 7.06509e-02 4.16429e-01
5.43216e+00 6.61538e+00 2.29962e+00 3.35571e+00 6.63689e-02 3.82114e-01
5.44974e+00 6.61538e+00 2.51333e+00 3.61374e+00 6.25801e-02 3.50275e-01
5.46733e+00 6.61538e+00 2.72646e+00 3.86335e+00 5.99356e-02 3.21666e-01
5.48492e+00 6.61538e+00 2.94403e+00 4.11294e+00 5.91290e-02 2.97198e-01
5.50251e+00 6.61538e+00 3.17138e+00 4.37102e+00 6.09082e-02 2.77891e-01
5.52010e+00 6.61538e+00 3.42331e+00 4.64327e+00 6.60650e-02 2.64393e-01
5.53768e+00 6.61538e+00 3.73941e+00 4.92740e+00 7.53918e-02 2.56135e-01
5.55527e+00 6.61538e+00 4.16573e+00 5.22068e+00 8.98123e-02 2.52476e-01
