EIT filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 1 4
200 12
0.0
l10T l10ne 171 195 284 304
4.50000e+00 6.07692e+00 3.91023e-08 2.43624e-07 7.77436e-07 5.07711e-05
4.51758e+00 6.07692e+00 8.32404e-08 5.17273e-07 1.16853e-06 1.15731e-04
4.53517e+00 6.07692e+00 1.76265e-07 1.09049e-06 1.69653e-06 2.55255e-04
4.55276e+00 6.07692e+00 3.68135e-07 2.26450e-06 2.41182e-06 5.43024e-04
4.57035e+00 6.07692e+00 7.51916e-07 4.59526e-06 3.40195e-06 1.11004e-03
4.58793e+00 6.07692e+00 1.48765e-06 9.03017e-06 4.82238e-06 2.16865e-03
4.60552e+00 6.07692e+00 2.82466e-06 1.70334e-05 6.96252e-06 4.02669e-03
4.62311e+00 6.07692e+00 5.12737e-06 3.07211e-05 1.03000e-05 7.09524e-03
4.64070e+00 6.07692e+00 8.96869e-06 5.33539e-05 1.55306e-05 1.19635e-02
4.65829e+00 6.07692e+00 1.52381e-05 8.98524e-05 2.37307e-05 1.94576e-02
4.67587e+00 6.07692e+00 2.53189e-05 1.47581e-04 3.65393e-05 3.07280e-02
4.69346e+00 6.07692e+00 4.14284e-05 2.37797e-04 5.64327e-05 4.74253e-02
4.71105e+00 6.07692e+00 6.71100e-05 3.77466e-04 8.69725e-05 7.18794e-02
4.72864e+00 6.07692e+00 1.07740e-04 5.91090e-04 1.33326e-04 1.07230e-01
4.74623e+00 6.07692e+00 1.71039e-04 9.12336e-04 2.02861e-04 1.57486e-01
4.76381e+00 6.07692e+00 2.67727e-04 1.38576e-03 3.05571e-04 2.27595e-01
4.78140e+00 6.07692e+00 4.12152e-04 2.06849e-03 4.54684e-04 3.23534e-01
4.79899e+00 6.07692e+00 6.21602e-04 3.02620e-03 6.66135e-04 4.51695e-01
4.81658e+00 6.07692e+00 9.15031e-04 4.32741e-03 9.57985e-04 6.18230e-01
4.83417e+00 6.07692e+00 1.31172e-03 6.03473e-03 1.35056e-03 8.27612e-01
4.85175e+00 6.07692e+00 1.82643e-03 8.18372e-03 1.86381e-03 1.08026e+00
4.86934e+00 6.07692e+00 2.46291e-03 1.07577e-02 2.51385e-03 1.37015e+00
4.88693e+00 6.07692e+00 3.20198e-03 1.36435e-02 3.30444e-03 1.68059e+00
4.90452e+00 6.07692e+00 3.99177e-03 1.66015e-02 4.21886e-03 1.98229e+00
4.92211e+00 6.07692e+00 4.76328e-03 1.93518e-02 5.23013e-03 2.24295e+00
4.93969e+00 6.07692e+00 5.47377e-03 2.17669e-02 6.33628e-03 2.44573e+00
4.95728e+00 6.07692e+00 6.09535e-03 2.38023e-02 7.55352e-03 2.58167e+00
4.97487e+00 6.07692e+00 6.61003e-03 2.54663e-02 8.91424e-03 2.64697e+00
4.99246e+00 6.07692e+00 7.01041e-03 2.68132e-02 1.04756e-02 2.64269e+00
5.01005e+00 6.07692e+00 7.29908e-03 2.79306e-02 1.23256e-02 2.57387e+00
5.02763e+00 6.07692e+00 7.51522e-03 2.89390e-02 1.45394e-02 2.45443e+00
5.04522e+00 6.07692e+00 7.73161e-03 2.99897e-02 1.71648e-02 2.30307e+00
5.06281e+00 6.07692e+00 8.03101e-03 3.12570e-02 2.02381e-02 2.13632e+00
5.08040e+00 6.07692e+00 8.51331e-03 3.29525e-02 2.37823e-02 1.96733e+00
5.09799e+00 6.07692e+00 9.31504e-03 3.53539e-02 2.77945e-02 1.80590e+00
5.11557e+00 6.07692e+00 1.06268e-02 3.88148e-02 3.22345e-02 1.65822e+00
5.13316e+00 6.07692e+00 1.26313e-02 4.36366e-02 3.70533e-02 1.52427e+00
5.15075e+00 6.07692e+00 1.55811e-02 5.01940e-02 4.21591e-02 1.40275e+00
5.16834e+00 6.07692e+00 1.98913e-02 5.90722e-02 4.74052e-02 1.29243e+00
5.18592e+00 6.07692e+00 2.62320e-02 7.11677e-02 5.25726e-02 1.19235e+00
5.20351e+00 6.07692e+00 3.57230e-02 8.79123e-02 5.73744e-02 1.10147e+00
5.22110e+00 6.07692e+00 5.00629e-02 1.11260e-01 6.15179e-02 1.01887e+00
5.23869e+00 6.07692e+00 7.14491e-02 1.43352e-01 6.48616e-02 9.43295e-01
5.25628e+00 6.07692e+00 1.02714e-01 1.86796e-01 6.72979e-02 8.73683e-01
5.27386e+00 6.07692e+00 1.47116e-01 2.44589e-01 6.87305e-02 8.09198e-01
5.29145e+00 6.07692e+00 2.07757e-01 3.19947e-01 6.90776e-02 7.49050e-01
5.30904e+00 6.07692e+00 2.86082e-01 4.15521e-01 6.82757e-02 6.92680e-01
5.32663e+00 6.07692e+00 3.82814e-01 5.33798e-01 6.63747e-02 6.39610e-01
5.34422e+00 6.07692e+00 4.99641e-01 6.77273e-01 6.35267e-02 5.89455e-01
5.36180e+00 6.07692e+00 6.38061e-01 8.47060e-01 5.98915e-02 5.41909e-01
5.37939e+00 6.07692e+00 7.99546e-01 1.04222e+00 5.56185e-02 4.96631e-01
5.39698e+00 6.07692e+00 9.84948e-01 1.25790e+00 5.08561e-02 4.53403e-01
5.41457e+00 6.07692e+00 1.19415e+00 1.48493e+00 4.57964e-02 4.12136e-01
