SXT filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 1 2
200 14
0.0
l10T l10ne AlMg Open
4.50000e+00 5.00000e+00 7.68402e-13 5.00000e+00
4.51758e+00 5.00000e+00 1.43703e-12 1.10000e+01
4.53517e+00 5.00000e+00 2.65274e-12 1.70000e+01
4.55276e+00 5.00000e+00 4.83272e-12 2.30000e+01
4.57035e+00 5.00000e+00 8.68393e-12 2.90000e+01
4.58793e+00 5.00000e+00 1.53932e-11 3.50000e+01
4.60552e+00 5.00000e+00 2.69517e-11 4.10000e+01
4.62311e+00 5.00000e+00 4.66217e-11 4.70000e+01
4.64070e+00 5.00000e+00 7.95683e-11 5.30000e+01
4.65829e+00 5.00000e+00 1.33869e-10 5.90000e+01
4.67587e+00 5.00000e+00 2.22029e-10 6.50000e+01
4.69346e+00 5.00000e+00 3.63208e-10 7.10000e+01
4.71105e+00 5.00000e+00 5.86574e-10 7.70000e+01
4.72864e+00 5.00000e+00 9.34063e-10 8.30000e+01
4.74623e+00 5.00000e+00 1.46255e-09 8.90000e+01
4.76381e+00 5.00000e+00 2.24539e-09 9.50000e+01
4.78140e+00 5.00000e+00 3.36974e-09 1.01000e+02
4.79899e+00 5.00000e+00 4.92801e-09 1.07000e+02
4.81658e+00 5.00000e+00 7.00186e-09 1.13000e+02
4.83417e+00 5.00000e+00 9.64733e-09 1.19000e+02
4.85175e+00 5.00000e+00 1.28637e-08 1.25000e+02
4.86934e+00 5.00000e+00 1.65572e-08 1.31000e+02
4.88693e+00 5.00000e+00 2.05127e-08 1.37000e+02
4.90452e+00 5.00000e+00 2.43851e-08 1.43000e+02
4.92211e+00 5.00000e+00 2.78204e-08 1.49000e+02
4.93969e+00 5.00000e+00 3.06540e-08 1.55000e+02
4.95728e+00 5.00000e+00 3.28467e-08 1.61000e+02
4.97487e+00 5.00000e+00 3.44639e-08 1.67000e+02
4.99246e+00 5.00000e+00 3.56545e-08 1.73000e+02
5.01005e+00 5.00000e+00 3.66183e-08 1.79000e+02
5.02763e+00 5.00000e+00 3.74794e-08 1.85000e+02
5.04522e+00 5.00000e+00 3.82915e-08 1.91000e+02
5.06281e+00 5.00000e+00 3.91270e-08 1.97000e+02
5.08040e+00 5.00000e+00 4.00870e-08 2.03000e+02
5.09799e+00 5.00000e+00 4.13126e-08 2.09000e+02
5.11557e+00 5.00000e+00 4.30087e-08 2.15000e+02
5.13316e+00 5.00000e+00 4.54437e-08 2.21000e+02
5.15075e+00 5.00000e+00 4.90418e-08 2.27000e+02
5.16834e+00 5.00000e+00 5.44454e-08 2.33000e+02
5.18592e+00 5.00000e+00 6.26252e-08 2.39000e+02
5.20351e+00 5.00000e+00 7.50542e-08 2.45000e+02
5.22110e+00 5.00000e+00 9.39249e-08 2.51000e+02
5.23869e+00 5.00000e+00 1.22705e-07 2.57000e+02
5.25628e+00 5.00000e+00 1.66811e-07 2.63000e+02
5.27386e+00 5.00000e+00 2.34722e-07 2.69000e+02
5.29145e+00 5.00000e+00 3.39723e-07 2.75000e+02
5.30904e+00 5.00000e+00 5.02897e-07 2.81000e+02
5.32663e+00 5.00000e+00 7.56065e-07 2.87000e+02
5.34422e+00 5.00000e+00 1.14923e-06 2.93000e+02
5.36180e+00 5.00000e+00 1.75930e-06 2.99000e+02
5.37939e+00 5.00000e+00 2.70437e-06 3.05000e+02
5.39698e+00 5.00000e+00 4.16381e-06 3.11000e+02
5.41457e+00 5.00000e+00 6.44307e-06 3.17000e+02
5.43216e+00 5.00000e+00 9.92237e-06 3.23000e+02
5.44974e+00 5.00000e+00 1.52483e-05 3.29000e+02
5.46733e+00 5.00000e+00 2.33292e-05 3.35000e+02
5.48492e+00 5.00000e+00 3.54515e-05 3.41000e+02
5.50251e+00 5.00000e+00 5.34065e-05 3.47000e+02
5.52010e+00 5.00000e+00 7.96698e-05 3.53000e+02
5.53768e+00 5.00000e+00 1.17682e-04 3.59000e+02
5.55527e+00 5.00000e+00 1.72194e-04 3.65000e+02
5.57286e+00 5.00000e+00 2.49699e-04 3.71000e+02
5.59045e+00 5.00000e+00 3.59023e-04 3.77000e+02
5.60804e+00 5.00000e+00 5.12293e-04 3.83000e+02
5.62562e+00 5.00000e+00 7.25275e-04 3.89000e+02
5.64321e+00 5.00000e+00 1.01907e-03 3.95000e+02
5.66080e+00 5.00000e+00 1.42136e-03 4.01000e+02
5.67839e+00 5.00000e+00 1.96854e-03 4.07000e+02
5.69598e+00 5.00000e+00 2.70826e-03 4.13000e+02
