XRT filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 1 2
200 14
0.0
l10T l10ne Ti-poly Al-poly
4.50000e+00 5.00000e+00 1.39641e-11 2.08389e-09
4.51758e+00 5.00000e+00 3.31475e-11 4.61498e-09
4.53517e+00 5.00000e+00 7.69815e-11 1.00342e-08
4.55276e+00 5.00000e+00 1.75133e-10 2.14384e-08
4.57035e+00 5.00000e+00 3.89793e-10 4.49363e-08
4.58793e+00 5.00000e+00 8.47373e-10 9.22371e-08
4.60552e+00 5.00000e+00 1.79960e-09 1.85397e-07
4.62311e+00 5.00000e+00 3.72602e-09 3.64206e-07
4.64070e+00 5.00000e+00 7.51631e-09 6.98689e-07
4.65829e+00 5.00000e+00 1.47719e-08 1.30876e-06
4.67587e+00 5.00000e+00 2.83177e-08 2.39632e-06
4.69346e+00 5.00000e+00 5.30520e-08 4.29660e-06
4.71105e+00 5.00000e+00 9.73659e-08 7.56074e-06
4.72864e+00 5.00000e+00 1.74885e-07 1.30448e-05
4.74623e+00 5.00000e+00 3.06591e-07 2.20031e-05
4.76381e+00 5.00000e+00 5.23183e-07 3.61805e-05
4.78140e+00 5.00000e+00 8.66727e-07 5.78366e-05
4.79899e+00 5.00000e+00 1.39044e-06 8.96435e-05
4.81658e+00 5.00000e+00 2.15480e-06 1.34364e-04
4.83417e+00 5.00000e+00 3.21761e-06 1.94260e-04
4.85175e+00 5.00000e+00 4.61854e-06 2.70220e-04
4.86934e+00 5.00000e+00 6.35749e-06 3.60746e-04
4.88693e+00 5.00000e+00 8.37293e-06 4.61092e-04
4.90452e+00 5.00000e+00 1.05269e-05 5.62930e-04
4.92211e+00 5.00000e+00 1.26454e-05 6.56958e-04
4.93969e+00 5.00000e+00 1.46100e-05 7.37710e-04
4.95728e+00 5.00000e+00 1.63545e-05 8.02923e-04
4.97487e+00 5.00000e+00 1.78697e-05 8.53350e-04
4.99246e+00 5.00000e+00 1.92006e-05 8.92297e-04
5.01005e+00 5.00000e+00 2.04354e-05 9.24753e-04
5.02763e+00 5.00000e+00 2.16335e-05 9.54027e-04
5.04522e+00 5.00000e+00 2.28198e-05 9.81717e-04
5.06281e+00 5.00000e+00 2.40330e-05 1.00989e-03
5.08040e+00 5.00000e+00 2.53318e-05 1.04128e-03
5.09799e+00 5.00000e+00 2.68041e-05 1.07942e-03
5.11557e+00 5.00000e+00 2.85844e-05 1.12908e-03
5.13316e+00 5.00000e+00 3.08402e-05 1.19572e-03
5.15075e+00 5.00000e+00 3.38334e-05 1.28744e-03
5.16834e+00 5.00000e+00 3.79402e-05 1.41525e-03
5.18592e+00 5.00000e+00 4.36930e-05 1.59384e-03
5.20351e+00 5.00000e+00 5.18271e-05 1.84217e-03
5.22110e+00 5.00000e+00 6.32984e-05 2.18358e-03
5.23869e+00 5.00000e+00 7.94135e-05 2.64954e-03
5.25628e+00 5.00000e+00 1.01884e-04 3.28041e-03
5.27386e+00 5.00000e+00 1.32909e-04 4.12713e-03
5.29145e+00 5.00000e+00 1.75242e-04 5.25297e-03
5.30904e+00 5.00000e+00 2.32243e-04 6.73492e-03
5.32663e+00 5.00000e+00 3.07812e-04 8.65860e-03
5.34422e+00 5.00000e+00 4.06282e-04 1.11076e-02
5.36180e+00 5.00000e+00 5.32067e-04 1.41493e-02
5.37939e+00 5.00000e+00 6.89018e-04 1.78106e-02
5.39698e+00 5.00000e+00 8.79342e-04 2.20439e-02
5.41457e+00 5.00000e+00 1.10339e-03 2.67263e-02
5.43216e+00 5.00000e+00 1.36649e-03 3.18860e-02
5.44974e+00 5.00000e+00 1.67918e-03 3.76949e-02
5.46733e+00 5.00000e+00 2.05484e-03 4.43878e-02
5.48492e+00 5.00000e+00 2.50853e-03 5.22291e-02
