LOS table - Multiple Instruments: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 1 10
200 14
0.0
l10T l10ne AIA:94 AIA:131 AIA:171 AIA:193 AIA:211 AIA:304 AIA:335 XRT:Al-mesh XRT:Al-poly XRT:Ti-poly
4.50000e+00 5.00000e+00 1.40574e-13 5.99413e-12 5.63512e-06 4.93268e-06 6.46084e-06 4.50823e-04 7.03706e-05 6.91768e-08 2.08389e-09 1.39641e-11
4.51758e+00 5.00000e+00 3.05785e-13 1.92426e-11 7.75970e-06 7.21615e-06 1.00685e-05 8.87143e-04 9.43778e-05 1.46231e-07 4.61498e-09 3.31475e-11
4.53517e+00 5.00000e+00 6.59044e-13 6.08759e-11 1.09699e-05 1.10021e-05 1.64045e-05 1.65767e-03 1.24413e-04 3.04096e-07 1.00342e-08 7.69815e-11
4.55276e+00 5.00000e+00 1.40287e-12 1.88911e-10 1.59738e-05 1.74882e-05 2.77609e-05 2.95856e-03 1.62974e-04 6.22498e-07 2.14384e-08 1.75133e-10
4.57035e+00 5.00000e+00 2.93794e-12 5.72006e-10 2.38651e-05 2.87589e-05 4.81641e-05 5.07594e-03 2.14145e-04 1.25216e-06 4.49363e-08 3.89793e-10
4.58793e+00 5.00000e+00 6.03490e-12 1.68260e-09 3.63236e-05 4.84187e-05 8.45499e-05 8.42716e-03 2.84262e-04 2.47031e-06 9.22371e-08 8.47373e-10
4.60552e+00 5.00000e+00 1.21526e-11 4.80303e-09 5.59624e-05 8.27189e-05 1.48772e-04 1.36277e-02 3.82928e-04 4.77920e-06 1.85397e-07 1.79960e-09
4.62311e+00 5.00000e+00 2.39433e-11 1.32464e-08 8.67768e-05 1.42190e-04 2.60328e-04 2.15651e-02 5.23709e-04 9.05083e-06 3.64206e-07 3.72602e-09
4.64070e+00 5.00000e+00 4.61381e-11 3.52609e-08 1.34669e-04 2.44146e-04 4.50438e-04 3.34440e-02 7.24238e-04 1.67640e-05 6.98689e-07 7.51631e-09
4.65829e+00 5.00000e+00 8.70332e-11 9.05460e-08 2.08456e-04 4.16662e-04 7.68132e-04 5.08893e-02 1.00805e-03 3.03650e-05 1.30876e-06 1.47719e-08
4.67587e+00 5.00000e+00 1.61194e-10 2.24518e-07 3.21357e-04 7.04828e-04 1.28954e-03 7.60666e-02 1.40632e-03 5.38440e-05 2.39632e-06 2.83177e-08
4.69346e+00 5.00000e+00 2.94593e-10 5.38571e-07 4.93264e-04 1.18040e-03 2.13181e-03 1.11817e-01 1.95975e-03 9.36362e-05 4.29660e-06 5.30520e-08
4.71105e+00 5.00000e+00 5.35146e-10 1.25298e-06 7.54266e-04 1.95694e-03 3.47398e-03 1.61812e-01 2.72061e-03 1.60040e-04 7.56074e-06 9.73659e-08
4.72864e+00 5.00000e+00 9.72444e-10 2.82457e-06 1.14748e-03 3.20377e-03 5.57237e-03 2.30274e-01 3.74771e-03 2.68585e-04 1.30448e-05 1.74885e-07
4.74623e+00 5.00000e+00 1.77965e-09 6.15482e-06 1.73189e-03 5.15893e-03 8.76881e-03 3.21444e-01 5.09831e-03 4.41270e-04 2.20031e-05 3.06591e-07
4.76381e+00 5.00000e+00 3.30592e-09 1.29329e-05 2.58538e-03 8.14020e-03 1.34945e-02 4.38951e-01 6.81992e-03 7.07692e-04 3.61805e-05 5.23183e-07
4.78140e+00 5.00000e+00 6.27160e-09 2.61441e-05 3.80433e-03 1.25404e-02 2.02470e-02 5.84613e-01 8.93516e-03 1.10477e-03 5.78366e-05 8.66727e-07
4.79899e+00 5.00000e+00 1.21624e-08 5.07342e-05 5.49782e-03 1.87979e-02 2.95310e-02 7.56837e-01 1.14233e-02 1.67423e-03 8.96435e-05 1.39044e-06
4.81658e+00 5.00000e+00 2.39901e-08 9.43978e-05 7.77445e-03 2.73299e-02 4.17526e-02 9.49297e-01 1.42045e-02 2.45647e-03 1.34364e-04 2.15480e-06
4.83417e+00 5.00000e+00 4.74649e-08 1.67768e-04 1.07276e-02 3.84304e-02 5.70786e-02 1.15261e+00 1.71462e-02 3.48039e-03 1.94260e-04 3.21761e-06
4.85175e+00 5.00000e+00 9.28839e-08 2.84422e-04 1.43993e-02 5.21218e-02 7.52586e-02 1.35382e+00 2.00633e-02 4.74947e-03 2.70220e-04 4.61854e-06
4.86934e+00 5.00000e+00 1.77237e-07 4.59014e-04 1.87324e-02 6.79910e-02 9.54632e-02 1.53626e+00 2.27290e-02 6.22683e-03 3.60746e-04 6.35749e-06
4.88693e+00 5.00000e+00 3.25896e-07 7.03779e-04 2.35275e-02 8.50694e-02 1.16210e-01 1.68082e+00 2.49036e-02 7.82409e-03 4.61092e-04 8.37293e-06
4.90452e+00 5.00000e+00 5.72332e-07 1.02312e-03 2.84180e-02 1.01815e-01 1.35447e-01 1.76831e+00 2.63721e-02 9.39992e-03 5.62930e-04 1.05269e-05
4.92211e+00 5.00000e+00 9.55970e-07 1.41178e-03 3.29920e-02 1.16623e-01 1.51292e-01 1.78997e+00 2.70589e-02 1.08064e-02 6.56958e-04 1.26454e-05
4.93969e+00 5.00000e+00 1.52447e-06 1.86164e-03 3.70215e-02 1.28659e-01 1.63088e-01 1.75660e+00 2.71132e-02 1.19667e-02 7.37710e-04 1.46100e-05
4.95728e+00 5.00000e+00 2.33382e-06 2.36337e-03 4.04080e-02 1.37671e-01 1.71028e-01 1.68424e+00 2.67546e-02 1.28594e-02 8.02923e-04 1.63545e-05
4.97487e+00 5.00000e+00 3.45165e-06 2.90990e-03 4.31755e-02 1.43902e-01 1.75969e-01 1.58913e+00 2.62074e-02 1.35115e-02 8.53350e-04 1.78697e-05
4.99246e+00 5.00000e+00 4.96479e-06 3.50020e-03 4.54578e-02 1.47981e-01 1.79247e-01 1.48543e+00 2.56650e-02 1.39886e-02 8.92297e-04 1.92006e-05
5.01005e+00 5.00000e+00 6.99161e-06 4.14182e-03 4.74688e-02 1.50756e-01 1.82436e-01 1.38389e+00 2.52676e-02 1.43794e-02 9.24753e-04 2.04354e-05
5.02763e+00 5.00000e+00 9.67338e-06 4.83923e-03 4.93472e-02 1.52746e-01 1.86737e-01 1.28880e+00 2.50715e-02 1.47438e-02 9.54027e-04 2.16335e-05
5.04522e+00 5.00000e+00 1.31630e-05 5.58873e-03 5.11635e-02 1.54164e-01 1.93062e-01 1.20051e+00 2.50892e-02 1.51149e-02 9.81717e-04 2.28198e-05
5.06281e+00 5.00000e+00 1.76345e-05 6.38614e-03 5.30496e-02 1.55300e-01 2.02453e-01 1.11912e+00 2.53312e-02 1.55327e-02 1.00989e-03 2.40330e-05
5.08040e+00 5.00000e+00 2.32850e-05 7.22756e-03 5.52413e-02 1.56569e-01 2.16066e-01 1.04455e+00 2.58031e-02 1.60458e-02 1.04128e-03 2.53318e-05
5.09799e+00 5.00000e+00 3.03408e-05 8.11059e-03 5.81353e-02 1.58581e-01 2.35110e-01 9.76571e-01 2.65000e-02 1.67126e-02 1.07942e-03 2.68041e-05
5.11557e+00 5.00000e+00 3.91673e-05 9.03772e-03 6.23687e-02 1.62266e-01 2.60771e-01 9.14755e-01 2.74004e-02 1.76051e-02 1.12908e-03 2.85844e-05
5.13316e+00 5.00000e+00 4.99375e-05 1.00067e-02 6.89133e-02 1.68830e-01 2.94274e-01 8.58341e-01 2.84746e-02 1.88028e-02 1.19572e-03 3.08402e-05
5.15075e+00 5.00000e+00 6.30424e-05 1.10248e-02 7.92600e-02 1.80167e-01 3.36889e-01 8.06680e-01 2.96698e-02 2.04165e-02 1.28744e-03 3.38334e-05
5.16834e+00 5.00000e+00 7.88708e-05 1.21107e-02 9.55984e-02 1.98988e-01 3.89763e-01 7.59282e-01 3.08976e-02 2.25894e-02 1.41525e-03 3.79402e-05
5.18592e+00 5.00000e+00 9.78734e-05 1.33062e-02 1.20999e-01 2.29035e-01 4.53636e-01 7.15733e-01 3.20327e-02 2.55033e-02 1.59384e-03 4.36930e-05
5.20351e+00 5.00000e+00 1.20570e-04 1.46904e-02 1.59645e-01 2.75148e-01 5.28362e-01 6.75635e-01 3.29242e-02 2.93783e-02 1.84217e-03 5.18271e-05
5.22110e+00 5.00000e+00 1.47549e-04 1.64018e-02 2.16660e-01 3.43320e-01 6.12771e-01 6.38497e-01 3.34585e-02 3.44756e-02 2.18358e-03 6.32984e-05
