Volume averages, fluxes, etc
it t dt Rho Mx My Mz Erad EInt E Pmin Pmax
      0  0.00000E+00  2.30000E-05  1.64388E+00 -2.87951E+00 -1.43975E+00  0.00000E+00  2.39541E-01  0.00000E+00  1.46064E+01  6.00000E-01  1.84728E+01
      1  2.30000E-05  2.30000E-05  1.64823E+00 -2.89896E+00 -1.44948E+00 -2.72518E-10  2.41971E-01  0.00000E+00  1.46890E+01  6.00000E-01  1.85216E+01
      2  4.60000E-05  2.30000E-05  1.65258E+00 -2.91841E+00 -1.45920E+00  1.11964E-09  2.43257E-01  0.00000E+00  1.47727E+01  6.00000E-01  1.85443E+01
      3  6.90000E-05  2.30000E-05  1.65693E+00 -2.93786E+00 -1.46893E+00  2.21396E-09  2.44348E-01  0.00000E+00  1.48566E+01  6.00000E-01  1.85477E+01
      4  9.20000E-05  2.30000E-05  1.66127E+00 -2.95731E+00 -1.47866E+00  3.41323E-09  2.45376E-01  0.00000E+00  1.49406E+01  6.00000E-01  1.85438E+01
      5  1.15000E-04  2.30000E-05  1.66562E+00 -2.97676E+00 -1.48838E+00  4.16025E-09  2.46348E-01  0.00000E+00  1.50247E+01  6.00000E-01  1.85386E+01
      6  1.38000E-04  2.30000E-05  1.66997E+00 -2.99621E+00 -1.49811E+00  4.39737E-09  2.47368E-01  0.00000E+00  1.51087E+01  6.00000E-01  1.85341E+01
      7  1.61000E-04  2.30000E-05  1.67432E+00 -3.01566E+00 -1.50783E+00  3.84084E-09  2.48358E-01  0.00000E+00  1.51927E+01  6.00000E-01  1.85307E+01
      8  1.84000E-04  2.30000E-05  1.67867E+00 -3.03511E+00 -1.51756E+00  3.11311E-09  2.49333E-01  0.00000E+00  1.52767E+01  6.00000E-01  1.85280E+01
      9  2.07000E-04  2.30000E-05  1.68302E+00 -3.05456E+00 -1.52728E+00  2.24294E-09  2.50341E-01  0.00000E+00  1.53607E+01  6.00000E-01  1.85257E+01
     10  2.30000E-04  2.30000E-05  1.68737E+00 -3.07401E+00 -1.53701E+00  1.00118E-09  2.51299E-01  0.00000E+00  1.54448E+01  6.00000E-01  1.85237E+01
     11  2.53000E-04  2.30000E-05  1.69172E+00 -3.09346E+00 -1.54673E+00  1.12212E-09  2.52215E-01  0.00000E+00  1.55289E+01  6.00000E-01  1.85220E+01
     12  2.76000E-04  2.30000E-05  1.69607E+00 -3.11292E+00 -1.55646E+00  1.60870E-09  2.53127E-01  0.00000E+00  1.56129E+01  6.00000E-01  1.85203E+01
     13  2.99000E-04  2.30000E-05  1.70042E+00 -3.13237E+00 -1.56618E+00  1.37905E-09  2.54083E-01  0.00000E+00  1.56970E+01  6.00000E-01  1.85188E+01
     14  3.22000E-04  2.30000E-05  1.70477E+00 -3.15182E+00 -1.57591E+00  8.12861E-10  2.54993E-01  0.00000E+00  1.57810E+01  6.00000E-01  1.85174E+01
     15  3.45000E-04  2.30000E-05  1.70912E+00 -3.17127E+00 -1.58564E+00  4.52163E-10  2.55900E-01  0.00000E+00  1.58651E+01  6.00000E-01  1.85161E+01
     16  3.68000E-04  2.30000E-05  1.71347E+00 -3.19072E+00 -1.59536E+00  1.78002E-10  2.56861E-01  0.00000E+00  1.59491E+01  6.00000E-01  1.85150E+01
     17  3.91000E-04  2.30000E-05  1.71782E+00 -3.21017E+00 -1.60509E+00  6.68501E-10  2.57752E-01  0.00000E+00  1.60332E+01  6.00000E-01  1.85139E+01
     18  4.14000E-04  2.30000E-05  1.72216E+00 -3.22962E+00 -1.61481E+00  7.13992E-10  2.58630E-01  0.00000E+00  1.61173E+01  6.00000E-01  1.85129E+01
     19  4.37000E-04  2.30000E-05  1.72651E+00 -3.24907E+00 -1.62454E+00  2.48507E-10  2.59574E-01  0.00000E+00  1.62013E+01  6.00000E-01  1.85119E+01
     20  4.60000E-04  2.30000E-05  1.73086E+00 -3.26852E+00 -1.63427E+00 -6.77505E-10  2.60471E-01  0.00000E+00  1.62854E+01  6.00000E-01  1.85111E+01
