test point (X,Y,Z):   3.20000E+01  0.00000E+00  0.00000E+00
 year mo dy hr mn sc msc BXPNT BYPNT BZPNT UXPNT UYPNT UZPNT RHOPNT TPNT
#START
 1998 05 04 00 45 00 000 -4.45955E+000 -3.71650E+000 -5.77404E+000 -4.74407E+002 -1.71592E+001  9.89204E+000  1.02100E+001  3.52121E+004
 1998 05 04 00 46 00 979 -4.45955E+000 -3.71936E+000 -5.77220E+000 -4.74407E+002 -1.71543E+001  9.90052E+000  1.02100E+001  3.52121E+004
 1998 05 04 00 47 01 857 -4.45955E+000 -3.72222E+000 -5.77035E+000 -4.74407E+002 -1.71494E+001  9.90903E+000  1.02100E+001  3.52121E+004
 1998 05 04 00 48 02 727 -4.45955E+000 -3.72510E+000 -5.76849E+000 -4.74407E+002 -1.71445E+001  9.91759E+000  1.02100E+001  3.52121E+004
 1998 05 04 00 49 03 605 -4.45955E+000 -3.72800E+000 -5.76662E+000 -4.74407E+002 -1.71395E+001  9.92620E+000  1.02100E+001  3.52121E+004
 1998 05 04 00 50 04 516 -4.45955E+000 -3.73091E+000 -5.76474E+000 -4.74407E+002 -1.71344E+001  9.93486E+000  1.02100E+001  3.52121E+004
 1998 05 04 00 51 05 477 -4.45955E+000 -3.73385E+000 -5.76284E+000 -4.74407E+002 -1.71294E+001  9.94358E+000  1.02100E+001  3.52121E+004
 1998 05 04 00 52 00 353 -4.45955E+000 -3.73650E+000 -5.76112E+000 -4.74407E+002 -1.71248E+001  9.95147E+000  1.02100E+001  3.52121E+004
 1998 05 04 00 53 01 327 -4.45955E+000 -3.73946E+000 -5.75919E+000 -4.74407E+002 -1.71197E+001  9.96028E+000  1.02100E+001  3.52121E+004
 1998 05 04 00 54 02 302 -4.45955E+000 -3.74244E+000 -5.75726E+000 -4.74407E+002 -1.71145E+001  9.96913E+000  1.02100E+001  3.52121E+004
 1998 05 04 00 55 03 276 -4.45955E+000 -3.74544E+000 -5.75531E+000 -4.74407E+002 -1.71093E+001  9.97803E+000  1.02100E+001  3.52121E+004
 1998 05 04 00 56 04 250 -4.45955E+000 -3.74845E+000 -5.75335E+000 -4.74407E+002 -1.71041E+001  9.98698E+000  1.02100E+001  3.52121E+004
 1998 05 04 00 57 05 220 -4.45955E+000 -3.75147E+000 -5.75138E+000 -4.74407E+002 -1.70989E+001  9.99597E+000  1.02100E+001  3.52121E+004
 1998 05 04 00 58 00 061 -4.45955E+000 -3.75421E+000 -5.74960E+000 -4.74407E+002 -1.70941E+001  1.00041E+001  1.02100E+001  3.52121E+004
