Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ex Ey Ez HypE E ElRho ElMx ElMy ElMz ElE Pmin Pmax
      0  0.00000E+00  0.00000E+000  1.00000E+000  0.00000E+000 -5.27356E-018  0.00000E+000  1.00000E+000 -5.27356E-018  0.00000E+000  0.00000E+000  9.74088E-022 -5.27356E-018  0.00000E+000  1.75000E-002  1.00000E-002 -1.73472E-020  1.96538E-023  0.00000E+000  1.50250E-002  1.00000E-002  1.00000E-002
     50  7.84000E+01  1.60000E+000  1.00000E+000 -1.36046E-007  1.13765E-007 -3.54278E-005  1.00000E+000 -1.02696E-017 -1.18585E-022 -1.55991E-006  4.24531E-005 -1.14714E-003  1.29484E-010  1.74032E-002  1.00000E-002 -1.44093E-009  2.49700E-009 -4.25812E-007  1.51120E-002  9.99938E-003  1.00010E-002
    100  1.58400E+02  1.60000E+000  1.00000E+000 -2.74397E-007  1.96903E-007 -1.95899E-005  1.00000E+000 -2.22045E-018 -4.06576E-022 -4.16015E-006  4.55994E-005 -2.03201E-003  7.69526E-011  1.74045E-002  1.00000E-002 -3.13640E-009  6.17663E-009 -4.62001E-007  1.51034E-002  9.99871E-003  1.00025E-002
    150  2.38400E+02  1.60000E+000  1.00000E+000 -4.18552E-007  2.49263E-007 -2.23838E-005  1.00000E+000 -5.41234E-018 -5.42101E-022 -8.41485E-006  7.66614E-005 -2.72838E-003  7.38124E-010  1.74068E-002  1.00000E-002 -5.29612E-009  1.23393E-008 -7.83317E-007  1.50957E-002  9.99741E-003  1.00043E-002
    200  3.18400E+02  1.60000E+000  1.00000E+000 -5.69137E-007  2.59860E-007 -2.24398E-005  1.00000E+000 -5.13478E-018  6.77626E-022 -1.50028E-005  1.11590E-004 -3.24789E-003  1.16095E-009  1.74100E-002  1.00000E-002 -8.19377E-009  2.18798E-008 -1.15327E-006  1.50882E-002  9.99574E-003  1.00066E-002
    250  3.98400E+02  1.60000E+000  1.00000E+000 -7.26550E-007  2.20639E-007 -2.17362E-005  1.00000E+000 -5.96745E-018 -2.71051E-022 -2.47083E-005  1.49736E-004 -3.60208E-003  1.24550E-009  1.74141E-002  1.00000E-002 -1.21761E-008  3.53899E-008 -1.57029E-006  1.50805E-002  9.99386E-003  1.00092E-002
    300  4.78400E+02  1.60000E+000  1.00000E+000 -8.85517E-007  1.74662E-007 -2.12156E-005  1.00000E+000 -6.10623E-018  4.33681E-021 -3.77442E-005  1.89491E-004 -3.80301E-003  1.16960E-009  1.74189E-002  1.00000E-002 -1.75863E-008  5.36487E-008 -2.02394E-006  1.50727E-002  9.99154E-003  1.00123E-002
    350  5.58400E+02  1.60000E+000  1.00000E+000 -1.04368E-006  1.61122E-007 -2.03894E-005  1.00000E+000  1.38778E-019  5.42101E-021 -5.41880E-005  2.27949E-004 -3.86301E-003  7.04839E-010  1.74244E-002  1.00000E-002 -2.48235E-008  7.70863E-008 -2.49098E-006  1.50647E-002  9.98884E-003  1.00158E-002
    400  6.38400E+02  1.60000E+000  1.00000E+000 -1.20291E-006  1.32837E-007 -1.99223E-005  1.00000E+000 -3.88578E-018  4.06576E-021 -7.38725E-005  2.63521E-004 -3.79449E-003  6.78576E-010  1.74303E-002  1.00000E-002 -3.43258E-008  1.04977E-007 -2.96126E-006  1.50567E-002  9.98603E-003  1.00196E-002
    450  7.18400E+02  1.60000E+000  1.00000E+000 -1.35804E-006  8.22797E-008 -1.87396E-005  1.00000E+000 -1.94289E-018  3.54060E-021 -9.64113E-005  2.93085E-004 -3.61024E-003  1.07218E-009  1.74366E-002  1.00000E-002 -4.64273E-008  1.36721E-007 -3.40882E-006  1.50488E-002  9.98256E-003  1.00238E-002
