Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ex Ey Ez HypE E ElRho ElMx ElMy ElMz ElE Pmin Pmax
      0  0.00000E+00  0.00000E+000  1.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  7.50000E-005  1.00000E-002  8.72444E-020  8.72444E-020  0.00000E+000  7.52500E-005  5.00000E-005  5.00000E-005
     10  3.60000E-02  4.00000E-003  1.00000E+000  7.94093E-021  8.20563E-021  0.00000E+000  0.00000E+000  0.00000E+000  5.11859E-024 -7.11508E-020 -1.55854E-019  0.00000E+000 -1.26466E-019  7.50000E-005  1.00000E-002 -3.89635E-020 -5.16690E-020  0.00000E+000  7.52190E-005  4.99999E-005  5.00001E-005
     20  7.60000E-02  4.00000E-003  1.00000E+000 -9.31736E-021 -1.10114E-020  0.00000E+000  0.00000E+000  0.00000E+000 -3.30508E-023  2.10064E-019  2.64274E-019  0.00000E+000 -2.86335E-019  7.50002E-005  1.00000E-002 -6.77626E-020 -7.11508E-020  0.00000E+000  7.51316E-005  4.99995E-005  5.00005E-005
     30  1.16000E-01  4.00000E-003  1.00000E+000  5.75982E-020  5.75982E-020  0.00000E+000  0.00000E+000  0.00000E+000 -6.52381E-023 -5.42101E-019 -6.50521E-019  0.00000E+000 -4.56594E-019  7.50009E-005  1.00000E-002  2.20229E-020  1.56701E-020  0.00000E+000  7.50407E-005  4.99982E-005  5.00018E-005
     40  1.56000E-01  4.00000E-003  1.00000E+000 -4.15046E-020 -5.16690E-020  0.00000E+000  0.00000E+000  0.00000E+000 -1.24742E-022 -5.28549E-019 -7.58942E-019  0.00000E+000 -4.54614E-019  7.50024E-005  1.00000E-002  1.48231E-021  2.55433E-021  0.00000E+000  7.50017E-005  4.99959E-005  5.00042E-005
     50  1.96000E-01  4.00000E-003  1.00000E+000  5.08220E-021  6.26804E-020  0.00000E+000  0.00000E+000  0.00000E+000 -2.52432E-022 -5.42101E-019 -5.28549E-019  0.00000E+000 -6.29564E-019  7.50047E-005  1.00000E-002  3.47284E-020  2.83756E-020  0.00000E+000  7.50377E-005  4.99924E-005  5.00077E-005
     60  2.36000E-01  4.00000E-003  1.00000E+000  1.69407E-020  4.40457E-020  0.00000E+000  0.00000E+000  0.00000E+000 -1.66882E-022 -5.62430E-019 -5.48877E-019  0.00000E+000 -5.58164E-019  7.50072E-005  1.00000E-002  1.86347E-020  2.03288E-020  0.00000E+000  7.51256E-005  4.99879E-005  5.00123E-005
     70  2.76000E-01  4.00000E-003  1.00000E+000  8.47033E-021 -2.20229E-020  0.00000E+000  0.00000E+000  0.00000E+000 -2.01081E-022 -9.48677E-020 -1.05032E-019  0.00000E+000 -5.39540E-019  7.50091E-005  1.00000E-002 -2.79521E-020 -2.87991E-020  0.00000E+000  7.52106E-005  4.99826E-005  5.00177E-005
     80  3.16000E-01  4.00000E-003  1.00000E+000  2.20229E-020  8.47033E-021  0.00000E+000  0.00000E+000  0.00000E+000 -2.11546E-022  2.20229E-020  2.07523E-020  0.00000E+000 -6.36469E-019  7.50097E-005  1.00000E-002  1.10114E-020  2.87991E-020  0.00000E+000  7.52399E-005  4.99768E-005  5.00235E-005
     90  3.56000E-01  4.00000E-003  1.00000E+000  5.59042E-020  5.92923E-020  0.00000E+000  0.00000E+000  0.00000E+000 -2.08238E-022  6.77626E-021 -1.69407E-019  0.00000E+000 -7.55117E-019  7.50087E-005  1.00000E-002  5.92923E-021 -3.04932E-020  0.00000E+000  7.51953E-005  4.99711E-005  5.00293E-005
    100  3.96000E-01  4.00000E-003  1.00000E+000  6.09864E-020  4.40457E-020  0.00000E+000  0.00000E+000  0.00000E+000 -1.84362E-022  1.08420E-019 -1.15196E-019  0.00000E+000 -7.87373E-019  7.50067E-005  1.00000E-002  1.86347E-020  8.47033E-022  0.00000E+000  7.51044E-005  4.99660E-005  5.00345E-005
    110  4.36000E-01  4.00000E-003  1.00000E+000  1.86347E-020  1.86347E-020  0.00000E+000  0.00000E+000  0.00000E+000 -2.91618E-022 -2.71051E-019 -5.28549E-019  0.00000E+000 -7.75586E-019  7.50042E-005  1.00000E-002  3.38813E-021  3.81165E-021  0.00000E+000  7.50238E-005  4.99617E-005  5.00389E-005
    120  4.76000E-01  4.00000E-003  1.00000E+000  1.94818E-020 -5.08220E-021  0.00000E+000  0.00000E+000  0.00000E+000 -2.37937E-022 -2.16840E-019 -2.98156E-019  0.00000E+000 -8.56026E-019  7.50020E-005  1.00000E-002 -3.49401E-021 -8.47033E-022  0.00000E+000  7.50038E-005  4.99585E-005  5.00422E-005
    126  5.00000E-01  4.00000E-003  1.00000E+000  6.77626E-021  2.11758E-020  0.00000E+000  0.00000E+000  0.00000E+000 -2.38678E-022  8.13152E-020  2.16840E-019  0.00000E+000 -8.61408E-019  7.50011E-005  1.00000E-002 -7.19978E-021 -1.69407E-021  0.00000E+000  7.50285E-005  4.99571E-005  5.00437E-005
