Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ex Ey Ez HypE E ElRho ElMx ElMy ElMz ElE Pmin Pmax
      0  0.00000E+00  0.00000E+000  5.62500E-001  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  1.00000E-002  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  8.25000E-001  5.62500E-003  0.00000E+000  0.00000E+000  0.00000E+000  8.25000E-001  1.00000E-001  1.00000E+000
     10  9.00000E-05  1.00000E-005  5.62500E-001  8.28422E-005  0.00000E+000 -1.26652E-010  0.00000E+000  1.00000E-002  0.00000E+000  9.88280E-003  0.00000E+000 -3.63984E-006 -3.85109E-016  8.24999E-001  5.62500E-003  7.91667E-005  0.00000E+000 -3.93932E-008  8.24951E-001  1.00000E-001  1.00000E+000
     20  1.90000E-04  1.00000E-005  5.62500E-001  1.85259E-004  0.00000E+000 -5.80355E-009  0.00000E+000  1.00000E-002  0.00000E+000  4.03197E-002  0.00000E+000 -2.80893E-005 -6.45317E-016  8.24996E-001  5.62500E-003  1.56756E-004  0.00000E+000 -1.55258E-007  8.24867E-001  1.00000E-001  1.00000E+000
     30  2.90000E-04  1.00000E-005  5.62500E-001  3.07316E-004  0.00000E+000 -3.10758E-008  0.00000E+000  1.00000E-002  0.00000E+000  8.73349E-002  0.00000E+000 -8.85845E-005 -3.90313E-018  8.24996E-001  5.62500E-003  2.14712E-004  0.00000E+000 -3.17191E-007  8.24664E-001  1.00000E-001  1.00000E+000
     40  3.90000E-04  1.00000E-005  5.62500E-001  4.56061E-004  0.00000E+000 -9.44639E-008  0.00000E+000  1.00000E-002  0.00000E+000  1.44962E-001  0.00000E+000 -1.90854E-004  5.68122E-016  8.25001E-001  5.62500E-003  2.46041E-004  0.00000E+000 -4.82302E-007  8.24342E-001  1.00000E-001  1.00000E+000
     50  4.90000E-04  1.00000E-005  5.62500E-001  6.35836E-004  0.00000E+000 -2.13552E-007  0.00000E+000  1.00000E-002  0.00000E+000  2.05789E-001  0.00000E+000 -3.29046E-004  5.44703E-016  8.25011E-001  5.62500E-003  2.46289E-004  0.00000E+000 -6.03140E-007  8.23957E-001  1.00000E-001  1.00000E+000
     60  5.90000E-04  1.00000E-005  5.62500E-001  8.47163E-004  0.00000E+000 -3.98740E-007  0.00000E+000  1.00000E-002  0.00000E+000  2.61808E-001  0.00000E+000 -4.85915E-004  7.85309E-015  8.25030E-001  5.62500E-003  2.14987E-004  0.00000E+000 -6.37487E-007  8.23604E-001  1.00000E-001  1.00000E+000
     70  6.90000E-04  1.00000E-005  5.62500E-001  1.08565E-003  0.00000E+000 -6.47541E-007  0.00000E+000  1.00000E-002  0.00000E+000  3.05553E-001  0.00000E+000 -6.35582E-004  1.43635E-014  8.25055E-001  5.62500E-003  1.56482E-004  0.00000E+000 -5.58612E-007  8.23375E-001  1.00000E-001  1.00000E+000
     80  7.90000E-04  1.00000E-005  5.62500E-001  1.34215E-003  0.00000E+000 -9.41002E-007  0.00000E+000  1.00000E-002  0.00000E+000  3.31338E-001  0.00000E+000 -7.48654E-004  1.52447E-014  8.25088E-001  5.62500E-003  7.99668E-005  0.00000E+000 -3.63642E-007  8.23323E-001  1.00000E-001  1.00000E+000
     90  8.90000E-04  1.00000E-005  5.62500E-001  1.60372E-003  0.00000E+000 -1.24394E-006  0.00000E+000  1.00000E-002  0.00000E+000  3.36350E-001  0.00000E+000 -7.98893E-004  1.87385E-014  8.25124E-001  5.62500E-003 -1.63618E-006  0.00000E+000 -7.74758E-008  8.23432E-001  1.00000E-001  1.00000E+000
    100  9.90000E-04  1.00000E-005  5.62500E-001  1.85603E-003  0.00000E+000 -1.51008E-006  0.00000E+000  1.00000E-002  0.00000E+000  3.21300E-001  0.00000E+000 -7.69953E-004  1.64972E-014  8.25161E-001  5.62500E-003 -7.39891E-005  0.00000E+000  2.50060E-007  8.23635E-001  1.00000E-001  1.00001E+000
    110  1.09000E-03  1.00000E-005  5.62500E-001  2.08638E-003  0.00000E+000 -1.69157E-006  0.00000E+000  1.00000E-002  0.00000E+000  2.90351E-001  0.00000E+000 -6.60381E-004  1.58831E-014  8.25195E-001  5.62500E-003 -1.24381E-004  0.00000E+000  5.54312E-007  8.23850E-001  1.00000E-001  1.00002E+000
    120  1.19000E-03  1.00000E-005  5.62500E-001  2.28642E-003  0.00000E+000 -1.75087E-006  0.00000E+000  1.00000E-002  0.00000E+000  2.50327E-001  0.00000E+000 -4.85273E-004  1.79197E-014  8.25224E-001  5.62500E-003 -1.44437E-004  0.00000E+000  7.71083E-007  8.24018E-001  1.00000E-001  1.00002E+000
    130  1.29000E-03  1.00000E-005  5.62500E-001  2.45398E-003  0.00000E+000 -1.67164E-006  0.00000E+000  1.00000E-002  0.00000E+000  2.09327E-001  0.00000E+000 -2.73859E-004  1.80446E-014  8.25248E-001  5.62500E-003 -1.31998E-004  0.00000E+000  8.52878E-007  8.24122E-001  1.00000E-001  1.00002E+000
    140  1.39000E-03  1.00000E-005  5.62500E-001  2.59353E-003  0.00000E+000 -1.46515E-006  0.00000E+000  1.00000E-002  0.00000E+000  1.75066E-001  0.00000E+000 -6.34223E-005  1.71217E-014  8.25266E-001  5.62500E-003 -9.15429E-005  0.00000E+000  7.81410E-007  8.24174E-001  1.00000E-001  1.00002E+000
    150  1.49000E-03  1.00000E-005  5.62500E-001  2.71506E-003  0.00000E+000 -1.17004E-006  0.00000E+000  1.00000E-002  0.00000E+000  1.53326E-001  0.00000E+000  1.08962E-004  1.94532E-014  8.25282E-001  5.62500E-003 -3.30592E-005  0.00000E+000  5.72833E-007  8.24194E-001  1.00000E-001  1.00002E+000
    160  1.59000E-03  1.00000E-005  5.62500E-001  2.83168E-003  0.00000E+000 -8.45236E-007  0.00000E+000  1.00000E-002  0.00000E+000  1.46870E-001  0.00000E+000  2.14844E-004  2.45785E-014  8.25298E-001  5.62500E-003  3.03337E-005  0.00000E+000  2.74638E-007  8.24190E-001  1.00000E-001  1.00002E+000
    170  1.69000E-03  1.00000E-005  5.62500E-001  2.95663E-003  0.00000E+000 -5.57234E-007  0.00000E+000  1.00000E-002  0.00000E+000  1.55073E-001  0.00000E+000  2.40907E-004  3.37638E-014  8.25317E-001  5.62500E-003  8.54009E-005  0.00000E+000 -4.52238E-008  8.24153E-001  1.00000E-001  1.00001E+000
    180  1.79000E-03  1.00000E-005  5.62500E-001  3.10043E-003  0.00000E+000 -3.65352E-007  0.00000E+000  1.00000E-002  0.00000E+000  1.74287E-001  0.00000E+000  1.92003E-004  2.87062E-014  8.25342E-001  5.62500E-003  1.21612E-004  0.00000E+000 -3.13905E-007  8.24073E-001  1.00000E-001  1.00001E+000
