Volume averages, fluxes, etc
it t rho Ux Uy Uz E Pmin Pmax
     51  4.36204E+01  1.00174E-06 -1.83080E-05  4.23738E-06 -9.99923E+00  2.61395E+06  1.74713E-05  3.89923E+07
     52  4.44268E+01  1.00174E-06 -1.90068E-05  4.13273E-06 -1.00023E+01  2.61823E+06  1.74713E-05  3.90119E+07
     53  4.53030E+01  1.00174E-06 -1.98652E-05  4.05704E-06 -1.00058E+01  2.61832E+06  1.74712E-05  3.90331E+07
     54  4.61911E+01  1.00174E-06 -2.07736E-05  3.98573E-06 -1.00094E+01  2.61848E+06  1.74712E-05  3.90546E+07
     55  4.70792E+01  1.00174E-06 -2.17111E-05  3.91109E-06 -1.00131E+01  2.61866E+06  1.74712E-05  3.90760E+07
     56  4.79671E+01  1.00174E-06 -2.26773E-05  3.83169E-06 -1.00169E+01  2.61887E+06  1.74711E-05  3.90973E+07
     57  4.88550E+01  1.00174E-06 -2.36695E-05  3.74755E-06 -1.00207E+01  2.61910E+06  1.74711E-05  3.91186E+07
     58  4.97427E+01  1.00174E-06 -2.46891E-05  3.65771E-06 -1.00247E+01  2.61934E+06  1.74711E-05  3.91398E+07
     59  5.06303E+01  1.00174E-06 -2.57380E-05  3.56171E-06 -1.00287E+01  2.61959E+06  1.74711E-05  3.91609E+07
     60  5.15179E+01  1.00174E-06 -2.68154E-05  3.45952E-06 -1.00328E+01  2.61986E+06  1.74711E-05  3.91819E+07
     61  5.24053E+01  1.00174E-06 -2.79220E-05  3.35144E-06 -1.00369E+01  2.62013E+06  1.74711E-05  3.92027E+07
     62  5.32927E+01  1.00174E-06 -2.90580E-05  3.23684E-06 -1.00411E+01  2.62042E+06  1.74710E-05  3.92232E+07
     63  5.41800E+01  1.00174E-06 -3.02245E-05  3.11557E-06 -1.00454E+01  2.62071E+06  1.74710E-05  3.92435E+07
     64  5.50672E+01  1.00174E-06 -3.14225E-05  2.98502E-06 -1.00498E+01  2.62101E+06  1.74710E-05  3.92636E+07
     65  5.59544E+01  1.00174E-06 -3.26525E-05  2.84481E-06 -1.00542E+01  2.62131E+06  1.74710E-05  3.92833E+07
     66  5.68415E+01  1.00174E-06 -3.39157E-05  2.69176E-06 -1.00586E+01  2.62162E+06  1.74710E-05  3.93026E+07
     67  5.77286E+01  1.00174E-06 -3.52139E-05  2.52487E-06 -1.00631E+01  2.62193E+06  1.74710E-05  3.93215E+07
     68  5.86156E+01  1.00174E-06 -3.65476E-05  2.34436E-06 -1.00677E+01  2.62225E+06  1.74710E-05  3.93400E+07
     69  5.95025E+01  1.00174E-06 -3.79182E-05  2.15098E-06 -1.00723E+01  2.62257E+06  1.74710E-05  3.93580E+07
     70  6.03895E+01  1.00174E-06 -3.93245E-05  1.94426E-06 -1.00770E+01  2.62290E+06  1.74709E-05  3.93755E+07
     71  6.12763E+01  1.00174E-06 -4.07659E-05  1.72120E-06 -1.00817E+01  2.62322E+06  1.74709E-05  3.93926E+07
     72  6.21632E+01  1.00174E-06 -4.22428E-05  1.47914E-06 -1.00864E+01  2.62355E+06  1.74709E-05  3.94090E+07
     73  6.30500E+01  1.00174E-06 -4.37549E-05  1.21896E-06 -1.00912E+01  2.62389E+06  1.74709E-05  3.94250E+07
     74  6.39369E+01  1.00174E-06 -4.53027E-05  9.38300E-07 -1.00960E+01  2.62422E+06  1.74709E-05  3.94404E+07
     75  6.48237E+01  1.00174E-06 -4.68879E-05  6.40456E-07 -1.01008E+01  2.62456E+06  1.74709E-05  3.94552E+07
     76  6.57105E+01  1.00174E-06 -4.85116E-05  3.22363E-07 -1.01056E+01  2.62489E+06  1.74709E-05  3.94695E+07
     77  6.65973E+01  1.00174E-06 -5.01729E-05 -1.38026E-08 -1.01104E+01  2.62523E+06  1.74709E-05  3.94833E+07
     78  6.74840E+01  1.00174E-06 -5.18719E-05 -3.64818E-07 -1.01153E+01  2.62557E+06  1.74709E-05  3.94966E+07
     79  6.83706E+01  1.00174E-06 -5.36100E-05 -7.29477E-07 -1.01202E+01  2.62592E+06  1.74709E-05  3.95093E+07
     80  6.92572E+01  1.00174E-06 -5.53867E-05 -1.10526E-06 -1.01250E+01  2.62626E+06  1.74709E-05  3.95215E+07
     81  7.01438E+01  1.00174E-06 -5.72027E-05 -1.49561E-06 -1.01299E+01  2.62660E+06  1.74709E-05  3.95332E+07
     82  7.10304E+01  1.00174E-06 -5.90593E-05 -1.90223E-06 -1.01348E+01  2.62694E+06  1.74709E-05  3.95445E+07
     83  7.19169E+01  1.00174E-06 -6.09569E-05 -2.32116E-06 -1.01397E+01  2.62729E+06  1.74709E-05  3.95553E+07
     84  7.28034E+01  1.00174E-06 -6.28957E-05 -2.74948E-06 -1.01446E+01  2.62763E+06  1.74709E-05  3.95657E+07
     85  7.36899E+01  1.00174E-06 -6.48751E-05 -3.19326E-06 -1.01495E+01  2.62797E+06  1.74709E-05  3.95757E+07
     86  7.45764E+01  1.00174E-06 -6.68946E-05 -3.66032E-06 -1.01544E+01  2.62832E+06  1.74709E-05  3.95853E+07
     87  7.54628E+01  1.00174E-06 -6.89562E-05 -4.15068E-06 -1.01592E+01  2.62866E+06  1.74709E-05  3.95945E+07
     88  7.63493E+01  1.00174E-06 -7.10592E-05 -4.66060E-06 -1.01641E+01  2.62900E+06  1.74709E-05  3.96035E+07
     89  7.72358E+01  1.00174E-06 -7.32009E-05 -5.18956E-06 -1.01689E+01  2.62935E+06  1.74709E-05  3.96121E+07
     90  7.81222E+01  1.00174E-06 -7.53809E-05 -5.74206E-06 -1.01737E+01  2.62969E+06  1.74709E-05  3.96204E+07
     91  7.90086E+01  1.00174E-06 -7.75984E-05 -6.30954E-06 -1.01785E+01  2.63003E+06  1.74709E-05  3.96285E+07
     92  7.98950E+01  1.00174E-06 -7.98520E-05 -6.89537E-06 -1.01833E+01  2.63037E+06  1.74709E-05  3.96383E+07
     93  8.07813E+01  1.00174E-06 -8.21415E-05 -7.49982E-06 -1.01881E+01  2.63071E+06  1.74709E-05  3.96491E+07
     94  8.16676E+01  1.00174E-06 -8.44679E-05 -8.12002E-06 -1.01928E+01  2.63106E+06  1.74708E-05  3.96602E+07
     95  8.25539E+01  1.00174E-06 -8.68318E-05 -8.75940E-06 -1.01976E+01  2.63140E+06  1.74708E-05  3.96715E+07
     96  8.34401E+01  1.00174E-06 -8.92329E-05 -9.42170E-06 -1.02023E+01  2.63174E+06  1.74708E-05  3.96830E+07
     97  8.43264E+01  1.00174E-06 -9.16719E-05 -1.01101E-05 -1.02071E+01  2.63208E+06  1.74708E-05  3.96948E+07
     98  8.52127E+01  1.00174E-06 -9.41514E-05 -1.08173E-05 -1.02118E+01  2.63241E+06  1.74708E-05  3.97068E+07
     99  8.60990E+01  1.00174E-06 -9.66711E-05 -1.15423E-05 -1.02165E+01  2.63275E+06  1.74708E-05  3.97189E+07
