Volume averages, fluxes, etc
it rho mx my mz bx by bz p pmin pmax jin jout jinmax joutmax rhosi_integrated
      1  2.00000E-001 -1.33808E-016  2.28662E-028 -3.01373E-038  8.67578E-019 -9.03728E-020 -1.00006E+000  5.52290E-004  5.52206E-004  5.57450E-004 -1.48229E-006  1.69582E-006 -6.05304E-006  6.91028E-006  7.17749E+000
      2  2.00000E-001 -1.33807E-016  2.61139E-028 -6.41384E-038  6.94063E-019  1.59056E-019 -1.00013E+000  5.52300E-004  5.52126E-004  7.00849E-004 -1.83349E-006  2.16955E-006 -8.35597E-006  8.93202E-006  7.17749E+000
      3  2.00000E-001 -1.33806E-016  7.10982E-029 -1.23640E-037  2.25570E-018 -1.01218E-019 -1.00021E+000  5.52325E-004  5.52115E-004  1.34517E-003 -2.05094E-006  2.47109E-006 -9.17586E-006  9.71796E-006  7.17749E+000
      4  2.00000E-001 -1.33804E-016 -6.23159E-028  4.01831E-037 -3.47031E-019 -3.90410E-019 -1.00029E+000  5.52372E-004  5.52162E-004  2.61915E-003 -2.11134E-006  2.59534E-006 -9.35631E-006  1.01951E-005  7.17749E+000
      5  2.00000E-001 -1.33802E-016 -2.17518E-027  1.85460E-037  1.04109E-018 -5.35007E-019 -1.00039E+000  5.52448E-004  5.51961E-004  4.05426E-003 -2.09043E-006  2.62415E-006 -9.24122E-006  1.08112E-005  7.17749E+000
      6  2.00000E-001 -1.33799E-016 -4.98982E-027 -4.69833E-037  3.12328E-018 -3.18112E-019 -1.00050E+000  5.52558E-004  5.51753E-004  5.36714E-003 -2.05301E-006  2.62597E-006 -8.96696E-006  1.13349E-005  7.17749E+000
      7  2.00000E-001 -1.33796E-016 -9.43744E-027  1.08803E-036 -3.47031E-019 -6.07305E-019 -1.00061E+000  5.52704E-004  5.51466E-004  6.46527E-003 -2.05066E-006  2.65491E-006 -8.62265E-006  1.17809E-005  7.17749E+000
      8  2.00000E-001 -1.33793E-016 -1.58500E-026  5.93473E-037  6.94063E-019  1.15677E-019 -1.00073E+000  5.52892E-004  5.51141E-004  7.35901E-003 -2.06324E-006  2.69279E-006 -8.25521E-006  1.21535E-005  7.17749E+000
      9  2.00000E-001 -1.33789E-016 -2.45325E-026  1.08803E-036 -2.08219E-018  1.44596E-019 -1.00086E+000  5.53122E-004  5.50834E-004  8.70811E-003 -2.06491E-006  2.71524E-006 -7.89128E-006  1.24584E-005  7.17749E+000
     10  2.00000E-001 -1.33784E-016 -3.57644E-026  1.53314E-036  1.38813E-018  4.62709E-019 -1.00099E+000  5.53398E-004  5.50543E-004  1.02369E-002 -2.05959E-006  2.72728E-006 -7.54676E-006  1.26987E-005  7.17749E+000
     11  2.00000E-001 -1.33779E-016 -4.98197E-026  1.33531E-036  4.85844E-018  5.78386E-019 -1.00112E+000  5.53721E-004  5.50355E-004  1.16020E-002 -2.04747E-006  2.72994E-006 -7.23092E-006  1.28733E-005  7.17749E+000
     12  2.00000E-001 -1.33774E-016 -6.69769E-026  1.23640E-036 -2.77625E-018 -1.35921E-018 -1.00126E+000  5.54093E-004  5.50178E-004  1.28006E-002 -2.03034E-006  2.72562E-006 -6.94853E-006  1.29867E-005  7.17749E+000
     13  2.00000E-001 -1.33768E-016 -8.75485E-026  5.73691E-036  2.08219E-018 -1.56164E-018 -1.00140E+000  5.54516E-004  5.50055E-004  1.38429E-002 -2.01009E-006  2.71667E-006 -6.71354E-006  1.30438E-005  7.17749E+000
     14  2.00000E-001 -1.33761E-016 -1.11907E-025  6.92385E-036 -1.38813E-018  2.22679E-018 -1.00153E+000  5.54992E-004  5.49712E-004  1.47446E-002 -1.98728E-006  2.70401E-006 -6.55951E-006  1.30506E-005  7.17749E+000
     15  2.00000E-001 -1.33754E-016 -1.40522E-025  1.02869E-035  5.55250E-018 -5.78386E-019 -1.00166E+000  5.55520E-004  5.49449E-004  1.55845E-002 -1.96226E-006  2.68825E-006 -6.46733E-006  1.30127E-005  7.17749E+000
     16  2.00000E-001 -1.33746E-016 -1.73932E-025  1.22651E-035  5.55250E-018  5.78386E-019 -1.00179E+000  5.56104E-004  5.49113E-004  1.68673E-002 -1.94448E-006  2.67902E-006 -6.39995E-006  1.29363E-005  7.17749E+000
     17  1.99999E-001 -1.33738E-016 -2.12795E-025  1.48368E-035 -2.77625E-018 -1.96651E-018 -1.00190E+000  5.56742E-004  5.48803E-004  1.80202E-002 -1.92644E-006  2.66898E-006 -6.35265E-006  1.28270E-005  7.17749E+000
     18  1.99998E-001 -1.33729E-016 -2.57874E-025  9.79231E-036  0.00000E+000  1.15677E-018 -1.00201E+000  5.57438E-004  5.48579E-004  1.90490E-002 -1.90524E-006  2.65535E-006 -6.32313E-006  1.26904E-005  7.17749E+000
