R R R Mp/cc km/s km/s km/s nT nT nT nPa uA/m2 uA/m2 uA/m2
       352  6.0000000000E+01 -2  3 12
     116       1
  6.3780000000E+06  2.5000000000E+00  1.6666700000E+00
x y z Rho Ux Uy Uz Bx By Bz P jx jy jz xSI r g
 -1.8000000000E+01 -1.8000000000E+01  2.0000000000E+00  4.9999642200E+00 -3.9997081646E+02  1.0709722565E-02 -1.2262943763E-02  1.1672308245E-01 -1.4435578054E+00 -7.7998559000E+00  6.9316289448E-03  1.4483445974E-06 -4.4018263638E-07  3.7241636776E-06
 -1.4000000000E+01 -1.8000000000E+01 -6.0000000000E+00  5.0005965603E+00 -4.0001007941E+02 -3.3879687753E-02  1.2516419337E-02 -4.4810692751E-01 -3.5401150968E+00 -8.7254701897E+00  6.9574107461E-03 -1.8182971101E-07  8.3175058822E-07  3.5780963117E-06
 -1.8000000000E+01 -1.4000000000E+01  2.0000000000E+00  5.0001347607E+00 -3.9995563584E+02  6.9007065865E-03 -4.1872085625E-02 -4.1006904874E-01 -2.2906564988E+00 -6.6102381698E+00  7.0069067431E-03  3.9624736595E-06 -3.1159607738E-07  2.7715899685E-06
 -1.5000000000E+01 -1.5000000000E+01  1.0000000000E+00  5.0001744782E+00 -3.9999708177E+02  1.0638856799E-01 -8.8689820411E-02  1.9170247559E-01 -2.9466196031E+00 -6.0316810080E+00  7.0006873685E-03 -2.7629753677E-06 -2.5123138257E-06 -6.5329542277E-06
 -1.3000000000E+01 -1.5000000000E+01 -1.0000000000E+00  5.0027946428E+00 -4.0006211228E+02  1.1358765640E-01 -2.1306743373E-01  1.8072292158E-01 -4.4895904953E+00 -5.7911588429E+00  7.0877883460E-03  1.5084831367E-06 -1.9797351959E-06 -1.8301406742E-05
 -1.1000000000E+01 -1.5000000000E+01 -3.0000000000E+00  5.0076144808E+00 -4.0021276427E+02 -8.2996699845E-02 -1.6597620258E-01  4.4065201291E-01 -6.0745027270E+00 -6.1279918955E+00  7.2473029040E-03  5.3453925976E-06  9.9777865626E-07 -4.3873758384E-05
 -1.5000000000E+01 -1.3000000000E+01  3.0000000000E+00  5.0008031569E+00 -3.9983323219E+02 -4.1480447178E-02 -2.4019173234E-02  7.9145834699E-01 -2.4584552272E+00 -4.7217469124E+00  7.1064903524E-03  3.2940229560E-06 -5.3734776789E-06  2.0836737918E-06
 -9.0000000000E+00 -1.5000000000E+01 -1.3000000000E+01  5.0004919905E+00 -4.0013959738E+02 -6.4088026397E-02  2.3060326811E-02 -3.7950924576E-04 -5.0168226062E+00 -1.1480544082E+01  6.9782454738E-03  1.4902711465E-06  1.1309130177E-06 -1.5443526248E-06
 -1.3000000000E+01 -1.3000000000E+01 -1.0000000000E+00  5.0113551560E+00 -3.9947333267E+02 -4.6824307830E-01 -2.5281894642E-01 -5.3679835730E-01 -6.3739957148E+00 -4.3835901261E+00  7.6063813565E-03  1.9447096043E-06 -1.2959055879E-06  1.9607128375E-05
 -1.1000000000E+01 -1.3000000000E+01 -1.0000000000E+00  5.0210113281E+00 -3.9900458661E+02 -1.1471245440E+00 -2.6177281326E-01  7.6642734241E-01 -7.2484581065E+00 -3.1143810848E+00  8.3487144875E-03 -4.2506791349E-07  1.2969108868E-06  4.0473618007E-05
 -1.8000000000E+01 -1.0000000000E+01  2.0000000000E+00  4.9978873087E+00 -3.9989688974E+02 -3.5165317660E-01  8.7543963893E-03 -1.6928104737E+00 -3.2422365889E+00 -4.6987889882E+00  7.6015030141E-03  4.3333912431E-06  2.1227698320E-06  1.0211708705E-05
 -1.5000000000E+01 -1.1000000000E+01  1.0000000000E+00  5.0017403605E+00 -3.9945704663E+02 -6.8842351641E-01 -1.1723744378E-01 -1.1951691653E+00 -5.2216722632E+00 -3.0272409792E+00  7.8166913615E-03  2.6841484283E-06 -6.4535091742E-06  9.0963253135E-06
 -9.0000000000E+00 -1.3000000000E+01 -7.0000000000E+00  5.0221422833E+00 -3.9791897416E+02 -1.4728091902E+00  2.0080848943E-01 -3.5228573203E-01 -1.0482160480E+01 -9.2860558180E+00  8.5779751077E-03 -8.3975990619E-06  5.6291374110E-07  6.3340113122E-05
 -1.3000000000E+01 -1.1000000000E+01  1.0000000000E+00  5.0033607210E+00 -3.9828426833E+02 -1.6978081192E+00  1.0526643067E-01 -1.4699017172E-01 -6.3030526895E+00 -1.0194065449E+00  9.1029039636E-03 -2.7415055706E-06  8.3018799625E-06  5.4588925733E-05
 -1.1000000000E+01 -1.1000000000E+01 -1.0000000000E+00  5.0103924258E+00 -3.8832785755E+02 -7.6853979635E+00  2.4542879540E+00 -1.5408503759E+00 -1.0953491962E+01 -5.1799612044E-01  1.7815698671E-02 -4.0451518587E-05  4.9345947956E-05  1.9808567226E-04
 -1.5000000000E+01 -9.0000000000E+00  5.0000000000E+00  4.9948969304E+00 -3.9973440535E+02 -3.6181016823E-01  9.9549567331E-02  2.2816331730E+00 -1.4386460533E+00 -2.0289380456E+00  8.4670022967E-03 -4.6614424828E-06 -1.9700498921E-06  3.8362316135E-06
 -9.0000000000E+00 -1.1000000000E+01 -3.0000000000E+00  5.0110969021E+00 -3.6835491612E+02 -1.7965067961E+01  3.9895635418E+00 -3.1014857348E+00 -1.5489776141E+01 -2.5701168609E+00  3.6486936183E-02 -5.8354905581E-05  4.2202683717E-05  3.7502352942E-04
 -1.3000000000E+01 -9.0000000000E+00  3.0000000000E+00  4.9551030230E+00 -3.9665268305E+02 -1.8090723774E+00  1.1746059620E+00  1.6714868510E+00 -4.2050428021E+00  2.2054341790E+00  1.2863471923E-02 -2.6015871098E-05  6.0359640607E-05  7.4119044271E-05
 -7.0000000000E+00 -1.1000000000E+01 -2.1461057999E+00  5.0148985646E+00 -3.5448773973E+02 -1.7710357078E+01  6.4328697789E+00  6.6013685980E-01 -1.4834815689E+01  1.1478105582E+00  5.2381118821E-02 -1.0759610880E-04  8.5599729734E-05  4.9025290162E-04
 -1.1000000000E+01 -9.0000000000E+00  3.0000000000E+00  4.8810089687E+00 -3.8907403830E+02 -2.9558217994E+00  1.4252678206E+00  4.4683387541E+00 -3.6581134706E+00  5.1542828384E+00  2.2501812214E-02 -8.2522311987E-05  1.6537523169E-04  1.3575084776E-04
 -1.8000000000E+01 -6.0000000000E+00  6.0000000000E+00  4.9915656517E+00 -3.9997034781E+02 -3.7470975295E-02  3.0502939173E-01  7.9967846102E-01 -9.8602764647E-01 -3.4924518836E+00  8.5652245098E-03 -6.5466469498E-06  1.6573149801E-05 -2.3107480473E-06
 -1.5000000000E+01 -7.0000000000E+00  5.0000000000E+00  4.9629914204E+00 -3.9860669830E+02 -4.2612027060E-01  5.1183091426E-02  2.5987697487E+00 -1.4916819962E+00  1.0407100036E-01  1.1512370961E-02 -1.8851743640E-05  2.3161882210E-05  1.5371163971E-05
 -9.0000000000E+00 -9.0000000000E+00  3.0000000000E+00  4.7622623909E+00 -3.7179032150E+02 -4.7861943129E+00 -1.1312110813E+00  8.5914802521E+00 -1.7463440177E+00  7.5928850457E+00  4.1590246731E-02 -1.6716580982E-04  3.0840426925E-04  1.7295697915E-04
 -1.3000000000E+01 -7.0000000000E+00  5.0000000000E+00  4.8839864326E+00 -3.9405733124E+02 -1.6742759567E+00 -1.5709600031E+00  5.8757888792E+00 -6.5286321232E-01  2.5175923527E+00  1.9379805150E-02 -5.3640029354E-05  1.3332860516E-04  2.4258511498E-05
 -7.0000000000E+00 -9.0000000000E+00  1.0000000000E+00  4.7406339687E+00 -2.9577422204E+02 -4.4462086345E+00  1.5213674948E+01  3.3392292550E+00 -9.7976500922E+00  1.2430541419E+01  1.0327818430E-01 -3.1430051099E-04  5.2254925927E-04  6.0297507173E-04
 -1.1000000000E+01 -7.0000000000E+00  1.0000000000E+00  4.4537777991E+00 -3.1826571257E+02 -2.5267952935E+01  3.3963711938E+01 -1.1360475012E+01 -1.2451767310E+01  8.8657852386E+00  7.4415818000E-02 -2.0338631863E-04  4.8731466124E-04  4.6438167550E-04
 -5.0000000000E+00 -9.0000000000E+00  8.1104935689E-01  4.8934795155E+00 -2.5039900215E+02  1.6952502457E-01  4.6545151052E+00  9.5964636757E+00 -7.7757913494E+00  1.5667389868E+01  1.3620174628E-01 -3.1458122439E-04  5.3144847920E-04  5.1119939619E-04
 -1.5000000000E+01 -5.0000000000E+00  3.0000000000E+00  4.7896020899E+00 -3.8816691389E+02 -3.1753597782E+00  7.4893468374E+00 -3.9269231760E+00 -4.4685600561E+00  4.7458113455E+00  2.3991365288E-02 -4.8065425360E-05  1.5137892522E-04  9.0789721191E-05
 -9.0000000000E+00 -7.0000000000E+00  1.0000000000E+00  4.3573643740E+00 -2.3917942567E+02 -2.4748795933E+01  4.6596818451E+01 -1.2713978216E+01 -1.4998961104E+01  1.3280315014E+01  1.1888255856E-01 -3.1612661265E-04  6.9577742528E-04  6.1144217478E-04
 -3.0000000000E+00 -9.0000000000E+00 -1.7606535472E+00  5.4601353817E+00 -1.8871835483E+02 -5.4893717193E+00  6.8999627657E+00  4.7484071143E+00 -2.2921131527E+01  1.4076550250E+01  1.7933962398E-01 -2.0650072187E-04  2.5532329316E-04  6.7935524437E-04
 -1.3000000000E+01 -5.0000000000E+00  5.0000000000E+00  4.7352415770E+00 -3.8135660761E+02 -2.1357407456E-01 -3.5118393270E+00  6.4395417067E+00 -7.4778990013E-01  5.0018672848E+00  3.4952530301E-02 -8.5677785610E-05  3.1892481348E-04  5.1843067868E-05
 -7.0000000000E+00 -7.0000000000E+00  3.0000000000E+00  4.4312731301E+00 -2.2489823611E+02  7.9807142616E+00 -1.8250720952E+01  1.4739297294E+01 -1.1512371651E+00  1.5496410546E+01  1.4400352193E-01 -3.6825510313E-04  9.0503468975E-04  3.2897241980E-04
 -1.1000000000E+01 -5.0000000000E+00  3.0000000000E+00  4.3295986893E+00 -2.9773080226E+02 -4.3833039980E+00  2.4863571325E+01 -3.9828490257E+00 -5.9755843599E+00  1.3167013737E+01  1.0019331468E-01 -2.1188161102E-04  8.2409656367E-04  3.6405995365E-04
 -5.0000000000E+00 -7.0000000000E+00  6.0235980045E-01  5.3290032911E+00 -7.8556944017E+01  8.2434340923E+00  1.4952631315E+01 -9.2984807389E-01 -2.4651092545E+01  2.9112672852E+01  1.8160769639E-01 -3.2616640052E-04  7.1476146532E-04  4.7482139019E-04
 -1.8000000000E+01 -2.0000000000E+00  2.0000000000E+00  4.8785081006E+00 -3.9698017670E+02 -8.1395567026E-01  3.9013390121E+00 -7.1333733896E+00 -1.6801348083E+00 -3.6446641477E-01  1.7661277456E-02 -3.7054282390E-06  4.5972993957E-05  1.0472307417E-05
 -1.5000000000E+01 -3.0000000000E+00  3.0000000000E+00  4.6586170553E+00 -3.7940051183E+02 -3.1318101447E+00  1.4170404558E+01 -6.7214692351E+00 -3.3253496188E+00  6.4820368554E+00  3.4964509056E-02 -4.6711634120E-05  2.6853764136E-04  8.4753040833E-05
 -9.0000000000E+00 -5.0000000000E+00  5.0000000000E+00  4.1916758459E+00 -2.9089689193E+02 -7.1015124607E+00 -2.9990637615E+01  2.0476219990E+01  2.9214521754E+00  7.7117206896E+00  1.0885405797E-01 -2.1704054187E-04  7.4077278461E-04  6.2509935086E-05
 -3.0000000000E+00 -7.0000000000E+00 -1.7039147565E+00  6.3307098058E+00 -4.6628834375E+01 -6.5462134335E-01  1.1822173507E+01 -3.7034192578E+00 -5.9401211503E+01  2.6670495857E+01  1.7869531737E-01 -1.9634005991E-04  3.1096845903E-04  3.7780276234E-04
