Values at minimum B
       350  6.0000000000E+01 -2  0 22
      20      25
x y z Rho Ux Uy Uz BxSM BySM BzSM P rCurve xZ0 yZ0 zZ0 RhoZ0 UxZ0 UyZ0 UzZ0 BxSMZ0 BySMZ0 BzSMZ0 PZ0 rCurveZ0
  1.8522514138E+07  0.0000000000E+00 -5.9877485150E+06  1.6311500872E-20  8.0072919873E+03  1.9100190046E-13  4.3053859508E+02 -2.6500593599E-07  1.7625516177E-22  1.0292848724E-06  1.9717735549E-10  1.2556903546E+07  1.7635432915E+07  0.0000000000E+00 -7.4230358952E+06  1.6274868823E-20  7.8800553826E+03  1.6934445966E-13 -1.3247621784E+03  4.0321678199E-09  1.8564262785E-22  1.1087109319E-06  1.8443599463E-10  1.3130395734E+07
  2.2431095705E+07  0.0000000000E+00 -1.0898630920E+07  1.5735157588E-20  1.0198613042E+04  6.4226556446E-13 -5.9078275540E+03  8.3107188356E-08  8.3862080730E-23  4.9224202761E-07  2.1450884257E-10  1.4167933572E+07  2.2895123433E+07  0.0000000000E+00 -9.6369237938E+06  1.5778669116E-20  1.0164415537E+04  5.2180581509E-13 -3.0443386271E+03  3.0640147162E-09  8.4837931906E-23  5.0297565417E-07  2.1517142842E-10  1.3986640522E+07
  2.7924261053E+07  0.0000000000E+00 -1.2428535795E+07  1.5192756548E-20  9.8449668647E+03  8.4317312101E-13 -7.1446944285E+03  1.7663989068E-08  4.5550585687E-23  2.6759810563E-07  2.3019079612E-10  1.5262763818E+07  2.8154813952E+07  0.0000000000E+00 -1.1850811692E+07  1.5211637573E-20  1.0041302620E+04  7.7565207119E-13 -5.5428160221E+03  1.4130651708E-09  4.5616407973E-23  2.6857161456E-07  2.3015937111E-10  1.5283737917E+07
  3.2955469545E+07  0.0000000000E+00 -1.5297680385E+07  1.4563102186E-20  2.9793922898E+03  1.1155901723E-12 -1.4624284851E+04  1.6306505893E-08  2.7006828691E-23  1.5741618736E-07  2.5349922178E-10  1.5922061198E+07  3.3414504470E+07  0.0000000000E+00 -1.4064699591E+07  1.4593623420E-20  2.1931890540E+03  1.1285063630E-12 -1.0540065686E+04 -2.4764992558E-12  2.7172255425E-23  1.5917915146E-07  2.5469161619E-10  1.6287288113E+07
  3.8662469786E+07  0.0000000000E+00 -1.6305058070E+07  1.3844556467E-20 -2.4086386867E+04  1.4901246150E-12 -1.9774667384E+04 -5.0840273483E-10  1.7239691805E-23  9.9732582919E-08  2.9486865708E-10  1.8468747607E+07  3.8674194989E+07  0.0000000000E+00 -1.6278587490E+07  1.3845110254E-20 -2.4094990701E+04  1.4930654118E-12 -1.9662578429E+04 -6.9769262019E-10  1.7239301542E-23  9.9731769179E-08  2.9491277473E-10  1.8477073446E+07
  4.3596421802E+07  0.0000000000E+00 -1.9221231368E+07  1.3066885240E-20 -5.8999634264E+04  1.4028436773E-12 -3.6346251023E+04  1.0185580824E-09  1.1273621918E-23  6.4442318217E-08  3.3187319215E-10  2.0544781136E+07  4.3933885507E+07  0.0000000000E+00 -1.8492475388E+07  1.3076012546E-20 -5.6721881900E+04  1.4152446916E-12 -3.3773176950E+04 -1.7479184567E-09  1.1294025854E-23  6.4482851448E-08  3.3412199527E-10  2.0738653900E+07
  4.9800833694E+07  0.0000000000E+00 -1.9205832500E+07  1.2283865588E-20 -1.2830943298E+05  4.1709211003E-12 -3.1632536021E+04 -4.7116714448E-09  7.0945135205E-24  3.8596369859E-08  3.0310990468E-10  2.3751640513E+07  4.9193576026E+07  0.0000000000E+00 -2.0706363287E+07  1.2258831097E-20 -1.3089699688E+05  4.6861647497E-12 -3.6348857109E+04 -1.8800209958E-09  7.1126864454E-24  3.9101208777E-08  3.0216069179E-10  2.3127754804E+07
  5.5055266300E+07  0.0000000000E+00 -2.0915297741E+07  1.1473395169E-20 -2.0872738328E+05  7.8548747366E-12 -2.9621199501E+04 -3.4364230746E-09  4.4364778889E-24  2.0565956763E-08  2.5593443407E-10  2.5779850759E+07  5.4453266544E+07  0.0000000000E+00 -2.2920251185E+07  1.1396027093E-20 -2.1514842993E+05  8.6782926875E-12 -3.2193534630E+04 -1.4406577583E-09  4.3682509415E-24  2.1016966373E-08  2.4553342827E-10  2.5288334527E+07
  5.7720884948E+07 -2.4370728742E-09 -3.0706781171E+07  1.0298952712E-20 -3.1302871087E+05  1.5328927792E-11 -3.2456942431E+04  1.0265853640E-09  2.4954292745E-24  8.6177745066E-09  1.4469514189E-10  2.5031571624E+07  5.9712957063E+07  0.0000000000E+00 -2.5134139084E+07  1.0517410818E-20 -2.8670758938E+05  1.0643213666E-11 -2.5079009594E+04 -8.6339458306E-10  2.5821714809E-24  9.4390589969E-09  1.7101571907E-10  2.4789666228E+07
  6.5664606744E+07  2.3351525838E-09 -2.4838720993E+07  9.7883807136E-21 -3.3222305925E+05  8.4170413814E-12 -1.4299091255E+04 -6.2972998147E-10  1.5483656218E-24  2.7587943518E-09  1.0012220256E-10  2.1141985237E+07  6.4972647581E+07  0.0000000000E+00 -2.7348026982E+07  9.7126371576E-21 -3.3709725489E+05  8.9863959497E-12 -1.6188357247E+04 -9.8855601214E-11  1.7324169695E-24  3.0630283284E-09  9.5162108396E-11  2.1571707349E+07
