Values at minimum B
    362  6.0000000000E+01 -2  0 22
      20      25
x y z rho ux uy uz bxSM bySM bzSM p rCurve xZ0 yZ0 zZ0 rhoZ0 uxZ0 uyZ0 uzZ0 bxSMZ0 bySMZ0 bzSMZ0 pZ0 rCurveZ0
  1.6986083910E+07 -2.9126135952E-12 -9.3088207357E+06  1.6136802663E-20  8.9145276316E+03 -5.5560877784E-13 -1.2476827245E+03 -2.9637464035E-07 -6.0308727541E-26  1.0778867772E-06  1.8288033423E-10  1.4845216575E+07  1.5872307270E+07  6.6384397979E-11 -1.0685495680E+07  1.6092059794E-20  8.8186766333E+03 -5.5830119491E-13 -2.7648211903E+03  4.3301982540E-09 -6.3405329234E-26  1.1466442185E-06  1.7267702077E-10  1.5498897100E+07
  1.9609372817E+07  0.0000000000E+00 -1.5954362389E+07  1.5545490371E-20  1.6881321393E+04 -5.3155750739E-13 -1.1002189487E+04  1.3685042428E-07 -7.2440733860E-26  4.8045288029E-07  2.0885094527E-10  1.3118556187E+07  2.0606153298E+07  8.6183253516E-11 -1.3872397901E+07  1.5606008311E-20  1.4462303494E+04 -4.7387536977E-13 -6.8846225018E+03  4.1942416942E-09 -1.1217560602E-25  5.2047485712E-07  2.1257559697E-10  1.4009479056E+07
  2.5510944510E+07  1.0104447331E-10 -1.6818413072E+07  1.4958855977E-20  1.5563969388E+04 -1.1888299924E-13 -9.0172326745E+03 -5.7193770867E-09 -2.4329369717E-26  2.7789429094E-07  2.2668973703E-10  1.4733360215E+07  2.5339999326E+07  1.0598210905E-10 -1.7059300121E+07  1.4954274292E-20  1.5824903646E+04 -1.4734361192E-13 -9.5957933549E+03  2.3800099940E-09 -3.2557615965E-26  2.7810596729E-07  2.2617309297E-10  1.4615767322E+07
  3.0593131219E+07  3.9790726104E-11 -1.9576224916E+07  1.4265153346E-20  1.3884286200E+04  2.4498680527E-13 -1.3156942095E+04 -1.0614992544E-08 -2.3085392013E-26  1.6481957130E-07  2.4597360919E-10  1.5117059982E+07  3.0073845353E+07  1.2578096459E-10 -2.0246202341E+07  1.4264899267E-20  9.9816909028E+03  2.3197127330E-13 -1.5338281537E+04  3.8533307353E-10 -6.3405329234E-26  1.6570429195E-07  2.4837787340E-10  1.5247501629E+07
  3.3502917092E+07 -1.6659038224E-12 -2.5403314077E+07  1.3544034728E-20 -2.9325417314E+04  2.9782309289E-13 -3.1866108345E+04  1.4646176518E-08 -1.1077465555E-25  1.0334300245E-07  2.9161400156E-10  1.7157951532E+07  3.4807691381E+07  1.4557982013E-10 -2.3433104562E+07  1.3558747391E-20 -2.3543155970E+04  3.1218507436E-13 -2.4851018512E+04 -1.1511037590E-09 -9.7805142219E-26  1.0512402156E-07  2.8719271664E-10  1.7646564294E+07
  3.8422917660E+07 -1.2701087401E-11 -2.8228098898E+07  1.2800722066E-20 -7.7265450294E+04 -7.9019656450E-14 -4.2649670749E+04  4.8532795649E-09  1.8825330353E-27  6.7589205229E-08  3.1572620821E-10  1.9938948717E+07  3.9541537409E+07  1.6537867567E-10 -2.6620006782E+07  1.2811015826E-20 -7.1966447423E+04  2.8902061085E-13 -3.6402712808E+04 -2.2413195865E-09 -5.0744768131E-26  6.8189294803E-08  3.1463535750E-10  2.0435882514E+07
  4.2675517759E+07  0.0000000000E+00 -3.2202883114E+07  1.2006034124E-20 -1.4086334772E+05 -2.5676388272E-12 -5.8449785912E+04  2.0453946045E-09 -3.9178135860E-26  4.2788044198E-08  3.2047202197E-10  2.1959337229E+07  4.4275383437E+07  1.8517753120E-10 -2.9806909003E+07  1.2036679763E-20 -1.3068741211E+05 -1.4816102174E-12 -5.0703790886E+04 -3.5566879127E-09 -7.3687880840E-27  4.3786866723E-08  3.2623402317E-10  2.2754581471E+07
  4.3514748591E+07  0.0000000000E+00 -4.0823706993E+07  1.1108622367E-20 -2.4171381525E+05 -4.8303388157E-13 -5.3971022504E+04  6.4887201435E-09 -4.3456286156E-26  2.3700894649E-08  2.3114796407E-10  2.1876307103E+07  4.9009229465E+07  2.0497638674E-10 -3.2993811223E+07  1.1206935066E-20 -2.0781465629E+05  1.1944435196E-12 -4.9678445144E+04 -3.4251361114E-09  3.8317354822E-41  2.5598711803E-08  2.5706952143E-10  2.4243490213E+07
  5.4282745307E+07  7.1901283342E-11 -3.4982642708E+07  1.0413633266E-20 -2.7917902721E+05  5.3944622013E-12 -3.4805240188E+04 -2.8578671513E-09  0.0000000000E+00  1.3040641930E-08  1.7154173139E-10  2.5731478658E+07  5.3743075493E+07  2.2477524228E-10 -3.6180713443E+07  1.0365362578E-20 -2.8187345487E+05  4.8991545678E-12 -3.5137571717E+04 -2.0310595301E-09  0.0000000000E+00  1.3243224773E-08  1.6691629463E-10  2.5467884172E+07
  5.7486156872E+07  0.0000000000E+00 -4.1895208875E+07  9.4264033976E-21 -3.5378229199E+05  5.6759508488E-12 -1.9412781838E+04  1.4550533799E-10 -4.1972327745E-26  4.8806066668E-09  7.4192311009E-11  2.5714846758E+07  5.8476921520E+07  2.4457409782E-10 -3.9367615664E+07  9.5774278158E-21 -3.4274824508E+05  6.3353770673E-12 -2.0360385001E+04 -6.3312559957E-10 -6.1401691154E-26  5.1669934218E-09  8.9293789734E-11  2.5552911687E+07
  6.6205402251E+07  0.0000000000E+00 -3.9119242404E+07  9.0130527141E-21 -3.7322708502E+05  3.5618767414E-12 -8.9090544880E+03 -9.8588028394E-11 -3.6546563463E-26  3.8195853060E-10  4.3792622969E-11  2.0913275804E+07  6.3210767548E+07  2.6437295335E-10 -4.2554517884E+07  9.0114587329E-21 -3.7425575720E+05  3.0756844620E-12 -1.1247184210E+04  1.3347914413E-10 -7.6282520103E-26  1.4802180738E-09  4.4007135100E-11  2.2742993453E+07
  1.3588922715E+08  5.6834361778E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  6.7944613576E+07  2.8417180889E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.4535691921E+08  6.0794132886E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  7.2678459604E+07  3.0397066443E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.5482461126E+08  6.4753903993E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  7.7412305632E+07  3.2376951997E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.6429230332E+08  6.8713675101E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  8.2146151660E+07  3.4356837550E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.7375999538E+08  7.2673446208E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  8.6879997688E+07  3.6336723104E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.8322768743E+08  7.6633217316E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  9.1613843715E+07  3.8316608658E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.9269537949E+08  8.0592988423E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  9.6347689743E+07  4.0296494212E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  2.0216307154E+08  8.4552759531E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  1.0108153577E+08  4.2276379765E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  2.1163076360E+08  8.8512530638E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  1.0581538180E+08  4.4256265319E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.6982515346E+07  5.2390949360E+06 -8.3140091712E+06  1.6203920568E-20  8.2036023562E+03 -2.3264269971E+02 -2.7326647936E+01 -3.9613221375E-07 -1.1298982963E-07  1.0083193575E-06  1.8098187028E-10  1.4743762397E+07  1.5331471515E+07  4.9522436090E+06 -1.0321396244E+07  1.6138966647E-20  8.0778175823E+03 -1.6931419086E+02 -2.2790514411E+03  4.2214534061E-09 -3.0873348679E-10  1.1468790293E-06  1.6508612977E-10  1.5633736090E+07
