    4 magnetometers:
 st1 st2 st3 st4
nstep year mo dy hr mn sc msc station X Y Z dBn dBe dBd facdBn facdBe facdBn
    0 2000 03 21 10 45 00 000  1 -2.14826E+06  3.78797E+05  5.99336E+06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    0 2000 03 21 10 45 00 000  2 -2.04985E+06 -2.44292E+06  5.52351E+06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    0 2000 03 21 10 45 00 000  3  1.25120E+06 -3.43765E+06 -5.22455E+06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    0 2000 03 21 10 45 00 000  4  4.59118E+06  3.85246E+06  2.18140E+06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    2 2000 03 21 10 45 10 000  1 -2.14826E+06  3.78797E+05  5.99336E+06  8.01006E-01 -1.56917E-01  3.51474E-01  0.00000E+00  0.00000E+00  0.00000E+00
    2 2000 03 21 10 45 10 000  2 -2.04985E+06 -2.44292E+06  5.52351E+06  4.15471E-01  6.32860E-01  2.98285E-01  0.00000E+00  0.00000E+00  0.00000E+00
    2 2000 03 21 10 45 10 000  3  1.25120E+06 -3.43765E+06 -5.22455E+06 -1.30023E-01 -7.15388E-01  2.50608E-01  0.00000E+00  0.00000E+00  0.00000E+00
    2 2000 03 21 10 45 10 000  4  4.59118E+06  3.85246E+06  2.18140E+06  2.00907E-01 -2.20612E-01 -3.21179E-01  0.00000E+00  0.00000E+00  0.00000E+00
    4 2000 03 21 10 45 20 000  1 -2.14826E+06  3.78797E+05  5.99336E+06  1.43741E+00 -2.78018E-01  5.69346E-01  0.00000E+00  0.00000E+00  0.00000E+00
    4 2000 03 21 10 45 20 000  2 -2.04985E+06 -2.44292E+06  5.52351E+06  7.62488E-01  1.12108E+00  4.79402E-01  0.00000E+00  0.00000E+00  0.00000E+00
    4 2000 03 21 10 45 20 000  3  1.25120E+06 -3.43765E+06 -5.22455E+06 -2.01949E-01 -1.26229E+00  4.86981E-01  0.00000E+00  0.00000E+00  0.00000E+00
    4 2000 03 21 10 45 20 000  4  4.59118E+06  3.85246E+06  2.18140E+06  4.01442E-01 -3.86818E-01 -5.83859E-01  0.00000E+00  0.00000E+00  0.00000E+00
    6 2000 03 21 10 45 30 000  1 -2.14826E+06  3.78797E+05  5.99336E+06  1.93978E+00 -3.70671E-01  6.94137E-01  5.95307E-01  4.06214E-02 -1.95114E-01
    6 2000 03 21 10 45 30 000  2 -2.04985E+06 -2.44292E+06  5.52351E+06  1.05029E+00  1.49452E+00  5.79688E-01  5.08477E-01 -5.47963E-01 -2.15881E-01
    6 2000 03 21 10 45 30 000  3  1.25120E+06 -3.43765E+06 -5.22455E+06 -2.31161E-01 -1.67954E+00  7.05271E-01 -2.73508E-01  7.27549E-01 -1.32477E-01
    6 2000 03 21 10 45 30 000  4  4.59118E+06  3.85246E+06  2.18140E+06  5.98890E-01 -5.12531E-01 -8.00212E-01 -9.86800E-02  1.25392E-01  7.90415E-02
    8 2000 03 21 10 45 40 000  1 -2.14826E+06  3.78797E+05  5.99336E+06  2.33228E+00 -4.40685E-01  7.55738E-01  1.18713E+00  7.77607E-02 -3.87985E-01
    8 2000 03 21 10 45 40 000  2 -2.04985E+06 -2.44292E+06  5.52351E+06  1.28629E+00  1.77668E+00  6.25784E-01  9.70342E-01 -1.17051E+00 -4.15089E-01
    8 2000 03 21 10 45 40 000  3  1.25120E+06 -3.43765E+06 -5.22455E+06 -2.30920E-01 -1.99589E+00  9.01747E-01 -4.79692E-01  1.40665E+00 -2.39706E-01
    8 2000 03 21 10 45 40 000  4  4.59118E+06  3.85246E+06  2.18140E+06  7.87573E-01 -6.07515E-01 -9.78080E-01 -1.90226E-01  2.48220E-01  1.56324E-01
   10 2000 03 21 10 45 50 000  1 -2.14826E+06  3.78797E+05  5.99336E+06  2.63539E+00 -4.92802E-01  7.75104E-01  1.68625E+00  1.03754E-01 -5.50791E-01
   10 2000 03 21 10 45 50 000  2 -2.04985E+06 -2.44292E+06  5.52351E+06  1.47767E+00  1.98670E+00  6.36177E-01  1.32715E+00 -1.73792E+00 -5.72836E-01
   10 2000 03 21 10 45 50 000  3  1.25120E+06 -3.43765E+06 -5.22455E+06 -2.11347E-01 -2.23350E+00  1.07494E+00 -6.32205E-01  1.96408E+00 -3.22482E-01
   10 2000 03 21 10 45 50 000  4  4.59118E+06  3.85246E+06  2.18140E+06  9.63113E-01 -6.78897E-01 -1.12359E+00 -2.65332E-01  3.52186E-01  2.22081E-01
   12 2000 03 21 10 46 00 000  1 -2.14826E+06  3.78797E+05  5.99336E+06  2.86653E+00 -5.30897E-01  7.66856E-01  2.09797E+00  1.21357E-01 -6.85440E-01
   12 2000 03 21 10 46 00 000  2 -2.04985E+06 -2.44292E+06  5.52351E+06  1.63127E+00  2.14021E+00  6.23619E-01  1.60345E+00 -2.21845E+00 -6.97695E-01
   12 2000 03 21 10 46 00 000  3  1.25120E+06 -3.43765E+06 -5.22455E+06 -1.79901E-01 -2.40970E+00  1.22513E+00 -7.54923E-01  2.41074E+00 -3.90250E-01
   12 2000 03 21 10 46 00 000  4  4.59118E+06  3.85246E+06  2.18140E+06  1.12287E+00 -7.32026E-01 -1.24189E+00 -3.26309E-01  4.37479E-01  2.76789E-01
