Volume averages, fluxes, etc
it t rho p pmin pmax Hpflx_R=3.0 Opflx_R=3.0 O2pflx_R=3.0 CO2pflx_R=3.0
      1  0.00000E+00  4.17773E+02  1.98124E-02  1.87205E-02  6.73386E+01 -3.12173E+21 -1.95108E+10 -9.75540E+09 -7.09484E+09
      2  0.00000E+00  4.17672E+02  1.98166E-02  1.89706E-02  6.72912E+01 -5.72712E+21 -3.57945E+10 -1.78970E+10 -1.30160E+10
      3  0.00000E+00  4.17580E+02  1.98210E-02  1.88808E-02  6.72454E+01 -7.53312E+21 -4.70820E+10 -2.35417E+10 -1.71217E+10
      4  0.00000E+00  4.17506E+02  1.98243E-02  1.88269E-02  6.72009E+01 -1.44757E+22 -9.04728E+10 -4.52409E+10 -3.29056E+10
      5  0.00000E+00  4.17499E+02  1.98275E-02  1.87971E-02  6.71574E+01 -4.27390E+22 -2.66535E+11 -3.36230E+11 -9.71733E+10
      6  0.00000E+00  4.17795E+02  1.98323E-02  1.87833E-02  6.71148E+01 -1.19586E+23  3.26800E+11  2.28343E+16  4.02118E+12
      7  0.00000E+00  4.19241E+02  1.98418E-02  1.87714E-02  6.70730E+01 -2.76673E+23  5.02037E+13  3.58203E+17  2.59159E+14
      8  0.00000E+00  4.23120E+02  1.98537E-02  1.87657E-02  6.70318E+01 -5.38782E+23  5.95259E+14  2.64917E+18  3.96220E+15
      9  0.00000E+00  4.32833E+02  1.98679E-02  1.87616E-02  6.69913E+01 -9.10552E+23  3.81982E+15  1.31916E+19  3.32106E+16
     10  0.00000E+00  4.38572E+02  1.98784E-02  1.70600E-02  6.69513E+01 -1.38767E+24  1.70856E+16  5.07910E+19  1.88255E+17
     11  0.00000E+00  4.43282E+02  1.98881E-02  1.41425E-02  6.69118E+01 -1.96108E+24  5.98984E+16  1.62029E+20  8.03165E+17
     12  0.00000E+00  4.47278E+02  1.98969E-02  1.09591E-02  6.68728E+01 -2.62701E+24  1.75789E+17  4.45783E+20  2.75818E+18
     13  0.00000E+00  4.50741E+02  1.99057E-02  8.03871E-03  6.68341E+01 -3.38867E+24  4.48494E+17  1.08560E+21  7.97737E+18
     14  0.00000E+00  4.53979E+02  1.99146E-02  6.28053E-03  6.67958E+01 -4.25540E+24  1.01816E+18  2.38694E+21  2.00750E+19
     15  0.00000E+00  4.56811E+02  1.99232E-02  5.13619E-03  6.67578E+01 -5.27516E+24  2.09655E+18  4.81066E+21  4.50874E+19
     16  0.00000E+00  4.59429E+02  1.99320E-02  4.34985E-03  6.67201E+01 -6.50213E+24  3.97480E+18  8.98750E+21  9.20154E+19
     17  0.00000E+00  4.61895E+02  1.99406E-02  3.90552E-03  6.66825E+01 -7.99934E+24  7.05582E+18  1.57068E+22  1.73254E+20
     18  0.00000E+00  4.64088E+02  1.99493E-02  3.62412E-03  6.66452E+01 -9.76866E+24  1.18014E+19  2.59041E+22  3.05048E+20
     19  0.00000E+00  4.66180E+02  1.99585E-02  3.41844E-03  6.66081E+01 -1.17222E+25  1.78599E+19  4.06867E+22  5.08447E+20
     20  0.00000E+00  4.68082E+02  1.99677E-02  3.24726E-03  6.65711E+01 -1.36965E+25  2.40787E+19  6.11864E+22  8.12597E+20
     21  0.00000E+00  4.69754E+02  1.99772E-02  3.09130E-03  6.65343E+01 -1.54588E+25  2.98250E+19  8.81565E+22  1.25566E+21
     22  0.00000E+00  4.71334E+02  1.99875E-02  2.97527E-03  6.64977E+01 -1.69934E+25  3.49815E+19  1.18415E+23  1.86551E+21
     23  0.00000E+00  4.72719E+02  1.99979E-02  2.90659E-03  6.64611E+01 -1.88285E+25  3.91322E+19  1.49054E+23  2.64383E+21
     24  0.00000E+00  4.73991E+02  2.00090E-02  2.88156E-03  6.64247E+01 -2.07847E+25  4.21722E+19  1.79690E+23  3.61447E+21
     25  0.00000E+00  4.75104E+02  2.00205E-02  2.91885E-03  6.63884E+01 -2.28746E+25  4.41883E+19  2.09287E+23  4.83763E+21
     26  0.00000E+00  4.76095E+02  2.00325E-02  3.02346E-03  6.63522E+01 -2.55700E+25  4.54110E+19  2.38646E+23  6.40881E+21
     27  0.00000E+00  4.76959E+02  2.00450E-02  3.16504E-03  6.63160E+01 -2.91132E+25  4.58638E+19  2.68041E+23  8.40051E+21
     28  0.00000E+00  4.77718E+02  2.00581E-02  3.28700E-03  6.62800E+01 -3.32388E+25  4.56186E+19  2.97681E+23  1.08600E+22
     29  0.00000E+00  4.78343E+02  2.00722E-02  3.01457E-03  6.62440E+01 -3.80152E+25  4.48813E+19  3.27871E+23  1.38391E+22
     30  0.00000E+00  4.78896E+02  2.00875E-02  2.59771E-03  6.62081E+01 -4.30829E+25  4.37552E+19  3.58845E+23  1.73743E+22
     31  0.00000E+00  4.79353E+02  2.01041E-02  1.88701E-03  6.61722E+01 -4.83916E+25  4.25695E+19  3.91529E+23  2.14833E+22
     32  0.00000E+00  4.79726E+02  2.01213E-02  1.17564E-03  6.61365E+01 -5.41996E+25  4.15605E+19  4.26286E+23  2.61580E+22
