Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz E HpRho HpMx HpMy HpMz HpE O2pRho O2pMx O2pMy O2pMz O2pE OpRho OpMx OpMy OpMz OpE CO2pRho CO2pMx CO2pMy CO2pMz CO2pE Pmin Pmax
      1  0.00000E+00  0.00000E+00  3.31929E+00 -8.40189E-17 -1.27970E-20 -3.02479E-21 -5.77280E-02  1.05846E-01  4.11912E-02  3.13659E-11  2.75573E+00 -8.40183E-17 -1.27970E-20 -3.02479E-21  1.68192E-11  2.13549E-01 -1.06644E-22  2.07041E-30 -8.42335E-30  3.23744E-16  1.55962E-03  4.73115E-24  4.06376E-30 -1.62705E-29  4.75793E-17  3.48454E-01 -5.17763E-22  1.51284E-30 -6.18260E-30  3.43702E-16  9.50614E-03  2.40260E-02
      2  0.00000E+00  0.00000E+00  3.45595E+00 -1.47991E-16 -3.60084E-20 -8.18757E-21 -1.01991E-01  1.86529E-01  7.25761E-02  3.60878E-11  2.79945E+00 -1.47988E-16 -3.60084E-20 -8.18757E-21  2.10516E-11  3.39527E-01 -5.36507E-22  7.14210E-30 -2.83396E-29  3.11269E-16  1.47623E-03  2.74082E-25  1.41487E-29 -5.46400E-29  4.81673E-17  3.15501E-01 -1.73865E-21  5.19299E-30 -2.08023E-29  3.10799E-16  9.50621E-03  2.71172E-02
      3  0.00000E+00  0.00000E+00  3.59896E+00 -2.06833E-16 -6.86562E-20 -1.53333E-20 -1.42332E-01  2.60578E-01  1.01398E-01  4.17610E-11  2.84043E+00 -2.06829E-16 -6.86562E-20 -1.53333E-20  2.62228E-11  4.68102E-01 -1.14606E-21  1.74288E-29 -6.68792E-29  3.03171E-16  1.40411E-03 -1.40687E-24  3.48731E-29 -1.28570E-28  4.85669E-17  2.89026E-01 -2.52226E-21  1.26542E-29 -4.91249E-29  2.84318E-16  9.50657E-03  2.97382E-02
      4  0.00000E+00  0.00000E+00  3.74202E+00 -2.61907E-16 -1.09540E-19 -2.42554E-20 -1.79539E-01  3.29594E-01  1.28284E-01  4.80040E-11  2.87930E+00 -2.61902E-16 -1.09540E-19 -2.42554E-20  3.19357E-11  5.95196E-01 -1.87377E-21  3.45974E-29 -1.28996E-28  2.97167E-16  1.33953E-03 -2.01916E-24  6.98173E-29 -2.46980E-28  4.88861E-17  2.66177E-01 -3.08454E-21  2.50689E-29 -9.48216E-29  2.61451E-16  9.50823E-03  3.20274E-02
      5  0.00000E+00  0.00000E+00  3.88365E+00 -3.13890E-16 -1.57905E-19 -3.47982E-20 -2.14180E-01  3.94371E-01  1.53551E-01  5.45865E-11  2.91585E+00 -3.13884E-16 -1.57905E-19 -3.47982E-20  3.79665E-11  7.20054E-01 -2.70964E-21  5.99855E-29 -2.18668E-28  2.92336E-16  1.28308E-03 -2.14194E-24  1.22081E-28 -4.16446E-28  4.91598E-17  2.46461E-01 -3.50503E-21  4.33159E-29 -1.60902E-28  2.41731E-16  9.51584E-03  3.40520E-02
      6  0.00000E+00  0.00000E+00  4.01959E+00 -3.63154E-16 -2.13013E-19 -4.68812E-20 -2.46709E-01  4.55286E-01  1.77385E-01  6.12921E-11  2.94963E+00 -3.63147E-16 -2.13013E-19 -4.68812E-20  4.41766E-11  8.39969E-01 -3.61930E-21  9.47017E-29 -3.38912E-28  2.88569E-16  1.23139E-03 -1.72601E-24  1.94145E-28 -6.41040E-28  4.93891E-17  2.28760E-01 -3.81246E-21  6.81806E-29 -2.49690E-28  2.24018E-16  9.55084E-03  3.58571E-02
      7  0.00000E+00  0.00000E+00  4.14953E+00 -4.09983E-16 -2.74357E-19 -6.04091E-20 -2.77338E-01  5.12761E-01  1.99943E-01  6.80688E-11  2.98096E+00 -4.09975E-16 -2.74357E-19 -6.04090E-20  5.04793E-11  9.54645E-01 -4.58494E-21  1.39609E-28 -4.91945E-28  2.85705E-16  1.18432E-03 -9.42499E-25  2.87917E-28 -9.22649E-28  4.95860E-17  2.12732E-01 -4.03271E-21  1.00217E-28 -3.62964E-28  2.07970E-16  9.78504E-03  3.74761E-02
      8  0.00000E+00  0.00000E+00  4.27354E+00 -4.54598E-16 -3.41446E-19 -7.53018E-20 -3.06239E-01  5.67132E-01  2.21348E-01  7.49037E-11  3.01012E+00 -4.54588E-16 -3.41446E-19 -7.53018E-20  5.68165E-11  1.06414E+00 -5.59182E-21  1.95403E-28 -6.79322E-28  2.83682E-16  1.14342E-03  2.08156E-25  4.04741E-28 -1.26103E-27  4.97700E-17  1.98138E-01 -4.18433E-21  1.39886E-28 -5.02088E-28  1.93349E-16  1.07768E-02  3.95049E-02
      9  0.00000E+00  0.00000E+00  4.39207E+00 -4.97173E-16 -4.13873E-19 -9.14714E-20 -3.33559E-01  6.18670E-01  2.41696E-01  8.16938E-11  3.03730E+00 -4.97162E-16 -4.13873E-19 -9.14714E-20  6.31472E-11  1.16885E+00 -6.62692E-21  2.62599E-28 -9.01947E-28  2.82560E-16  1.10931E-03  1.66991E-24  5.45311E-28 -1.65383E-27  4.99518E-17  1.84806E-01 -4.28131E-21  1.87510E-28 -6.68004E-28  1.79986E-16  1.21953E-02  4.15475E-02
     10  0.00000E+00  0.00000E+00  4.50651E+00 -5.37855E-16 -4.91249E-19 -1.08859E-19 -3.59429E-01  6.67603E-01  2.61072E-01  8.83976E-11  3.06270E+00 -5.37843E-16 -4.91249E-19 -1.08859E-19  6.94421E-11  1.27010E+00 -7.67150E-21  3.41558E-28 -1.16017E-27  2.82810E-16  1.07827E-03  3.13939E-24  7.10561E-28 -2.09875E-27  5.01164E-17  1.72639E-01 -4.33541E-21  2.43341E-28 -8.61310E-28  1.67786E-16  1.34841E-02  4.34738E-02
     11  0.00000E+00  0.00000E+00  4.61836E+00 -5.76775E-16 -5.73284E-19 -1.27375E-19 -3.83958E-01  7.14128E-01  2.79544E-01  9.50256E-11  3.08647E+00 -5.76762E-16 -5.73284E-19 -1.27375E-19  7.56798E-11  1.36911E+00 -8.73650E-21  4.32639E-28 -1.45402E-27  2.83874E-16  1.05150E-03  4.46448E-24  8.99340E-28 -2.58752E-27  5.02562E-17  1.61735E-01 -4.36062E-21  3.07606E-28 -1.08242E-27  1.56833E-16  1.32208E-02  4.52814E-02
     12  0.00000E+00  0.00000E+00  4.72585E+00 -6.14051E-16 -6.59566E-19 -1.46921E-19 -4.07249E-01  7.58421E-01  2.97178E-01  1.01565E-10  3.10878E+00 -6.14037E-16 -6.59566E-19 -1.46921E-19  8.18441E-11  1.46424E+00 -9.81688E-21  5.36096E-28 -1.78314E-27  2.85393E-16  1.02785E-03  5.89151E-24  1.10718E-27 -3.10133E-27  5.03730E-17  1.51793E-01 -4.35941E-21  3.80510E-28 -1.33159E-27  1.46841E-16  1.29888E-02  4.69682E-02
     13  0.00000E+00  0.00000E+00  4.82912E+00 -6.49786E-16 -7.49877E-19 -1.67456E-19 -4.29393E-01  8.00635E-01  3.14030E-01  1.08006E-10  3.12977E+00 -6.49771E-16 -7.49877E-19 -1.67456E-19  8.79231E-11  1.55569E+00 -1.08987E-20  6.52222E-28 -2.14699E-27  2.87326E-16  1.00658E-03  7.37937E-24  1.32314E-27 -3.60148E-27  5.04691E-17  1.42653E-01 -4.33613E-21  4.62306E-28 -1.60897E-27  1.37649E-16  1.27859E-02  4.85341E-02
     14  0.00000E+00  0.00000E+00  4.93061E+00 -6.84063E-16 -8.43895E-19 -1.88850E-19 -4.50482E-01  8.40889E-01  3.30140E-01  1.14334E-10  3.14933E+00 -6.84047E-16 -8.43895E-19 -1.88850E-19  9.39040E-11  1.64583E+00 -1.19935E-20  7.81258E-28 -2.54465E-27  2.89862E-16  9.88799E-04  8.55801E-24  1.52424E-27 -4.01302E-27  5.05527E-17  1.34463E-01 -4.30053E-21  5.53231E-28 -1.91451E-27  1.29398E-16  1.26105E-02  4.99801E-02
     15  0.00000E+00  0.00000E+00  5.04207E+00 -7.16956E-16 -9.41429E-19 -2.10992E-19 -4.70579E-01  8.79293E-01  3.45549E-01  1.20540E-10  3.16753E+00 -7.16939E-16 -9.41429E-19 -2.10992E-19  9.97775E-11  1.74556E+00 -1.31821E-20  9.23307E-28 -2.97476E-27  2.94608E-16  9.79356E-04  8.69538E-24  1.67013E-27 -4.20611E-27  5.05545E-17  1.28000E-01 -4.28002E-21  6.53487E-28 -2.24792E-27  1.22833E-16  1.24619E-02  5.13081E-02
     16  0.00000E+00  0.00000E+00  5.20968E+00 -7.48554E-16 -1.04236E-18 -2.33924E-19 -4.89744E-01  9.15970E-01  3.60301E-01  1.26621E-10  3.18450E+00 -7.48534E-16 -1.04236E-18 -2.33924E-19  1.05539E-10  1.89837E+00 -1.49017E-20  1.07854E-27 -3.43628E-27  3.07103E-16  9.93910E-04  8.16975E-24  1.69495E-27 -3.96929E-27  5.00690E-17  1.25818E-01 -4.37009E-21  7.63311E-28 -2.60919E-27  1.20346E-16  1.23395E-02  5.25208E-02
     17  0.00000E+00  0.00000E+00  5.37612E+00 -7.78929E-16 -1.14622E-18 -2.57551E-19 -5.08030E-01  9.51035E-01  3.74438E-01  1.32575E-10  3.20033E+00 -7.78907E-16 -1.14622E-18 -2.57551E-19  1.11186E-10  2.05090E+00 -1.67881E-20  1.24697E-27 -3.92736E-27  3.19750E-16  1.00927E-03  7.79115E-24  1.49614E-27 -2.97459E-27  4.95993E-17  1.23877E-01 -4.45610E-21  8.82920E-28 -2.99784E-27  1.18096E-16  1.22430E-02  5.36206E-02
     18  0.00000E+00  0.00000E+00  5.54117E+00 -8.08148E-16 -1.25297E-18 -2.81775E-19 -5.25487E-01  9.84587E-01  3.87998E-01  1.38403E-10  3.21513E+00 -8.08125E-16 -1.25297E-18 -2.81775E-19  1.16719E-10  2.20289E+00 -1.88425E-20  1.42837E-27 -4.44555E-27  3.32498E-16  1.02548E-03  7.88004E-24  9.23253E-28 -7.41881E-28  4.91815E-17  1.22132E-01 -4.53857E-21  1.01235E-27 -3.41295E-27  1.16041E-16  1.21733E-02  5.46095E-02
     19  0.00000E+00  0.00000E+00  5.70475E+00 -8.36274E-16 -1.36229E-18 -3.06566E-19 -5.42171E-01  1.01672E+00  4.01016E-01  1.44104E-10  3.22893E+00 -8.36249E-16 -1.36229E-18 -3.06566E-19  1.22135E-10  2.35422E+00 -2.10651E-20  1.62254E-27 -4.98861E-27  3.45322E-16  1.04314E-03  9.68102E-24 -2.33112E-28  3.40726E-27  4.89122E-17  1.20555E-01 -4.61800E-21  1.15172E-27 -3.85384E-27  1.14153E-16  1.21311E-02  5.54923E-02
