Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Pe E Pmin Pmax
      0  0.00000E+00  0.00000E+000  1.20885E+006 -2.67600E-014 -2.37108E-035 -4.42297E-034 -1.52078E+001  8.39876E+000 -8.50874E+000  4.80484E-002  5.57300E-009  1.00000E-002  4.80484E-002
      1  0.00000E+00  0.00000E+000  1.20885E+006 -2.67596E-014 -4.03738E-023  7.79483E-021 -1.52076E+001  8.39868E+000 -8.50910E+000  4.80478E-002  5.57291E-009  1.00000E-002  4.89825E-002
      2  0.00000E+00  0.00000E+000  1.20885E+006 -2.67596E-014  1.65239E-023  2.46414E-020 -1.52075E+001  8.39862E+000 -8.50938E+000  4.80475E-002  5.57293E-009  1.00000E-002  4.99699E-002
      3  0.00000E+00  0.00000E+000  1.20885E+006 -2.67596E-014  2.43387E-022  4.63686E-020 -1.52074E+001  8.39856E+000 -8.50961E+000  4.80474E-002  5.57296E-009  1.00000E-002  5.08754E-002
      4  0.00000E+00  0.00000E+000  1.20885E+006 -2.67595E-014  6.77363E-022  7.09300E-020 -1.52073E+001  8.39852E+000 -8.50980E+000  4.80474E-002  5.57300E-009  1.00000E-002  5.17042E-002
      5  0.00000E+00  0.00000E+000  1.20885E+006 -2.67595E-014  1.33604E-021  9.78866E-020 -1.52071E+001  8.39849E+000 -8.50997E+000  4.80475E-002  5.57304E-009  1.00000E-002  5.24877E-002
      6  0.00000E+00  0.00000E+000  1.20885E+006 -2.67594E-014  2.24121E-021  1.26962E-019 -1.52070E+001  8.39846E+000 -8.51012E+000  4.80475E-002  5.57309E-009  1.00000E-002  5.32407E-002
      7  0.00000E+00  0.00000E+000  1.20885E+006 -2.67593E-014  3.36393E-021  1.57608E-019 -1.52068E+001  8.39843E+000 -8.51025E+000  4.80476E-002  5.57315E-009  1.00000E-002  5.54126E-002
      8  0.00000E+00  0.00000E+000  1.20885E+006 -2.67592E-014  4.64233E-021  1.89205E-019 -1.52067E+001  8.39841E+000 -8.51035E+000  4.80477E-002  5.57321E-009  1.00000E-002  5.89471E-002
      9  0.00000E+00  0.00000E+000  1.20885E+006 -2.67591E-014  6.01935E-021  2.21299E-019 -1.52065E+001  8.39838E+000 -8.51043E+000  4.80478E-002  5.57328E-009  1.00000E-002  6.33191E-002
     10  0.00000E+00  0.00000E+000  1.20885E+006 -2.67589E-014  7.43040E-021  2.53545E-019 -1.52063E+001  8.39835E+000 -8.51049E+000  4.80478E-002  5.57335E-009  1.00000E-002  6.85479E-002
     11  0.00000E+00  0.00000E+000  1.20885E+006 -2.67587E-014  8.88397E-021  2.85763E-019 -1.52061E+001  8.39832E+000 -8.51053E+000  4.80479E-002  5.57342E-009  1.00000E-002  7.46201E-002
     12  0.00000E+00  0.00000E+000  1.20885E+006 -2.67585E-014  1.03443E-020  3.17802E-019 -1.52059E+001  8.39828E+000 -8.51054E+000  4.80479E-002  5.57350E-009  1.00000E-002  8.16227E-002
     13  0.00000E+00  0.00000E+000  1.20885E+006 -2.67583E-014  1.17690E-020  3.49588E-019 -1.52057E+001  8.39824E+000 -8.51054E+000  4.80479E-002  5.57358E-009  1.00000E-002  8.98916E-002
     14  0.00000E+00  0.00000E+000  1.20885E+006 -2.67580E-014  1.31175E-020  3.81003E-019 -1.52054E+001  8.39818E+000 -8.51052E+000  4.80479E-002  5.57365E-009  1.00000E-002  1.00976E-001
     15  0.00000E+00  0.00000E+000  1.20885E+006 -2.67577E-014  1.43151E-020  4.11909E-019 -1.52052E+001  8.39812E+000 -8.51048E+000  4.80480E-002  5.57373E-009  1.00000E-002  1.15236E-001
     16  0.00000E+00  0.00000E+000  1.20885E+006 -2.67574E-014  1.53114E-020  4.42197E-019 -1.52049E+001  8.39805E+000 -8.51043E+000  4.80479E-002  5.57380E-009  1.00000E-002  1.33391E-001
     17  0.00000E+00  0.00000E+000  1.20885E+006 -2.67570E-014  1.61033E-020  4.71799E-019 -1.52046E+001  8.39796E+000 -8.51036E+000  4.80479E-002  5.57387E-009  1.00000E-002  1.56267E-001
     18  0.00000E+00  0.00000E+000  1.20885E+006 -2.67566E-014  1.66931E-020  5.00680E-019 -1.52043E+001  8.39787E+000 -8.51029E+000  4.80479E-002  5.57393E-009  1.00000E-002  1.84295E-001
     19  0.00000E+00  0.00000E+000  1.20885E+006 -2.67561E-014  1.70713E-020  5.28762E-019 -1.52040E+001  8.39776E+000 -8.51020E+000  4.80478E-002  5.57399E-009  1.00000E-002  2.17786E-001
     20  0.00000E+00  0.00000E+000  1.20885E+006 -2.67557E-014  1.72515E-020  5.55967E-019 -1.52036E+001  8.39764E+000 -8.51011E+000  4.80478E-002  5.57404E-009  1.00000E-002  2.56244E-001
     21  0.00000E+00  0.00000E+000  1.20885E+006 -2.67551E-014  1.72036E-020  5.82236E-019 -1.52032E+001  8.39750E+000 -8.51002E+000  4.80477E-002  5.57408E-009  1.00000E-002  2.99100E-001
     22  0.00000E+00  0.00000E+000  1.20885E+006 -2.67546E-014  1.68782E-020  6.07485E-019 -1.52028E+001  8.39735E+000 -8.50992E+000  4.80476E-002  5.57412E-009  1.00000E-002  3.45726E-001
     23  0.00000E+00  0.00000E+000  1.20885E+006 -2.67539E-014  1.61986E-020  6.31634E-019 -1.52023E+001  8.39719E+000 -8.50981E+000  4.80474E-002  5.57414E-009  1.00000E-002  3.94930E-001
     24  0.00000E+00  0.00000E+000  1.20885E+006 -2.67533E-014  1.51225E-020  6.54641E-019 -1.52019E+001  8.39701E+000 -8.50971E+000  4.80473E-002  5.57415E-009  1.00000E-002  4.45326E-001
     25  0.00000E+00  0.00000E+000  1.20885E+006 -2.67526E-014  1.36817E-020  6.76477E-019 -1.52013E+001  8.39681E+000 -8.50961E+000  4.80471E-002  5.57414E-009  1.00000E-002  5.00487E-001
     26  0.00000E+00  0.00000E+000  1.20885E+006 -2.67518E-014  1.19816E-020  6.97054E-019 -1.52008E+001  8.39660E+000 -8.50951E+000  4.80468E-002  5.57412E-009  1.00000E-002  5.57412E-001
     27  0.00000E+00  0.00000E+000  1.20885E+006 -2.67510E-014  1.00943E-020  7.16273E-019 -1.52002E+001  8.39637E+000 -8.50942E+000  4.80466E-002  5.57408E-009  1.00000E-002  6.12670E-001
     28  0.00000E+00  0.00000E+000  1.20885E+006 -2.67501E-014  8.08916E-021  7.34024E-019 -1.51996E+001  8.39612E+000 -8.50933E+000  4.80463E-002  5.57403E-009  1.00000E-002  6.67022E-001
     29  0.00000E+00  0.00000E+000  1.20885E+006 -2.67491E-014  5.98828E-021  7.50155E-019 -1.51989E+001  8.39586E+000 -8.50926E+000  4.80460E-002  5.57395E-009  1.00000E-002  7.35763E-001
     30  0.00000E+00  0.00000E+000  1.20885E+006 -2.67481E-014  3.82423E-021  7.64480E-019 -1.51982E+001  8.39557E+000 -8.50920E+000  4.80456E-002  5.57386E-009  1.00000E-002  8.04884E-001
     31  0.00000E+00  0.00000E+000  1.20885E+006 -2.67471E-014  1.65357E-021  7.76967E-019 -1.51975E+001  8.39527E+000 -8.50915E+000  4.80452E-002  5.57374E-009  1.00000E-002  8.72185E-001
     32  0.00000E+00  0.00000E+000  1.20885E+006 -2.67459E-014 -5.02611E-022  7.87515E-019 -1.51967E+001  8.39495E+000 -8.50913E+000  4.80448E-002  5.57359E-009  1.00000E-002  9.36614E-001
     33  0.00000E+00  0.00000E+000  1.20885E+006 -2.67447E-014 -2.63573E-021  7.96025E-019 -1.51959E+001  8.39460E+000 -8.50912E+000  4.80443E-002  5.57343E-009  1.00000E-002  1.00937E+000
     34  0.00000E+00  0.00000E+000  1.20885E+006 -2.67434E-014 -4.65800E-021  8.02461E-019 -1.51950E+001  8.39424E+000 -8.50914E+000  4.80438E-002  5.57323E-009  1.00000E-002  1.07942E+000
