Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz E OpRho OpMx OpMy OpMz OpE Pmin Pmax
      1  0.00000E+00  0.00000E+00  9.00000E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.18122E+01  1.08420E-18  0.00000E+00  8.07127E+01  1.00000E-01  0.00000E+00  0.00000E+00  0.00000E+00  8.96807E+00  5.38084E+01  5.38084E+01
      2  1.14113E-02  1.14113E-02  9.00000E-01 -8.47033E-22  1.71734E-04 -7.17350E-10  2.18122E+01  2.08167E-17  0.00000E+00  8.07146E+01  1.00000E-01  6.61744E-24  1.19220E-06  6.08888E-10  8.96807E+00  5.37966E+01  5.38207E+01
      3  2.27837E-02  1.13724E-02  9.00000E-01 -7.24915E-16  3.00273E-04 -2.57568E-09  2.18122E+01  1.19425E-16 -5.94855E-19  8.07196E+01  1.00000E-01 -3.96413E-18  2.08407E-06  2.27429E-09  8.96808E+00  5.37863E+01  5.38522E+01
      4  3.40974E-02  1.13137E-02  9.00001E-01 -6.70394E-16  4.02626E-04 -5.27056E-09  2.18122E+01 -2.47740E-17 -4.07463E-19  8.07266E+01  1.00000E-01  2.79283E-19  2.79393E-06  4.73802E-09  8.96808E+00  5.37862E+01  5.38943E+01
      5  4.53641E-02  1.12666E-02  9.00001E-01 -6.67699E-16  4.88581E-04 -8.78019E-09  2.18122E+01 -2.43945E-17  6.70347E-20  8.07350E+01  1.00000E-01  2.36865E-19  3.38994E-06  7.84453E-09  8.96808E+00  5.37746E+01  5.39389E+01
      6  5.65927E-02  1.12286E-02  9.00002E-01 -8.52915E-16  5.58724E-04 -1.36786E-08  2.18122E+01  4.84909E-17 -3.83263E-19  8.07443E+01  1.00000E-01  1.89821E-18  3.87635E-06  1.14745E-08  8.96809E+00  5.37513E+01  5.39855E+01
      7  6.77896E-02  1.11969E-02  9.00003E-01 -9.30723E-16  6.18571E-04 -1.82801E-08  2.18122E+01 -3.55347E-17 -1.21179E-19  8.07540E+01  1.00000E-01  7.64672E-19  4.29154E-06  1.55474E-08  8.96809E+00  5.37308E+01  5.40352E+01
      8  7.89612E-02  1.11716E-02  9.00003E-01 -1.21731E-15  6.71466E-04 -2.33891E-08  2.18123E+01  5.59448E-17  2.23273E-20  8.07638E+01  1.00000E-01  4.01017E-20  4.65875E-06  1.99979E-08  8.96810E+00  5.37174E+01  5.40867E+01
      9  9.01132E-02  1.11519E-02  9.00004E-01 -1.20157E-15  7.18270E-04 -2.86067E-08  2.18123E+01 -2.70237E-17  6.28528E-19  8.07737E+01  1.00000E-01 -9.22472E-21  4.98392E-06  2.47839E-08  8.96810E+00  5.37153E+01  5.41372E+01
     10  1.01251E-01  1.11374E-02  9.00005E-01 -1.19076E-15  7.57552E-04 -3.38893E-08  2.18123E+01  2.05592E-17  1.15776E-18  8.07834E+01  1.00000E-01 -1.54334E-18  5.25717E-06  2.98612E-08  8.96811E+00  5.36917E+01  5.41831E+01
     11  1.12378E-01  1.11272E-02  9.00006E-01 -1.23016E-15  7.89140E-04 -3.94472E-08  2.18123E+01  1.43291E-16  1.61683E-18  8.07930E+01  1.00000E-01 -1.25628E-18  5.47738E-06  3.51764E-08  8.96811E+00  5.36633E+01  5.42232E+01
