Magnetic field data at 1 AU based OMNI data from Jan 19 1985 to Mar 27 2022. B [nT]
0 1985.05 1 0 1
1008
Time B
0.00 6.9
2333095.89 6.1
4666191.78 5.9
6999287.67 6.1
9332383.56 5.6
11665479.45 5.5
13998575.34 5.9
16331671.23 5.9
18664767.12 5.6
20997863.01 6.0
23330958.90 6.4
25664054.79 5.5
27997150.68 5.8
30330246.58 5.2
32663342.47 7.5
34996438.36 6.0
37329534.25 5.6
39662630.14 5.7
41995726.03 5.3
44328821.92 5.0
46661917.81 5.2
48995013.70 5.4
51328109.59 5.7
53661205.48 5.7
55994301.37 7.3
58327397.26 5.8
60660493.15 5.2
62993589.04 5.8
65326684.93 5.4
67659780.82 6.3
69992876.71 5.3
72325972.60 5.0
74659068.49 6.2
76992164.38 5.6
79325260.27 6.3
81658356.16 7.9
83991452.05 7.9
86324547.95 6.4
88657643.84 6.9
90990739.73 7.0
93323835.62 8.2
95656931.51 7.7
97990027.40 6.9
100323123.29 7.2
102656219.18 8.1
104989315.07 6.7
107322410.96 7.9
109655506.85 7.4
111988602.74 6.9
114321698.63 6.6
116654794.52 7.4
118987890.41 7.1
121320986.30 7.0
123654082.19 8.0
125900767.12 6.1
128233863.01 8.2
130566958.90 10.3
132900054.79 9.2
135233150.68 7.3
137566246.58 7.8
139899342.47 6.1
142232438.36 6.6
144565534.25 8.7
146898630.14 9.0
149231726.03 9.4
151564821.92 11.9
153897917.81 9.0
156231013.70 8.1
158564109.59 9.2
160897205.48 7.9
163230301.37 8.2
165563397.26 7.2
167896493.15 8.6
170229589.04 6.7
172562684.93 6.6
174895780.82 7.5
177228876.71 6.4
179561972.60 6.7
181895068.49 6.8
184228164.38 6.7
186561260.27 7.5
188894356.16 6.5
191227452.05 8.0
193560547.95 8.9
195893643.84 8.6
198226739.73 8.3
200559835.62 11.7
202892931.51 8.6
205226027.40 9.6
207559123.29 10.7
209892219.18 9.7
212225315.07 11.3
214558410.96 9.9
216891506.85 9.7
219224602.74 9.9
221557698.63 10.6
223890794.52 9.7
226223890.41 7.8
228556986.30 10.2
230890082.19 8.0
233223178.08 7.3
235556273.97 6.5
237889369.86 6.7
240222465.75 7.3
242555561.64 8.0
244888657.53 7.9
247221753.42 7.7
249554849.32 8.4
251801534.25 6.4
254134630.14 6.8
256467726.03 7.2
258800821.92 5.9
261133917.81 6.9
263467013.70 7.2
265800109.59 6.5
268133205.48 6.3
270466301.37 6.6
272799397.26 6.9
275132493.15 5.6
277465589.04 6.2
279798684.93 6.8
282131780.82 7.2
284464876.71 7.9
286797972.60 7.4
289131068.49 6.2
291464164.38 6.5
293797260.27 5.8
296130356.16 5.7
298463452.05 5.1
300796547.95 6.0
303129643.84 5.9
305462739.73 5.9
307795835.62 6.9
310128931.51 6.4
312462027.40 5.8
314795123.29 6.0
317128219.18 6.6
319461315.07 5.9
321794410.96 5.9
324127506.85 6.0
326460602.74 5.7
328793698.63 5.4
331126794.52 5.4
333459890.41 5.1
335792986.30 5.6
338126082.19 6.4
340459178.08 4.8
342792273.97 5.6
345125369.86 5.0
347458465.75 5.2
349791561.64 5.1
352124657.53 5.0
354457753.42 4.3
356790849.32 5.3
359123945.21 5.0
361457041.10 5.1
363790136.99 5.1
366123232.88 5.3
368456328.77 5.4
370789424.66 5.2
373122520.55 5.4
375455616.44 5.3
377702301.37 5.6
380035397.26 5.3
382368493.15 4.6
384701589.04 5.7
387034684.93 4.9
389367780.82 5.3
391700876.71 5.4
394033972.60 5.0
396367068.49 5.0
398700164.38 6.3
401033260.27 5.9
403366356.16 6.8
405699452.05 5.8
408032547.95 6.8
410365643.84 6.6
412698739.73 6.2
415031835.62 6.8
417364931.51 7.5
419698027.40 6.5
422031123.29 7.0
424364219.18 5.9
426697315.07 7.5
429030410.96 6.4
431363506.85 7.2
433696602.74 8.1
436029698.63 6.8
438362794.52 7.3
440695890.41 7.2
443028986.30 7.7
445362082.19 7.1
447695178.08 6.6
450028273.97 5.8
452361369.86 5.7
454694465.75 5.9
457027561.64 6.7
459360657.53 7.0
461693753.42 7.3
464026849.32 7.3
466359945.21 7.4
468693041.10 7.4
471026136.99 6.6
473359232.88 7.5
475692328.77 7.0
478025424.66 7.0
480358520.55 6.9
482691616.44 7.0
485024712.33 7.3
487357808.22 8.6
489690904.11 7.6
492024000.00 7.4
494357095.89 7.2
496690191.78 7.7
499023287.67 6.8
501356383.56 6.0
503603068.49 6.0
505936164.38 5.5
508269260.27 7.1
510602356.16 8.2
512935452.05 7.0
515268547.95 6.7
517601643.84 6.3
519934739.73 6.3
522267835.62 6.7
524600931.51 7.3
526934027.40 7.0
529267123.29 8.2
531600219.18 7.2
533933315.07 8.0
536266410.96 7.3
538599506.85 7.8
540932602.74 7.4
543265698.63 7.9
545598794.52 7.7
547931890.41 6.3
550264986.30 6.4
552598082.19 7.8
554931178.08 8.0
557264273.97 9.1
559597369.86 8.1
561930465.75 7.9
564263561.64 8.0
566596657.53 8.2
568929753.42 7.8
571262849.32 7.4
573595945.21 7.1
575929041.10 6.8
578262136.99 7.7
580595232.88 7.4
582928328.77 7.6
585261424.66 7.7
587594520.55 6.4
589927616.44 8.9
592260712.33 8.6
594593808.22 7.2
596926904.11 7.6
599260000.00 7.6
601593095.89 6.4
603926191.78 6.6
606259287.67 6.2
608592383.56 6.0
610925479.45 5.7
613258575.34 6.8
615591671.23 6.3
617924767.12 6.0
620257863.01 5.7
622590958.90 6.8
624924054.79 6.5
627257150.68 7.3
629503835.62 7.9
631836931.51 6.6
634170027.40 6.1
636503123.29 5.3
638836219.18 7.0
641169315.07 6.7
643502410.96 6.6
645835506.85 6.2
648168602.74 6.6
650501698.63 5.7
652834794.52 5.1
655167890.41 5.4
657500986.30 5.9
659834082.19 5.7
662167178.08 5.3
664500273.97 5.0
666833369.86 4.8
669166465.75 5.3
671499561.64 4.8
673832657.53 4.6
676165753.42 4.7
678498849.32 5.2
680831945.21 4.9
683165041.10 4.7
685498136.99 4.5
687831232.88 5.8
690164328.77 5.1
692497424.66 5.1
694830520.55 4.6
697163616.44 4.8
699496712.33 4.3
701829808.22 4.0
704162904.11 5.2
706496000.00 4.4
708829095.89 4.2
711162191.78 4.4
713495287.67 4.2
715828383.56 4.1
718161479.45 4.6
720494575.34 4.1
722827671.23 4.4
725160767.12 4.5
727493863.01 4.4
729826958.90 4.3
732160054.79 4.3
734493150.68 4.2
736826246.58 4.0
739159342.47 4.1
741492438.36 4.2
743825534.25 3.7
746158630.14 4.4
748491726.03 4.1
750824821.92 3.7
753157917.81 4.2
755404602.74 4.4
757737698.63 3.8
760070794.52 4.2
762403890.41 3.8
764736986.30 3.5
767070082.19 3.6
769403178.08 4.1
771736273.97 4.0
774069369.86 4.1
776402465.75 3.6
778735561.64 3.9
781068657.53 4.0
783401753.42 3.9
785734849.32 4.0
788067945.21 4.7
790401041.10 5.5
792734136.99 4.9
795067232.88 4.9
797400328.77 4.6
799733424.66 4.8
802066520.55 4.2
804399616.44 4.7
806732712.33 4.1
809065808.22 4.5
811398904.11 4.9
813732000.00 4.8
816065095.89 4.4
818398191.78 4.4
820731287.67 5.2
823064383.56 5.4
825397479.45 5.7
827730575.34 4.8
830063671.23 5.9
832396767.12 5.4
834729863.01 5.1
837062958.90 4.9
839396054.79 5.5
841729150.68 5.3
844062246.58 5.7
846395342.47 4.9
848728438.36 5.1
851061534.25 5.7
853394630.14 5.9
855727726.03 6.1
858060821.92 5.6
860393917.81 5.5
862727013.70 6.4
865060109.59 6.8
867393205.48 5.5
869726301.37 5.6
872059397.26 5.6
874392493.15 5.2
876725589.04 5.6
879058684.93 4.9
881391780.82 4.8
883638465.75 5.1
885971561.64 5.2
888304657.53 5.2
890637753.42 5.1
892970849.32 5.9
895303945.21 5.5
897637041.10 6.2
899970136.99 5.0
902303232.88 4.7
904636328.77 4.5
906969424.66 5.4
909302520.55 5.1
911635616.44 4.9
913968712.33 5.4
916301808.22 6.5
918634904.11 4.8
920968000.00 5.8
923301095.89 5.5
925634191.78 5.6
927967287.67 4.9
930300383.56 5.2
932633479.45 6.5
934966575.34 7.0
937299671.23 6.7
939632767.12 7.6
941965863.01 7.9
944298958.90 7.5
946632054.79 6.9
948965150.68 7.2
951298246.58 7.1
953631342.47 6.4
955964438.36 6.0
958297534.25 6.3
960630630.14 6.1
962963726.03 6.8
965296821.92 7.3
967629917.81 6.0
969963013.70 6.8
972296109.59 6.1
974629205.48 7.1
976962301.37 6.8
979295397.26 6.6
981628493.15 6.4
983961589.04 6.6
986294684.93 6.2
988627780.82 5.7
990960876.71 5.5
993293972.60 6.2
995627068.49 5.8
997960164.38 6.0
1000293260.27 6.2
1002626356.16 5.6
1004959452.05 5.3
1007292547.95 4.9
1009539232.88 5.0
1011872328.77 5.0
1014205424.66 5.3
1016538520.55 5.3
1018871616.44 5.9
1021204712.33 5.4
1023537808.22 5.3
1025870904.11 5.4
1028204000.00 5.5
1030537095.89 5.0
1032870191.78 5.1
1035203287.67 5.0
1037536383.56 4.9
1039869479.45 4.8
1042202575.34 4.9
1044535671.23 5.0
1046868767.12 4.5
1049201863.01 4.8
1051534958.90 4.3
1053868054.79 4.7
1056201150.68 4.8
1058534246.58 4.9
1060867342.47 4.7
1063200438.36 4.2
1065533534.25 4.6
1067866630.14 4.6
1070199726.03 4.7
1072532821.92 4.8
1074865917.81 4.7
1077199013.70 4.7
1079532109.59 4.3
1081865205.48 5.2
1084198301.37 4.4
1086531397.26 4.4
1088864493.15 4.1
1091197589.04 4.4
1093530684.93 4.5
1095863780.82 4.5
1098196876.71 4.1
1100529972.60 4.5
1102863068.49 4.0
1105196164.38 4.4
1107529260.27 4.2
1109862356.16 4.6
1112195452.05 3.8
1114528547.95 4.0
1116861643.84 3.9
1119194739.73 4.3
1121527835.62 4.3
1123860931.51 4.3
