Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz e NeuRho NeuMx NeuMy NeuMz NeuE Ne2Rho Ne2Mx Ne2My Ne2Mz Ne2E Ne3Rho Ne3Mx Ne3My Ne3Mz Ne3E Ne4Rho Ne4Mx Ne4My Ne4Mz Ne4E Pmin Pmax
      0  0.00000E+00  0.00000E+00  3.75646E-03  1.65046E-20 -6.74154E-38 -1.44262E-21  1.93313E-02 -5.00002E-03 -1.86778E-02  8.90403E-14  1.80000E-01  7.91809E-19  0.00000E+00 -6.92456E-20  1.29221E-12  1.80000E-04  6.70366E-24  1.02962E-36 -9.80588E-38  1.66086E-14  6.61571E-07 -9.48008E-26 -2.29825E-39 -3.06434E-39  9.63496E-16  1.80000E-01  7.91809E-19  0.00000E+00 -6.92456E-20  1.29221E-12  1.13184E-19  1.10646E-13
      1  0.00000E+00  0.00000E+00  3.75648E-03  1.65047E-20  1.55720E-27 -1.44262E-21  1.93313E-02 -5.00004E-03 -1.86779E-02  8.89866E-14  1.80000E-01  7.91809E-19  0.00000E+00 -6.92456E-20  1.29221E-12  1.77528E-04 -5.54235E-24 -4.66166E-32  1.09537E-32  1.63707E-14  6.60540E-07 -9.54770E-26  5.42275E-33 -2.26324E-35  9.58776E-16  1.80000E-01  7.91809E-19 -3.96256E-34 -6.92456E-20  1.29221E-12  1.11810E-19  1.09956E-13
      2  0.00000E+00  0.00000E+00  3.75658E-03  1.65051E-20  1.05502E-26 -1.44263E-21  1.93311E-02 -5.00017E-03 -1.86783E-02  8.89035E-14  1.80000E-01  7.91809E-19 -2.51589E-44 -6.92456E-20  1.29221E-12  1.75099E-04 -1.74972E-23 -1.48412E-30  9.24583E-32  1.61372E-14  6.58805E-07 -9.83026E-26 -8.47461E-33 -7.26959E-35  9.53203E-16  1.80000E-01  7.91809E-19 -2.03200E-33 -6.92456E-20  1.29221E-12  1.10531E-19  1.08714E-13
      3  0.00000E+00  0.00000E+00  3.75693E-03  1.65068E-20  6.65806E-26 -1.44255E-21  1.93307E-02 -5.00064E-03 -1.86801E-02  8.88370E-14  1.80000E-01  7.91809E-19 -1.48425E-43 -6.92456E-20  1.29221E-12  1.72713E-04 -2.91713E-23 -4.33773E-30  9.82365E-31  1.59081E-14  6.56572E-07 -1.02610E-25 -3.30520E-32  2.88460E-35  9.47090E-16  1.80000E-01  7.91809E-19 -4.65180E-33 -6.92456E-20  1.29221E-12  1.09346E-19  1.08009E-13
      4  0.00000E+00  0.00000E+00  3.75794E-03  1.65123E-20  3.64266E-25 -1.44183E-21  1.93311E-02 -5.00194E-03 -1.86849E-02  8.88024E-14  1.80000E-01  7.91809E-19 -2.55223E-43 -6.92456E-20  1.29221E-12  1.70367E-04 -4.05450E-23 -8.69075E-30  1.02118E-29  1.56831E-14  6.53924E-07 -1.07902E-25 -6.75389E-32  3.35082E-33  9.40556E-16  1.80000E-01  7.91809E-19 -8.02548E-33 -6.92456E-20  1.29221E-12  1.08279E-19  1.08009E-13
      5  0.00000E+00  0.00000E+00  3.76349E-03  1.65465E-20  2.87131E-24 -1.43460E-21  1.93556E-02 -5.00879E-03 -1.87105E-02  8.88443E-14  1.80000E-01  7.91809E-19 -3.63987E-42 -6.92456E-20  1.29221E-12  1.68044E-04 -5.13724E-23 -1.67239E-29  1.30717E-28  1.54604E-14  6.51027E-07 -1.13318E-25 -1.17110E-31  3.97983E-32  9.33836E-16  1.80000E-01  7.91809E-19 -2.31272E-31 -6.92456E-20  1.29221E-12  1.07370E-19  1.08009E-13
      6  0.00000E+00  0.00000E+00  3.78910E-03  1.67085E-20  1.55330E-23 -1.39716E-21  1.95359E-02 -5.03809E-03 -1.88199E-02  8.92171E-14  1.80000E-01  7.91809E-19 -2.22786E-41 -6.92456E-20  1.29221E-12  1.65665E-04 -6.05637E-23 -1.27413E-29  1.54336E-28  1.52328E-14  6.48000E-07 -1.16410E-25 -1.69521E-31  7.91036E-32  9.27048E-16  1.80000E-01  7.91808E-19 -3.28174E-31 -6.92456E-20  1.29221E-12  1.06655E-19  1.08009E-13
      7  0.00000E+00  0.00000E+00  3.85542E-03  1.71289E-20  4.84852E-23 -1.29960E-21  2.00193E-02 -5.11180E-03 -1.90951E-02  9.03211E-14  1.80000E-01  7.91809E-19 -1.50324E-40 -6.92456E-20  1.29221E-12  1.63143E-04 -6.70297E-23 -1.68301E-29  1.55823E-28  1.49916E-14  6.44827E-07 -1.15375E-25 -2.49423E-31  1.10683E-31  9.20123E-16  1.80000E-01  7.91808E-19 -3.99809E-31 -6.92456E-20  1.29221E-12  1.06158E-19  1.08009E-13
      8  0.00000E+00  0.00000E+00  3.92396E-03  1.75653E-20  8.30347E-23 -1.19697E-21  2.04403E-02 -5.18767E-03 -1.93779E-02  9.16078E-14  1.80000E-01  7.91809E-19 -2.93372E-40 -6.92456E-20  1.29221E-12  1.60667E-04 -7.33798E-23 -3.63742E-29  1.34079E-28  1.47551E-14  6.41621E-07 -1.17228E-25 -4.35437E-31  6.92677E-32  9.13290E-16  1.80000E-01  7.91808E-19 -4.53904E-31 -6.92456E-20  1.29221E-12  1.05886E-19  1.08009E-13
      9  0.00000E+00  0.00000E+00  3.99134E-03  1.79961E-20  1.17356E-22 -1.09479E-21  2.07847E-02 -5.26210E-03 -1.96549E-02  9.30250E-14  1.80000E-01  7.91809E-19 -4.36652E-40 -6.92456E-20  1.29221E-12  1.58255E-04 -7.98133E-23  3.99379E-28  5.40672E-28  1.45251E-14  6.38383E-07 -1.21487E-25  4.93218E-32  9.62846E-31  9.06520E-16  1.80000E-01  7.91808E-19 -4.96581E-31 -6.92456E-20  1.29221E-12  1.05817E-19  1.08009E-13
