Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz E SWHRho SWHMx SWHMy SWHMz SWHE Pu3Rho Pu3Mx Pu3My Pu3Mz Pu3E NeuRho NeuMx NeuMy NeuMz NeuE Ne2Rho Ne2Mx Ne2My Ne2Mz Ne2E Ne3Rho Ne3Mx Ne3My Ne3Mz Ne3E Ne4Rho Ne4Mx Ne4My Ne4Mz Ne4E Pmin
      0  0.00000E+00  0.00000E+000  3.75719E-003  1.65057E-020  1.88170E-022 -1.44264E-021  2.56939E-002 -4.49737E-003 -8.10003E-003  9.01037E-014  3.75646E-003  1.65046E-020  1.88168E-022 -1.44262E-021  4.13592E-014  7.33951E-007  1.09081E-024  1.88168E-027 -1.44262E-026  1.05789E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.33103E-008 -2.10102E-027  3.67168E-040 -1.64319E-040  4.73184E-018  1.00000E-003  1.48970E-022  3.53312E-036 -1.61532E-035  1.45886E-012  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  4.82506E-019
      1  0.00000E+00  0.00000E+000  3.75719E-003  1.65058E-020  1.88170E-022 -1.44264E-021  2.56939E-002 -4.49719E-003 -8.10003E-003  9.01134E-014  3.75646E-003  1.65047E-020  1.88168E-022 -1.44262E-021  4.13679E-014  7.34473E-007  1.09353E-024  1.88155E-027 -1.44262E-026  1.05895E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.33211E-008 -2.10371E-027 -8.36808E-034 -1.72535E-039  4.73775E-018  9.93657E-004  2.08097E-022 -8.46494E-029  2.68062E-032  1.44944E-012  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  5.65485E-019
      2  0.00000E+00  0.00000E+000  3.75720E-003  1.65060E-020  1.88170E-022 -1.44264E-021  2.56939E-002 -4.49643E-003 -8.10003E-003  9.01317E-014  3.75647E-003  1.65049E-020  1.88168E-022 -1.44262E-021  4.13847E-014  7.35274E-007  1.11669E-024  1.88109E-027 -1.44262E-026  1.06085E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.33414E-008 -2.00067E-027 -1.38312E-033  1.05986E-038  4.75763E-018  9.72946E-004  2.62107E-022  1.51599E-028 -4.71619E-031  1.41856E-012  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  9.47381E-019
      3  0.00000E+00  0.00000E+000  3.75721E-003  1.65062E-020  1.88170E-022 -1.44264E-021  2.56939E-002 -4.49679E-003 -8.10004E-003  9.01452E-014  3.75647E-003  1.65051E-020  1.88168E-022 -1.44262E-021  4.13974E-014  7.35673E-007  1.13416E-024  1.88090E-027 -1.44263E-026  1.06212E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.33571E-008 -1.86329E-027 -1.47510E-033 -9.98030E-037  4.77975E-018  9.32139E-004 -2.02027E-022  4.41456E-028 -8.35529E-030  1.35739E-012  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  2.14085E-018
      4  0.00000E+00  0.00000E+000  3.75722E-003  1.65061E-020  1.88171E-022 -1.44264E-021  2.56939E-002 -4.49978E-003 -8.10005E-003  9.01533E-014  3.75648E-003  1.65050E-020  1.88169E-022 -1.44263E-021  4.14053E-014  7.35677E-007  1.12564E-024  1.88102E-027 -1.44263E-026  1.06293E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.33660E-008 -1.81446E-027 -1.07993E-033  7.54436E-034  4.80162E-018  8.82029E-004 -1.22240E-021 -6.03255E-028  4.19653E-027  1.28209E-012  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  3.18520E-018
      5  0.00000E+00  0.00000E+000  3.75728E-003  1.65063E-020  1.88174E-022 -1.44267E-021  2.56938E-002 -4.50290E-003 -8.10019E-003  9.01617E-014  3.75655E-003  1.65052E-020  1.88172E-022 -1.44265E-021  4.14135E-014  7.35643E-007  1.11628E-024  1.88152E-027 -1.44276E-026  1.06376E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.33751E-008 -1.76607E-027 -7.05098E-034  2.42332E-033  4.82384E-018  8.36060E-004 -2.12758E-021 -2.35851E-027  1.14748E-026  1.21323E-012  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  3.82383E-018
      6  0.00000E+00  0.00000E+000  3.75786E-003  1.65088E-020  1.88203E-022 -1.44289E-021  2.56939E-002 -4.50669E-003 -8.10143E-003  9.01744E-014  3.75712E-003  1.65077E-020  1.88201E-022 -1.44287E-021  4.14260E-014  7.35591E-007  1.10763E-024  1.88426E-027 -1.44418E-026  1.06461E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.33845E-008 -1.71832E-027 -4.88218E-034  4.86877E-033  4.84643E-018  7.93853E-004 -2.92713E-021 -4.31350E-027  1.99414E-026  1.15022E-012  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  4.46306E-018
      7  0.00000E+00  0.00000E+000  3.76053E-003  1.65207E-020  1.88337E-022 -1.44392E-021  2.57027E-002 -4.51325E-003 -8.10718E-003  9.02057E-014  3.75979E-003  1.65196E-020  1.88335E-022 -1.44390E-021  4.14569E-014  7.35555E-007  1.10413E-024  1.89789E-027 -1.45051E-026  1.06539E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.33943E-008 -1.67014E-027  4.25284E-034  5.05578E-033  4.86939E-018  7.54936E-004 -3.62400E-021 -4.77008E-027  1.50669E-026  1.09229E-012  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  5.10298E-018
      8  0.00000E+00  0.00000E+000  3.77280E-003  1.65756E-020  1.88954E-022 -1.44864E-021  2.57622E-002 -4.53295E-003 -8.13368E-003  9.03237E-014  3.77207E-003  1.65745E-020  1.88953E-022 -1.44862E-021  4.15736E-014  7.35651E-007  1.12492E-024  1.93582E-027 -1.47827E-026  1.06581E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.34042E-008 -1.62105E-027  1.70174E-033  4.30009E-033  4.89273E-018  7.18637E-004 -4.20753E-021 -1.43719E-026 -2.71692E-028  1.03842E-012  1.80000E-001  7.91808E-019  9.03204E-021 -6.92456E-020  1.29235E-012  5.74366E-018
      9  0.00000E+00  0.00000E+000  3.82927E-003  1.68283E-020  1.91857E-022 -1.47023E-021  2.61435E-002 -4.61582E-003 -8.25560E-003  9.08774E-014  3.82853E-003  1.68270E-020  1.91855E-022 -1.47021E-021  4.20864E-014  7.36382E-007  1.30517E-024  2.08633E-027 -1.63893E-026  1.06353E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.34146E-008 -1.57089E-027  6.04410E-033 -3.59163E-033  4.91646E-018  6.82513E-004 -4.56206E-021 -8.47961E-026 -1.68466E-025  9.84939E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92456E-020  1.29235E-012  6.38508E-018
