Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz E Pmin Pmax
     10  0.00000E+00  0.00000E+000  3.04364E-003 -1.88013E-035 -2.69055E-035  1.18711E-035  1.61158E-019 -7.66541E-019 -2.82912E-005  4.15317E-012  1.25604E-014  1.23440E-010
     20  0.00000E+00  0.00000E+000  3.77855E-003 -1.88440E-036  4.03582E-035  1.65272E-035 -1.66952E-018 -2.86769E-018 -3.57702E-005  5.17043E-012  1.49268E-014  7.82308E-011
     30  0.00000E+00  0.00000E+000  4.76009E-003 -8.55230E-035  4.03582E-035  2.60522E-035  3.28912E-018  1.21526E-018 -4.52730E-005  6.53203E-012  1.63863E-014  5.01044E-011
     40  0.00000E+00  0.00000E+000  6.03740E-003 -1.75234E-034  3.76676E-034  4.40137E-035  9.19211E-020  9.01146E-018 -5.75161E-005  8.30806E-012  1.78630E-014  3.21009E-011
     50  0.00000E+00  0.00000E+000  7.66839E-003 -2.00791E-034 -8.07164E-035  5.62606E-035 -1.11345E-018  2.55743E-017 -7.29577E-005  1.05833E-011  7.29465E-015  2.05444E-011
     60  0.00000E+00  0.00000E+000  9.74911E-003 -2.14961E-036  1.34527E-034  7.23126E-035  5.89962E-018  1.88136E-017 -9.28090E-005  1.34961E-011  2.82554E-015  1.30929E-011
     70  0.00000E+00  0.00000E+000  1.23769E-002 -2.07424E-034 -2.69055E-034  8.43389E-035  5.21971E-018  1.66404E-017 -1.17436E-004  1.71914E-011  1.20590E-015  8.31819E-012
     80  0.00000E+00  0.00000E+000  1.56192E-002  1.45724E-034 -6.45731E-034  7.86750E-035 -2.98647E-018  6.56310E-017 -1.47753E-004  2.17768E-011  5.50920E-016  5.26825E-012
     90  0.00000E+00  0.00000E+000  1.95781E-002  3.44155E-034  4.30487E-034  2.87746E-035  2.10406E-017  6.11043E-017 -1.84995E-004  2.74130E-011  2.63279E-016  3.32524E-012
    100  0.00000E+00  0.00000E+000  2.43134E-002  1.49077E-035  5.38109E-034  9.07735E-035  4.34282E-017  2.24320E-017 -2.29381E-004  3.42096E-011  1.30002E-016  2.09028E-012
