#COORD
HGI

year mo dy hr mn sc msc x y z
#START
 2017 1 1  0  0 00 000 1.017 0.499 0.0
 2017 1 1  1  0 00 000 1.017 0.499 0.0
 2017 1 1  2  0 00 000 1.017 0.499 0.0
 2017 1 1  3  0 00 000 1.016 0.500 0.0
 2017 1 1  4  0 00 000 1.016 0.500 0.0
 2017 1 1  5  0 00 000 1.016 0.502 0.0
 2017 1 1  6  0 00 000 1.016 0.502 0.0
 2017 1 1  7  0 00 000 1.015 0.504 0.0
 2017 1 1  8  0 00 000 1.015 0.504 0.0
 2017 1 1  9  0 00 000 1.015 0.504 0.0
 2017 1 1 10  0 00 000 1.014 0.505 0.0
 2017 1 1 11  0 00 000 1.014 0.505 0.0
 2017 1 1 12  0 00 000 1.014 0.507 0.0
 2017 1 1 13  0 00 000 1.014 0.507 0.0
 2017 1 1 14  0 00 000 1.014 0.507 0.0
 2017 1 1 15  0 00 000 1.013 0.508 0.0
 2017 1 1 16  0 00 000 1.013 0.508 0.0
 2017 1 1 17  0 00 000 1.012 0.510 0.0
 2017 1 1 18  0 00 000 1.012 0.510 0.0
 2017 1 1 19  0 00 000 1.011 0.512 0.0
 2017 1 1 20  0 00 000 1.011 0.512 0.0
 2017 1 1 21  0 00 000 1.011 0.512 0.0
 2017 1 1 22  0 00 000 1.011 0.513 0.0
