test point(I,J,K,BLK,PROC):      1     1     1     1     0
it year mo dy hr mn sc msc t X Y Z dtpnt rho Ux Uy Uz Bx By Bz p rhopnt Uxpnt Uypnt Uzpnt ppnt Pmin Pmax Neu1Rhoflx_R=3.0 Neu1Rhoflx_R=4.0
      0 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  0.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.38070E-06  1.38070E-06  3.02648E-06  3.04064E-06
      1 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  2.42278E-19  1.51490E-19 -6.92855E-20  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -6.26656E-10 -6.26656E-10 -6.26656E-10  1.38070E-06  1.38070E-06  1.38070E-06  3.36874E-05  3.78649E-06
      2 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  2.74040E-18  2.08016E-18  6.45120E-19  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -7.51988E-10 -7.51988E-10 -7.51988E-10  1.38070E-06  1.38070E-06  1.38070E-06  1.96105E-04  8.11037E-06
      3 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  9.79109E-18  6.44683E-18 -7.36913E-19  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -7.57001E-10 -7.57001E-10 -7.57001E-10  1.38070E-06  1.38070E-06  1.38070E-06  9.60858E-04  3.28952E-05
      4 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  3.94479E-17  2.35805E-17 -9.95927E-18  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -7.21462E-10 -7.21462E-10 -7.21462E-10  1.38070E-06  1.38070E-06  1.38070E-06  4.50214E-03  1.55893E-04
      5 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  1.75974E-16  1.02472E-16 -5.24494E-17  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -6.75120E-10 -6.75120E-10 -6.75120E-10  1.38070E-06  1.38070E-06  1.38070E-06  2.08252E-02  7.39079E-04
      6 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  8.03690E-16  4.65565E-16 -2.47284E-16  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -6.29501E-10 -6.29501E-10 -6.29501E-10  1.38070E-06  1.38070E-06  1.38070E-06  9.59403E-02  3.44470E-03
      7 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  3.68230E-15  2.13108E-15 -1.13788E-15  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -5.87304E-10 -5.87304E-10 -5.87304E-10  1.38070E-06  1.38070E-06  1.38070E-06  4.41470E-01  1.59179E-02
      8 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  1.67489E-14  9.69593E-15 -5.09949E-15  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -5.48980E-10 -5.48980E-10 -5.48980E-10  1.38070E-06  1.38070E-06  1.38070E-06  2.03042E+00  7.33122E-02
      9 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  7.31387E-14  4.16010E-14 -2.06057E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -5.14553E-10 -5.14553E-10 -5.14553E-10  1.38070E-06  1.38070E-06  1.38070E-06  9.32888E+00  3.37180E-01
