Volume averages, fluxes, etc
it rho mx my mz bx by bz p pmin pmax jin jout jinmax joutmax
      1  8.10000E-03 -8.33203E-18  6.11638E-28  3.74779E-25  5.93946E-02 -1.73000E-02  6.29125E-03  1.11851E-06  1.11469E-06  1.23141E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
      2  8.10000E-03 -8.33199E-18 -1.37800E-26 -6.15222E-25  5.93878E-02 -1.73000E-02  6.28018E-03  1.11947E-06  1.11268E-06  5.56619E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
      3  8.10000E-03 -8.33194E-18 -4.02310E-26 -3.68734E-24  5.93794E-02 -1.72999E-02  6.26711E-03  1.12280E-06  1.11837E-06  2.45884E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
      4  8.10001E-03 -8.33187E-18 -7.90069E-26 -8.28312E-24  5.93697E-02 -1.72998E-02  6.25197E-03  1.13038E-06  1.11837E-06  9.84366E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
      5  8.10001E-03 -8.33176E-18 -1.31473E-25 -1.52046E-23  5.93588E-02 -1.72997E-02  6.23492E-03  1.14464E-06  1.11837E-06  3.29215E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
      6  8.10001E-03 -8.33160E-18 -2.00825E-25 -2.48309E-23  5.93468E-02 -1.72995E-02  6.21609E-03  1.16632E-06  1.11837E-06  6.41863E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
      7  8.10002E-03 -8.33142E-18 -2.95847E-25 -3.64467E-23  5.93339E-02 -1.72992E-02  6.19559E-03  1.19333E-06  1.11837E-06  7.50988E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
      8  8.10002E-03 -8.33121E-18 -4.21534E-25 -4.98579E-23  5.93201E-02 -1.72989E-02  6.17352E-03  1.22587E-06  1.11837E-06  8.50143E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
      9  8.10003E-03 -8.33098E-18 -5.85063E-25 -6.49316E-23  5.93054E-02 -1.72984E-02  6.14972E-03  1.26368E-06  1.11837E-06  1.04696E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     10  8.10004E-03 -8.33072E-18 -7.95205E-25 -8.15005E-23  5.92899E-02 -1.72978E-02  6.12415E-03  1.30647E-06  1.11837E-06  1.18248E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     11  8.10005E-03 -8.33044E-18 -1.06149E-24 -9.92593E-23  5.92738E-02 -1.72970E-02  6.09706E-03  1.35403E-06  1.11837E-06  1.27080E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     12  8.10006E-03 -8.33013E-18 -1.39414E-24 -1.17830E-22  5.92576E-02 -1.72962E-02  6.06892E-03  1.40620E-06  1.11837E-06  1.41108E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     13  8.10006E-03 -8.32980E-18 -1.80498E-24 -1.36880E-22  5.92417E-02 -1.72952E-02  6.04032E-03  1.46286E-06  1.11837E-06  1.51323E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     14  8.10007E-03 -8.32944E-18 -2.30723E-24 -1.56191E-22  5.92263E-02 -1.72940E-02  6.01180E-03  1.52389E-06  1.11837E-06  1.63745E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     15  8.10008E-03 -8.32905E-18 -2.91572E-24 -1.75673E-22  5.92117E-02 -1.72928E-02  5.98383E-03  1.58918E-06  1.11836E-06  1.77427E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     16  8.10009E-03 -8.32864E-18 -3.64442E-24 -1.95329E-22  5.91982E-02 -1.72914E-02  5.95679E-03  1.65862E-06  1.11836E-06  1.95263E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     17  8.10009E-03 -8.32820E-18 -4.50704E-24 -2.15228E-22  5.91858E-02 -1.72900E-02  5.93099E-03  1.73208E-06  1.11836E-06  2.15159E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     18  8.10010E-03 -8.32774E-18 -5.51621E-24 -2.35518E-22  5.91745E-02 -1.72884E-02  5.90665E-03  1.80943E-06  1.11836E-06  2.36007E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     19  8.10010E-03 -8.32725E-18 -6.68300E-24 -2.56393E-22  5.91642E-02 -1.72868E-02  5.88393E-03  1.89054E-06  1.11836E-06  2.52647E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     20  8.10011E-03 -8.32673E-18 -8.01453E-24 -2.78080E-22  5.91548E-02 -1.72851E-02  5.86296E-03  1.97593E-06  1.11836E-06  2.64802E-03 -2.31098E-08  4.08317E-08 -3.92146E-07  7.83473E-07
     21  8.10011E-03 -8.32642E-18 -8.88730E-24 -2.95743E-22  5.91350E-02 -1.72842E-02  5.81961E-03  2.02664E-06  1.11836E-06  2.93994E-03 -2.03203E-08  3.64232E-08 -3.37567E-07  7.09298E-07
     22  8.10012E-03 -8.32610E-18 -9.82755E-24 -3.13480E-22  5.91150E-02 -1.72832E-02  5.77571E-03  2.06587E-06  1.11836E-06  3.06504E-03 -1.91007E-08  3.19657E-08 -3.43117E-07  6.34408E-07
     23  8.10012E-03 -8.32578E-18 -1.08229E-23 -3.31399E-22  5.90944E-02 -1.72822E-02  5.73337E-03  2.10418E-06  1.11836E-06  3.14678E-03 -1.87005E-08  2.82881E-08 -3.46321E-07  5.62455E-07
     24  8.10012E-03 -8.32544E-18 -1.18754E-23 -3.49639E-22  5.90735E-02 -1.72811E-02  5.69160E-03  2.14332E-06  1.11836E-06  3.22277E-03 -1.83896E-08  2.52573E-08 -3.48060E-07  4.99061E-07
     25  8.10013E-03 -8.32509E-18 -1.29836E-23 -3.68300E-22  5.90525E-02 -1.72800E-02  5.65111E-03  2.18393E-06  1.11835E-06  3.29808E-03 -1.79979E-08  2.28234E-08 -3.48625E-07  4.46623E-07
     26  8.10014E-03 -8.32482E-18 -1.39863E-23 -3.83666E-22  5.90341E-02 -1.72789E-02  5.61590E-03  2.19117E-06  1.11835E-06  3.40410E-03 -1.71843E-08  2.14171E-08 -2.08702E-07  5.13566E-07
     27  8.10015E-03 -8.32453E-18 -1.50272E-23 -3.99510E-22  5.90156E-02 -1.72778E-02  5.58145E-03  2.19935E-06  1.11835E-06  3.51646E-03 -1.70230E-08  2.01592E-08 -2.02113E-07  4.76752E-07
     28  8.10016E-03 -8.32423E-18 -1.61070E-23 -4.15884E-22  5.89971E-02 -1.72767E-02  5.54790E-03  2.20859E-06  1.11835E-06  3.65027E-03 -1.69365E-08  1.92077E-08 -1.98059E-07  4.45501E-07
     29  8.10017E-03 -8.32393E-18 -1.72264E-23 -4.32853E-22  5.89787E-02 -1.72756E-02  5.51532E-03  2.21901E-06  1.11834E-06  3.79075E-03 -1.68451E-08  1.84909E-08 -1.95745E-07  4.20574E-07
     30  8.10018E-03 -8.32362E-18 -1.83881E-23 -4.50472E-22  5.89603E-02 -1.72744E-02  5.48378E-03  2.23072E-06  1.11834E-06  4.04088E-03 -1.67802E-08  1.80106E-08 -1.94912E-07  4.01657E-07
