Volume averages, fluxes, etc
it t dt Rho Lp Mp H1p H2p Mhcp Hhcp Hnip Mx My Mz Bx By Bz E Pmin Pmax
      1  0.00000E+00  0.00000E+000  1.19838E+000  1.00000E-001  5.05896E-002  1.02103E-003  2.42103E-003  2.15249E-003  1.68607E-003  1.08093E-003  1.60570E-016 -3.23089E-025 -5.24310E-024 -1.95639E-011 -2.24067E-018 -4.99986E+000  3.76144E-011  8.17393E-006  4.51923E-002
      2  0.00000E+00  0.00000E+000  1.19835E+000  1.00000E-001  5.05900E-002  1.02207E-003  2.42061E-003  2.15121E-003  1.68625E-003  1.08089E-003  1.60569E-016 -7.29252E-025 -1.04216E-023 -9.18504E-011  2.57467E-017 -4.99986E+000  3.76144E-011  1.28485E-005  4.51852E-002
      3  0.00000E+00  0.00000E+000  1.19834E+000  1.00000E-001  5.05907E-002  1.02322E-003  2.42020E-003  2.14998E-003  1.68642E-003  1.08084E-003  1.60569E-016 -1.25195E-024 -1.58960E-023 -1.53053E-010  7.68640E-018 -4.99986E+000  3.76144E-011  1.42934E-005  4.51780E-002
      4  0.00000E+00  0.00000E+000  1.19834E+000  1.00000E-001  5.05918E-002  1.02449E-003  2.41981E-003  2.14881E-003  1.68660E-003  1.08080E-003  1.60569E-016 -1.97540E-024 -2.20009E-023 -1.97163E-010  9.88484E-016 -4.99986E+000  3.76144E-011  1.47057E-005  4.51709E-002
      5  0.00000E+00  0.00000E+000  1.19836E+000  1.00001E-001  5.05935E-002  1.02594E-003  2.41945E-003  2.14772E-003  1.68678E-003  1.08076E-003  1.60569E-016 -3.04503E-024 -2.84115E-023 -2.02233E-010  4.71823E-015 -4.99986E+000  3.76144E-011  1.51621E-005  4.51638E-002
      6  0.00000E+00  0.00000E+000  1.19839E+000  1.00001E-001  5.05956E-002  1.02758E-003  2.41912E-003  2.14673E-003  1.68696E-003  1.08071E-003  1.60569E-016 -4.49161E-024 -3.46943E-023 -2.00844E-010  1.07970E-014 -4.99986E+000  3.76144E-011  1.56189E-005  4.51568E-002
      7  0.00000E+00  0.00000E+000  1.19844E+000  1.00001E-001  5.05982E-002  1.02942E-003  2.41881E-003  2.14584E-003  1.68714E-003  1.08067E-003  1.60569E-016 -6.41681E-024 -4.18627E-023 -2.00876E-010  1.83890E-014 -4.99986E+000  3.76144E-011  1.60492E-005  4.51498E-002
      8  0.00000E+00  0.00000E+000  1.19851E+000  1.00001E-001  5.06013E-002  1.03147E-003  2.41854E-003  2.14508E-003  1.68732E-003  1.08063E-003  1.60569E-016 -8.88576E-024 -5.03501E-023 -2.03671E-010  2.51432E-014 -4.99986E+000  3.76144E-011  1.64543E-005  4.51428E-002
      9  0.00000E+00  0.00000E+000  1.19861E+000  1.00001E-001  5.06050E-002  1.03373E-003  2.41830E-003  2.14444E-003  1.68751E-003  1.08059E-003  1.60569E-016 -1.19604E-023 -5.84737E-023 -2.06612E-010  3.23240E-014 -4.99986E+000  3.76144E-011  1.68356E-005  4.51359E-002
     10  0.00000E+00  0.00000E+000  1.19872E+000  1.00001E-001  5.06092E-002  1.03625E-003  2.41810E-003  2.14395E-003  1.68769E-003  1.08055E-003  1.60569E-016 -1.56943E-023 -6.71522E-023 -2.08036E-010  4.08448E-014 -4.99986E+000  3.76144E-011  1.71943E-005  4.51290E-002
     11  0.00000E+00  0.00000E+000  1.19886E+000  1.00001E-001  5.06140E-002  1.03902E-003  2.41794E-003  2.14360E-003  1.68788E-003  1.08051E-003  1.60569E-016 -2.00125E-023 -7.77415E-023 -2.07335E-010  5.49376E-014 -4.99986E+000  3.76144E-011  1.75315E-005  4.51222E-002
     12  0.00000E+00  0.00000E+000  1.19902E+000  1.00002E-001  5.06193E-002  1.04204E-003  2.41781E-003  2.14339E-003  1.68807E-003  1.08047E-003  1.60569E-016 -2.49309E-023 -8.78896E-023 -2.10513E-010  5.72805E-014 -4.99986E+000  3.76144E-011  1.78484E-005  4.51154E-002
     13  0.00000E+00  0.00000E+000  1.19920E+000  1.00002E-001  5.06251E-002  1.04529E-003  2.41772E-003  2.14331E-003  1.68826E-003  1.08043E-003  1.60568E-016 -3.02643E-023 -9.85385E-023 -2.20789E-010  6.25339E-014 -4.99986E+000  3.76143E-011  1.81459E-005  4.51087E-002
     14  0.00000E+00  0.00000E+000  1.19939E+000  1.00002E-001  5.06312E-002  1.04872E-003  2.41765E-003  2.14335E-003  1.68845E-003  1.08039E-003  1.60568E-016 -3.58778E-023 -1.11338E-022 -2.35782E-010  6.03163E-014 -4.99986E+000  3.76143E-011  1.84250E-005  4.51020E-002
