Volume averages, fluxes, etc
it dt rho Hp O2p Op CO2p mx my mz bx by bz e Pmin Pmax
      1  0.00000E+00  4.23725E+01  1.00000E+00  1.85736E+00  1.59216E-03  1.67650E-01 -9.36656E-15  7.91083E-35 -2.25414E-24 -1.38354E-18  1.50000E+01 -1.03865E-22  2.04123E-09  4.28145E-02  2.71242E+01
      2  0.00000E+00  4.23998E+01  1.00000E+00  1.85920E+00  1.57825E-03  1.67773E-01 -9.36654E-15  1.34233E-28 -4.30757E-24  1.04119E-16  1.50000E+01  4.60303E-19  2.04123E-09  3.50788E-02  2.71240E+01
      3  0.00000E+00  4.24583E+01  1.00000E+00  1.86313E+00  1.56501E-03  1.68039E-01 -9.36652E-15  3.81602E-28 -6.15282E-24  6.42406E-16  1.50000E+01  1.23754E-18  2.04123E-09  2.87735E-02  2.71238E+01
      4  0.00000E+00  4.25771E+01  1.00000E+00  1.87116E+00  1.55213E-03  1.68506E-01 -9.36649E-15  7.17231E-28  1.33342E-22  1.09986E-15  1.50000E+01  2.11499E-18  2.04123E-09  2.37325E-02  2.71236E+01
      5  0.00000E+00  4.27292E+01  1.00000E+00  1.88147E+00  1.54067E-03  1.69075E-01 -9.36646E-15 -2.18868E-24  4.95419E-22  1.11890E-11  1.50000E+01  5.17033E-14  2.04123E-09  1.99567E-02  2.71233E+01
      6  0.00000E+00  4.28636E+01  1.00000E+00  1.89060E+00  1.53010E-03  1.69555E-01 -9.36643E-15  1.71546E-22  7.98223E-22 -6.25064E-10  1.50000E+01  4.14234E-12  2.04123E-09  1.73072E-02  2.71231E+01
      7  0.00000E+00  4.29796E+01  1.00000E+00  1.89850E+00  1.52011E-03  1.69950E-01 -9.36641E-15  2.73213E-22  1.01306E-21 -1.60053E-09  1.50000E+01  1.12082E-11  2.04123E-09  1.53764E-02  2.71229E+01
      8  0.00000E+00  4.30845E+01  1.00000E+00  1.90566E+00  1.51062E-03  1.70292E-01 -9.36640E-15  3.44470E-22  1.13500E-21 -2.56070E-09  1.50000E+01  1.51591E-11  2.04123E-09  1.39446E-02  2.71226E+01
      9  0.00000E+00  4.31827E+01  1.00000E+00  1.91237E+00  1.50164E-03  1.70600E-01 -9.36638E-15  3.50224E-22  1.17421E-21 -3.82554E-09  1.50000E+01  1.90730E-11  2.04123E-09  1.28591E-02  2.71224E+01
     10  0.00000E+00  4.32755E+01  1.00000E+00  1.91873E+00  1.49315E-03  1.70881E-01 -9.36637E-15  3.02126E-22  1.14073E-21 -5.42993E-09  1.50000E+01  2.37128E-11  2.04123E-09  1.20162E-02  2.71222E+01
